row ID,row m/z,row retention time,PB1_C18NEG_2.mzML ,PB2_C18NEG_3.mzML ,PB3_C18NEG_4.mzML ,6111_U4_C18NEG_42.mzML ,6101_U2_C18NEG_30.mzML ,6102_U1_C18NEG_26.mzML ,6110_U2_C18NEG_34.mzML ,6105_U4_C18NEG_47.mzML ,6103_U4_C18NEG_53.mzML ,6105_U1_C18NEG_43.mzML ,6104_U1_C18NEG_55.mzML ,6113_U4_C18NEG_62.mzML ,6105_U2_C18NEG_40.mzML ,6113_U3_C18NEG_15.mzML ,6102_U3_C18NEG_48.mzML ,6101_U3_C18NEG_29.mzML ,6108_U4_C18NEG_18.mzML ,6104_U4_C18NEG_12.mzML ,6111_U1_C18NEG_51.mzML ,6105_U3_C18NEG_39.mzML ,6110_U4_C18NEG_10.mzML ,6111_U3_C18NEG_54.mzML ,6104_U2_C18NEG_19.mzML ,6101_U1_C18NEG_59.mzML ,6111_U2_C18NEG_35.mzML ,6113_U2_C18NEG_31.mzML ,6101_U4_C18NEG_14.mzML ,6103_U3_C18NEG_61.mzML ,6108_U3_C18NEG_28.mzML ,6109_U1_C18NEG_58.mzML ,6104_U3_C18NEG_32.mzML ,6110_U3_C18NEG_45.mzML ,6108_U2_C18NEG_27.mzML ,6108_U1_C18NEG_44.mzML ,6102_U4_C18NEG_50.mzML ,PooledQC10_C18NEG_64.mzML ,6103_U2_C18NEG_60.mzML ,PooledQC9_C18NEG_57.mzML ,6102_U2_C18NEG_16.mzML ,6112_U2_C18NEG_37.mzML ,6110_U1_C18NEG_11.mzML ,6112_U4_C18NEG_63.mzML ,6109_U3_C18NEG_52.mzML ,6109_U4_C18NEG_22.mzML ,6109_U2_C18NEG_13.mzML ,6106_U4_C18NEG_36.mzML ,6113_U1_C18NEG_24.mzML ,PooledQC5_C18NEG_25.mzML ,6106_U3_C18NEG_20.mzML ,PooledQC6_C18NEG_33.mzML ,6112_U3_C18NEG_56.mzML ,PooledQC4_C18NEG_17.mzML ,PooledQC8_C18NEG_49.mzML ,PooledQC7_C18NEG_41.mzML ,6103_U1_C18NEG_21.mzML ,6106_U1_C18NEG_23.mzML ,6106_U2_C18NEG_46.mzML ,6112_U1_C18NEG_38.mzML ,Prerun_PooledQC3_C18NEG_7_1.mzML 
8094,171.0486578,4.824092,0,0,0,0,0,0,0,0,0,0,0,0,1359.4219,0,0,0,0,0,2342.9714,1362.7106,0,0,1050.0979,0,0,1030.1067,0,1623.9912,0,0,0,0,0,0,0,4291.3555,0,4122.7427,0,53064.18,0,26061.719,0,0,0,0,0,5478.7993,0,4681.387,64524.637,5009.1895,5371.782,4264.3833,1420,0,0,34844.598,4404.153
8116,541.26507,4.807319,0,0,0,122914.78,75771.56,88029.5,53759.32,95655.71,38066.96,111236.42,87299.01,26790.164,111859.44,35749.43,80153.26,79888.85,94464.26,89460.234,131015.44,101336.48,61331.695,156381.83,41362.832,94262.664,105753.49,38064.25,61791.336,48630.574,92752.35,113422.16,59732.9,88211.766,7369.775,107477.87,64654.945,78535.14,41082.78,81822.89,68327.88,105582.27,105750.8,88565.8,124405.11,102049.28,119636.74,46550.652,38328.59,75559.1,56994.297,78856.664,101242.19,75198.98,82674.07,72942.21,78157.32,90769.19,19335.941,101558.086,78982.09
8120,137.0243093,4.8147106,2206.5066,1224.6481,1176.366,1662.0676,3193.0107,2641.7173,5506.4473,4906.688,8481.083,2594.4229,7225.645,2020.4557,9156.539,1589.1002,2355.8162,1655.388,3698.1003,11293.01,2094.6267,4015.7642,2357.9172,1508.3866,97213.16,1797.825,4543.985,2159.0618,3422.258,43317.434,5039.524,31545.156,4321.915,1570.7429,6916.024,29909.877,5000.905,18828.156,119730.22,19145.637,2524.0884,1703.4271,1738.8346,1440.207,3146.9136,3625.207,246187.92,8800.111,1651.905,22175.33,12271.924,20956.3,2494.2778,19799.246,18876.793,21191.074,171854.83,1506.8214,2086.5967,3125.9534,17775.498
8125,495.2227056,4.811747,0,1013.4381,0,11146.928,1366.4086,2352.6565,1095.126,1566.5435,66939.67,1272.2155,1144.4401,1329.296,1231.7544,1055.4209,1363.2551,1024.5824,1268.3882,1435.4005,109012.46,1290.5238,1668.3574,34657.848,0,1151.0074,36138.125,1473.7716,0,76002.34,1386.6105,1550.5391,1605.7513,1192.6334,1179.2563,1270.5464,82937.37,27050.234,33785.086,27782.61,1251.4595,1214.6681,1451.2346,1251.4028,1397.5577,1419.0458,1398.1285,260332.38,1541.0331,24291.473,143288.53,24833.008,1287.6777,29330.19,29185.967,25961.521,9931.281,67788.64,195023.84,1533.6178,24337.584
8126,517.2048588,4.803932,0,0,0,2882.8188,0,0,0,0,17211.62,0,0,0,0,0,0,1062.0468,1084.9862,0,25696.658,0,1096.2328,8091.144,0,1131.8596,9702.544,1024.3778,1181.2893,17014.783,1266.2147,1156.176,0,0,0,0,22302.742,5436.027,7100.0005,10653.615,0,0,1154.6035,0,1497.9003,1163.9117,2706.937,58494.31,1411.4414,6523.158,34125.613,5605.962,1235.9153,9113.846,7445.075,7324.6963,3123.4602,18267.623,46917.105,1211.3005,6471
8134,565.1562645,4.7988057,0,0,0,2647.606,1756.9518,1647.2811,1374.9828,17029.764,1484.8522,14925.077,1706.1552,2622.578,96795.7,1777.625,2078.7097,2389.3838,2129.6677,2129.1343,2815.1592,30352.771,1977.8169,2369.875,1668.9032,1586.7338,2731.3555,1389.4519,2406.6096,1496.9282,1941.3907,1655.5497,1845.8739,2078.9797,1154.0513,1730.2488,1798.0475,5661.392,1145.339,4984.9297,1991.7412,2975.4883,2207.397,3910.9265,2958.4324,2021.2949,2952.4224,1440.1179,2024.8716,5142.2183,1264.1675,4992.3315,3851.0852,4688.2173,4816.6426,4794.4136,2016.0742,1467.9006,0,3082.3083,3852.375
8151,366.1016151,4.84642,0,0,0,3199.0903,23928.941,5646.1357,7875.0664,5112.7495,5723.152,8834.472,7717.605,5830.7925,3527.4734,9799.444,6739.419,19212.812,7665.059,6445.8174,3573.7568,4785.0566,15780.136,2286.4712,5382.1187,27792.37,2102.403,6881.7065,20334.182,9892.768,3686.654,2481.3896,8575.247,12688.1,1886.0134,2649.6987,4506.197,6084.3325,8615.464,7074.0776,6903.938,2963.2236,29764.654,2148.6626,1108.105,3430.0308,2288.5266,1114.8821,10293.268,7425.8115,1792.0883,7997.01,3715.3474,8050.121,7083.553,6890.156,11646.123,3206.3276,1036.5961,3136.8425,6326.248
8172,381.0233691,4.8970375,1546.1124,1791.4623,1465.0892,1933.2136,2463.0217,1806.6519,2172.32,1945.4994,2078.69,46276.754,1926.4303,1792.0151,2172.8147,1961.6332,2377.089,1851.25,1503.4719,2516.1414,8046.2783,3632.9802,2321.1526,9577.816,11795.986,3222.8464,2112.2578,1985.4886,4090.5608,2391.7615,2243.102,1967.0184,11965.776,3176.4312,1863.0718,8665.579,4577.6514,4169.634,2415.6533,3215.0627,2106.6372,2541.3096,5093.7485,1700.4464,19715.898,1689.6123,20628.523,2031.157,2153.6401,5322.566,1977.6866,4103.027,2339.633,4637.4956,4190.05,3581.3022,2306.1106,2156.9163,1921.4178,5507.9146,4158.2314
8174,411.2020602,4.884031,0,0,0,11232.754,17214.393,14588.955,15264.835,18982.31,34991.223,55532.348,29500.871,32548.918,12183.346,41624.746,32591.309,28902.559,61844.453,32768.492,7861.28,11205.494,34955.87,11273.343,22846.209,17166.12,7544.244,64120.926,56980.516,60069.555,20596.158,23964.344,43852.77,24855.234,12017.712,17840.066,31275.244,25333.68,32406.596,24322.857,11977.201,4125.1367,57164.5,6475.8853,16358.54,6620,23143.129,3422.8972,45278.04,28871.465,6637.718,24148.086,8322.24,23948.672,24389.738,26590.6,34011.01,18636.139,6622.81,13920.911,26863.357
8177,383.1530472,4.8851233,0,0,0,70643.29,10736.602,29128.123,15596.135,71164.58,16922.432,95457.32,39101.06,5834.331,100855.305,7318.68,40019.76,11476.111,12514.3955,53455.55,49372.17,79695.9,25453.082,61482.633,38678.72,9822.944,48172.156,7220.6895,11152.461,26274.348,8577.973,22821.883,30546.182,29997.232,4118.018,11571.011,28673.555,35964.53,26577.393,37692.766,32246.701,150180.38,24431.988,113240.47,20694.486,29746.31,30074.885,36172.79,5795.328,35646.574,48173.58,37251.715,109689.836,37469.93,36333.676,36304.1,39459.02,37305.36,19755.04,128220.805,34466.082
