mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
365.0528_0.68,365.0528,0.68,16902.0205,365.0528_0.68,365.0528_0.68,1
307.0326_0.669,307.0326,0.669,10535.622500000001,307.0326_0.669,307.0326_0.669,1
246.0433_0.669,246.0433,0.669,6290.208,246.0433_0.669,246.0433_0.669,1
275.0216_0.69,275.0216,0.69,37214.3165,275.0216_0.69,275.0216_0.69,1
278.0698_0.683,278.0698,0.683,11224.590499999998,278.0698_0.683,278.0698_0.683,1
218.9961_0.686,218.9961,0.686,37568.355500000005,218.9961_0.686,218.9961_0.686,1
191.0212_0.699,191.0212,0.699,5668005.25,191.0212_0.699,191.0212_0.699,1
509.0384_0.699,509.0384,0.699,1660.45725,509.0384_0.699,509.0384_0.699,1
289.0363_0.688,289.0363,0.688,38101.9215,Cluster_289.0363_0.688,288.0398_0.684;289.0363_0.688,2
300.0195_0.687,300.0195,0.687,15168.3325,300.0195_0.687,300.0195_0.687,1
480.0818_0.682,480.0818,0.682,2495.8007,Cluster_480.0818_0.682,436.092_0.669;480.0818_0.682,2
361.0578_0.686,361.0578,0.686,37253.285,361.0578_0.686,361.0578_0.686,1
242.0115_0.695,242.0115,0.695,14140.985499999999,Cluster_242.0115_0.695,242.0115_0.695;410.0417_0.684,2
145.0141_0.693,145.0141,0.693,36075.834,145.0141_0.693,145.0141_0.693,1
302.0532_0.694,302.0532,0.694,17619.406000000003,302.0532_0.694,302.0532_0.694,1
439.056_0.753,439.056,0.753,2987.1109500000002,Cluster_439.056_0.753,360.1406_0.756;439.056_0.753;549.0364_0.757;771.1962_0.744,4
418.1123_0.717,418.1123,0.717,15447.458999999999,418.1123_0.717,418.1123_0.717,1
377.0526_0.697,377.0526,0.697,21558.055,377.0526_0.697,377.0526_0.697,1
296.9824_0.699,296.9824,0.699,234340,Cluster_296.9824_0.699,295.9856_0.697;296.9824_0.699,2
218.0492_0.684,218.0492,0.684,16366.7885,Cluster_218.0492_0.684,218.0492_0.684;316.0285_0.688,2
133.0504_0.696,133.0504,0.696,33872.4315,133.0504_0.696,133.0504_0.696,1
405.0469_0.697,405.0469,0.697,20555.761,405.0469_0.697,405.0469_0.697,1
349.0207_0.696,349.0207,0.696,9626.0535,349.0207_0.696,349.0207_0.696,1
333.0634_0.694,333.0634,0.694,47664.994000000006,Cluster_333.0634_0.694,332.0663_0.696;333.0634_0.694,2
394.06_0.685,394.06,0.685,12870.4915,394.06_0.685,394.06_0.685,1
144.03_0.697,144.03,0.697,15983.524,144.03_0.697,144.03_0.697,1
391.0332_0.698,391.0332,0.698,1155967.55,Cluster_391.0332_0.698,391.0332_0.698;392.0363_0.698,2
296.0197_0.697,296.0197,0.697,2502.8905000000004,296.0197_0.697,296.0197_0.697,1
191.0523_0.699,191.0523,0.699,114326.4375,191.0523_0.699,191.0523_0.699,1
319.0474_0.696,319.0474,0.696,223836.265,Cluster_319.0474_0.696,319.0474_0.696;320.05_0.698,2
347.0424_0.697,347.0424,0.697,34351.246499999994,347.0424_0.697,347.0424_0.697,1
191.0203_0.697,191.0203,0.697,5614155.5,191.0203_0.697,191.0203_0.697,1
397.0582_0.701,397.0582,0.701,24902.7105,397.0582_0.701,397.0582_0.701,1
277.0021_0.707,277.0021,0.707,7786.027,Cluster_277.0021_0.707,225.0424_0.708;277.0021_0.707;419.1179_0.71,3
206.9961_0.7,206.9961,0.7,78696.23999999999,206.9961_0.7,206.9961_0.7,1
78.9585_0.702,78.9585,0.702,188137.62,78.9585_0.702,78.9585_0.702,1
468.0451_0.696,468.0451,0.696,3957.3292,Cluster_468.0451_0.696,468.0451_0.696;570.0904_0.696;584.0883_0.697,3
389.0528_0.7,389.0528,0.7,32482.294,389.0528_0.7,389.0528_0.7,1
246.9913_0.705,246.9913,0.705,97681.763,Cluster_246.9913_0.705,246.9913_0.705;246.9916_0.705;247.9921_0.704;247.9959_0.702,4
161.988_0.685,161.988,0.685,8831.714,161.988_0.685,161.988_0.685,1
154.9984_0.703,154.9984,0.703,24608.89,154.9984_0.703,154.9984_0.703,1
111.0085_0.703,111.0085,0.703,608648.225,Cluster_111.0085_0.703,111.0085_0.703;192.0224_0.702,2
216.981_0.709,216.981,0.709,107680.603,216.981_0.709,216.981_0.709,1
524.0845_0.705,524.0845,0.705,7974.1891,524.0845_0.705,524.0845_0.705,1
379.0336_0.708,379.0336,0.708,29117.275999999998,379.0336_0.708,379.0336_0.708,1
367.0282_0.707,367.0282,0.707,16975.1235,367.0282_0.707,367.0282_0.707,1
543.0792_0.704,543.0792,0.704,8591.299500000001,543.0792_0.704,543.0792_0.704,1
303.0532_0.705,303.0532,0.705,41488.0975,303.0532_0.705,303.0532_0.705,1
232.9759_0.708,232.9759,0.708,37385.9745,232.9759_0.708,232.9759_0.708,1
423.0571_0.703,423.0571,0.703,13724.937,423.0571_0.703,423.0571_0.703,1
347.079_0.706,347.079,0.706,31007.718999999997,347.079_0.706,347.079_0.706,1
146.0456_0.708,146.0456,0.708,43595.223,146.0456_0.708,146.0456_0.708,1
335.0468_0.663,335.0468,0.663,124714.872,335.0468_0.663,335.0468_0.663,1
409.0428_0.71,409.0428,0.71,15001.855749999999,409.0428_0.71,409.0428_0.71,1
559.1102_0.68,559.1102,0.68,2783.9565000000002,Cluster_559.1102_0.68,427.0674_0.685;559.1102_0.68;573.1087_0.695,3
259.057_0.712,259.057,0.712,10906.243,259.057_0.712,259.057_0.712,1
377.0353_0.713,377.0353,0.713,36738.292,377.0353_0.713,377.0353_0.713,1
263.0249_0.69,263.0249,0.69,18590.9655,Cluster_263.0249_0.69,263.0249_0.69;288.0231_0.685;337.0436_0.684;385.0951_0.677,4
