m.z,r.t.,p,t.score,mode
100.0756,0.774,0.0637,-2.113752642,positive
1106.5217,3.833,0.173,-1.478368647,positive
111.0439,0.81,0.197,-1.393080496,positive
111.044,2.998,0.0574,-2.178043887,positive
114.0669,0.645,0.0776,-1.991276391,positive
121.0283,0.799,0.521,0.66762934,positive
121.0284,2.736,0.861,0.180762096,positive
121.0284,3.033,0.118,1.727290075,positive
121.0284,3.689,0.921,0.101594463,positive
121.0646,4.206,0.682,0.424013257,positive
125.0597,3.726,0.389,0.905410547,positive
131.0494,4.532,0.111,1.766268673,positive
132.0444,0.791,0.283,-1.140857167,positive
132.0768,0.656,0.0117,-3.151364538,positive
134.0601,3.31,0.674,-0.434801035,positive
134.0963,0.777,0.826,0.226928917,positive
134.0964,2.689,0.338,1.011402557,positive
135.0441,3.831,0.405,0.872773667,positive
136.0482,0.633,0.0296,2.582830834,positive
137.0597,3.062,0.287,1.132142505,positive
137.0598,4.484,0.325,1.041520138,positive
137.071,0.636,0.0921,1.885057811,positive
138.0551,0.654,0.167,1.503747815,positive
138.0639,0.655,0.63,0.498948291,positive
139.0387,3.143,0.946,0.069242829,positive
141.0659,0.655,0.116,-1.737938567,positive
142.0862,0.71,0.02,-2.82289238,positive
144.0655,0.707,0.516,0.675840147,positive
144.1023,0.656,0.162,1.525007625,positive
144.1103,0.66,0.755,-0.321492692,positive
144.1283,0.662,0.0448,2.329920156,positive
145.0648,5.215,0.333,1.024045553,positive
146.0609,0.789,0.871,0.166903755,positive
146.0614,2.317,0.416,0.852832093,positive
146.0812,0.71,0.702,0.394503536,positive
148.1122,0.753,0.307,1.083618013,positive
148.112,2.583,0.244,1.245807348,positive
149.0596,0.765,0.446,0.796208353,positive
149.0598,4.188,0.685,0.419164612,positive
149.0598,7.95,0.0688,2.065751956,positive
152.0699,2.312,0.263,1.193675673,positive
152.0705,2.812,0.23,1.28821356,positive
152.07,0.791,0.339,1.009294359,positive
153.0658,0.769,0.406,-0.872094212,positive
153.0659,2.108,0.95,0.064839327,positive
156.0769,0.621,0.00255,-4.133470344,positive
159.1492,0.608,0.0894,-1.903601424,positive
160.0405,2.57,0.553,-0.616435739,positive
160.0967,0.691,0.133,1.650516945,positive
160.1332,0.662,0.0773,-1.994189705,positive
162.1126,0.642,0.0124,-3.118268849,positive
163.0755,3.225,0.624,-0.507041469,positive
163.0993,3.595,0.207,1.359061724,positive
163.123,1.223,0.143,-1.604522287,positive
163.1243,0.654,0.00322,-3.976574337,positive
166.0723,0.669,0.967,0.042540962,positive
166.0862,0.727,0.0068,-3.493107586,positive
166.0863,2.395,0.0859,-1.928249415,positive
166.1216,0.797,0.343,1.000978922,positive
166.1226,2.55,0.424,0.837326283,positive
166.131,0.809,0.366,0.952445585,positive
167.0562,0.774,0.218,-1.324799849,positive
167.0563,2.234,0.27,-1.174410618,positive
167.0564,2.346,0.097,-1.852422309,positive
167.0795,4.248,0.16,1.532008436,positive
169.0358,1.154,0.652,-0.466362527,positive
170.0447,0.81,0.856,0.186275225,positive
170.0448,2.599,0.996,-0.005741395,positive
170.0602,4.487,0.575,0.581851126,positive
170.0631,0.751,0.0521,-2.237419776,positive
170.0926,0.62,0.0155,-2.976402823,positive
174.0873,0.814,0.389,-0.90461797,positive
174.1237,2.04,0.00283,4.062177603,positive
175.1442,0.616,0.514,-0.679794195,positive
176.0707,4.755,0.184,1.437697092,positive
177.0546,3.653,0.317,1.058972996,positive
177.102,0.741,0.11,-1.775105376,positive
177.1123,4.741,0.869,-0.169984809,positive
180.0658,2.895,0.133,1.653626233,positive
180.0658,3.481,0.12,1.715712339,positive
180.0739,3.473,0.433,0.820630493,positive
181.0609,3.097,0.226,-1.301218607,positive
181.0704,2.671,0.339,-1.009306738,positive
181.0717,0.801,0.209,-1.353806582,positive
182.0715,2.896,0.284,1.139698265,positive
183.0644,2.192,0.184,-1.440735031,positive
183.0645,2.074,0.32,-1.05234901,positive
183.0655,4.503,0.193,1.406814282,positive
185.0912,0.756,0.0204,-2.80823751,positive
185.1284,0.796,0.136,-1.63749939,positive
185.1284,2.751,0.201,-1.379333662,positive
186.1124,4.054,0.87,0.168519017,positive
189.1684,0.616,0.0474,-2.295246717,positive
189.16,0.615,0.0496,-2.267223514,positive
190.0499,3.133,0.0945,-1.868689351,positive
191.1066,5.298,0.872,-0.166111663,positive
192.0659,4.563,0.358,-0.969471634,positive
192.1052,3.316,0.0786,-1.984012451,positive
193.0968,0.764,0.0197,-2.829616163,positive
193.1547,0.646,0.815,-0.241061377,positive
195.0647,0.814,0.157,1.545160205,positive
195.0874,3.353,0.0329,-2.517552842,positive
196.0604,3.589,0.881,-0.153698694,positive
196.0604,4.033,0.924,-0.097517039,positive
196.0605,2.921,0.593,0.55371073,positive
196.0693,3.577,0.93,-0.090621239,positive
199.0965,3.235,0.615,-0.521041103,positive
199.0965,3.748,0.537,-0.641884296,positive
199.1068,3.168,0.0428,-2.357132332,positive
199.1069,3.734,0.881,-0.153776862,positive
200.1281,5.02,0.013,-3.084402848,positive
202.1437,5.378,0.125,-1.690618598,positive
203.0814,0.73,0.4,-0.883125428,positive
203.139,0.665,0.015,-2.996618505,positive
203.1502,0.654,0.105,-1.800069307,positive
204.1231,0.665,0.00452,-3.754589656,positive
204.1231,1.146,0.0749,-2.013631533,positive
205.0971,2.931,0.094,-1.872051508,positive
205.097,0.801,0.0103,-3.231558288,positive
210.0607,1.159,0.00174,4.391153963,positive
213.0757,3.832,0.84,0.207593776,positive
213.076,4.23,0.602,0.539943315,positive
213.1234,0.672,0.514,0.679635025,positive
215.0163,0.719,0.0693,2.061306895,positive
217.118,0.7,0.387,-0.909516593,positive
217.1547,0.664,0.395,-0.893596197,positive
218.0426,0.785,0.0432,2.351570118,positive
218.1384,6.89,0.183,1.440974751,positive
218.1386,2.048,0.0368,-2.449612159,positive
219.1705,0.65,0.175,1.473806843,positive
220.0637,0.707,0.0892,-1.904473165,positive
220.0638,2.227,0.26,-1.201617673,positive
220.1178,2.562,0.0121,3.131958836,positive
220.1179,0.735,0.00963,3.273684537,positive
220.1367,4.453,0.0792,-1.978848612,positive
222.1126,4.749,0.211,-1.347785154,positive
224.056,3.685,0.383,-0.916650625,positive
226.071,3.019,0.528,-0.655703969,positive
226.9516,0.553,0.382,-0.920000873,positive
227.1026,2.542,0.35,-0.984871629,positive
229.0704,2.103,0.268,1.181569985,positive
229.0982,5.024,0.169,-1.493835234,positive
229.1182,0.667,0.547,-0.625567326,positive
229.1547,1.206,0.0103,-3.228868045,positive
229.1547,1.899,0.0197,-2.830902062,positive
229.1547,2.116,0.0811,-1.964404704,positive
229.1549,0.669,0.0684,-2.069823718,positive
230.1106,4.213,0.212,1.344495321,positive
230.9902,0.718,0.00617,3.554906631,positive
231.1009,6.633,0.889,-0.143628914,positive
232.0264,2.519,0.202,1.375447719,positive
232.1543,0.707,0.166,-1.506234486,positive
232.1544,2.651,0.327,-1.037348538,positive
234.1122,4.883,8.15E-06,9.0510619,positive
235.0574,3.619,0.433,0.820111796,positive
237.1232,2.723,0.415,0.854843882,positive
239.1389,4.617,0.263,1.195201026,positive
240.0954,4.039,0.746,-0.333710955,positive
240.1607,5.206,0.781,0.286094147,positive
241.1546,1.985,0.0716,-2.041766734,positive
242.1115,4.496,0.722,0.36684158,positive
242.1325,4.563,0.693,-0.408302092,positive
242.1417,4.559,0.953,0.061197434,positive
242.1504,4.993,0.464,0.764390694,positive
243.0877,4.57,0.559,0.607524124,positive
243.1339,3.536,0.15,-1.574515459,positive
244.1269,4.537,0.615,-0.520447403,positive
244.1542,0.804,0.0471,-2.298673282,positive
244.1542,3.098,0.188,-1.423262705,positive
244.1711,3.868,0.463,0.765822817,positive
245.0798,4.776,0.113,-1.754020891,positive
245.1494,3.787,0.0683,-2.070424732,positive
245.1495,3.326,0.12,-1.717294875,positive
246.0972,2.12,0.232,1.28157168,positive
246.1699,0.806,0.0303,-2.568342815,positive
246.17,3.238,0.0184,-2.872692257,positive
247.1076,4.297,0.835,-0.213969767,positive
247.1078,4.488,0.454,0.782196522,positive
247.1288,0.789,0.523,-0.664321034,positive
247.1424,0.808,0.604,0.536899477,positive
247.1441,3.239,0.681,-0.424128625,positive
248.1679,5.389,0.0775,-1.992384603,positive
249.0966,4.117,0.592,-0.555923131,positive
250.1107,3.546,2.73E-05,7.791368378,positive
251.1276,5.991,0.0682,-2.071589051,positive
254.1398,5.274,0.94,0.077943371,positive
254.1765,6.358,0.374,0.936391405,positive
255.0655,5.039,0.209,-1.353499695,positive
256.1666,4.784,0.178,-1.462406536,positive
257.1494,3.646,0.102,-1.818500828,positive
257.1495,4.039,0.173,-1.480873306,positive
257.153,5.622,0.00651,-3.520886316,positive
257.2261,6.012,0.418,-0.849047636,positive
258.1241,0.69,0.0893,-1.904071044,positive
258.1269,3.305,0.765,0.307728452,positive
258.128,4.17,0.936,-0.082970066,positive
258.1827,3.513,0.428,-0.829782537,positive
258.1834,4.934,0.293,1.116692745,positive
258.1848,3.943,0.284,1.139692758,positive
258.1947,3.931,0.348,0.98997404,positive
259.1651,4.324,0.124,-1.698207993,positive
260.1492,2.107,0.158,-1.540308557,positive
261.1442,0.8,0.0196,-2.832534265,positive
261.1443,3.263,0.794,-0.268831574,positive
261.1443,3.733,0.545,-0.629008437,positive
262.1648,2.169,0.0171,-2.916531602,positive
263.0816,7.148,0.962,0.048535574,positive
263.1025,3.498,0.97,-0.038847547,positive
265.1191,2.889,0.756,-0.319940515,positive
265.1195,3.466,0.733,-0.352546367,positive
265.1278,3.383,0.783,-0.283494546,positive
265.1556,3.46,0.445,-0.798197234,positive
266.1022,3.875,0.329,-1.030961891,positive
266.1357,3.432,0.784,-0.281861408,positive
266.1362,3.431,0.679,-0.426899242,positive
267.1329,3.967,0.883,0.1512794,positive
267.1335,4.316,0.663,0.450775529,positive
269.1244,0.667,0.176,-1.469476367,positive
270.183,4.814,0.119,1.720548998,positive
271.0596,4.449,0.461,-0.769508773,positive
271.0753,2.433,0.134,1.648134476,positive
271.0761,0.756,0.173,1.479414899,positive
271.1653,4.288,5.44E-04,-5.227256814,positive
271.1656,4.57,1.92E-04,-6.042335762,positive
272.1663,5.352,0.752,0.325643812,positive
272.1855,3.975,0.0442,-2.337011666,positive
272.2044,4.93,0.199,1.385377581,positive
272.2049,4.967,0.13,1.666429602,positive
272.2382,4.968,0.354,0.976414305,positive
273.2384,4.97,0.337,1.01418792,positive
274.1181,0.778,0.941,-0.076040386,positive
274.1778,4.235,0.154,1.557027418,positive
274.1833,5.809,0.0588,-2.162628623,positive
274.2013,4.449,0.0222,-2.756234213,positive
274.2138,4.28,0.263,-1.194979049,positive
276.1366,0.762,0.798,-0.263375933,positive
276.1375,2.825,0.0866,-1.923106359,positive
276.1442,0.669,0.0138,-3.049526573,positive
276.1442,2.061,0.0322,-2.530288614,positive
276.1991,6.202,0.0826,-1.953093164,positive
277.1173,0.79,0.625,-0.506699359,positive
277.1432,7.079,0.0049,-3.702155111,positive
278.1335,0.718,0.778,-0.290503548,positive
279.1317,4.044,0.495,0.710875202,positive
279.1332,3.64,0.3,1.100265132,positive
280.1543,3.604,0.117,-1.731455904,positive
281.1128,0.728,0.463,-0.766548303,positive
281.1128,0.765,0.62,-0.513462264,positive
281.1131,3.801,0.343,-1.001581032,positive
281.113,2.62,0.551,-0.620071984,positive
281.113,3.046,0.454,-0.7829121,positive
282.1196,1.153,0.501,0.70130223,positive
283.1287,4.036,0.0508,-2.252384088,positive
284.092,3.463,0.574,0.583406367,positive
284.1855,4.179,0.00393,-3.846331063,positive
285.1441,0.774,0.00337,-3.946292416,positive
285.1804,5.23,0.229,-1.289846819,positive
286.1284,2.172,0.164,-1.514064747,positive
286.1445,2.886,0.22,-1.318239951,positive
286.1792,4.126,0.967,-0.042126585,positive
286.2019,4.654,0.00262,-4.114966555,positive
286.2113,4.609,0.435,0.816529277,positive
287.1002,2.762,0.0424,2.362548514,positive
287.1003,2.867,0.016,2.95777065,positive
287.1004,3.467,0.00207,4.274155373,positive
287.1598,0.805,5.81E-04,-5.178057831,positive
287.1967,0.655,0.192,1.41002577,positive
288.1616,4.254,0.468,-0.758453516,positive
288.1937,3.464,0.0269,-2.641002008,positive
288.1983,5.173,0.545,0.628985507,positive
288.2168,4.83,0.00728,-3.449183285,positive
288.2295,5.182,0.0077,-3.414321386,positive
289.1393,3.497,0.76,0.315566454,positive
290.1419,5.181,0.808,0.250629286,positive
290.1595,0.783,0.0964,-1.855967746,positive
290.1597,2.525,0.207,-1.359828425,positive
290.1739,3.326,0.297,1.106762304,positive
292.1575,3.656,1.68E-05,8.277271862,positive
293.1465,4.573,0.00765,-3.418167255,positive
295.048,2.58,0.763,0.31150144,positive
295.1284,0.813,0.568,-0.592334094,positive
295.1287,3.186,0.0128,-3.09614445,positive
296.1492,2.896,0.2,-1.384551907,positive
296.1628,4.092,0.533,-0.64829588,positive
297.1443,3.938,0.669,0.441973117,positive
300.199,6.283,0.0297,-2.579299862,positive
300.2168,5.214,0.0835,-1.945814016,positive
300.217,5.005,0.0998,-1.834399735,positive
301.1221,3.855,0.674,-0.43473805,positive
301.1391,0.795,3.04E-04,-5.673245184,positive
302.1232,3.89,0.464,-0.764352797,positive
302.1418,0.788,0.00671,-3.50121648,positive
302.1423,3.205,0.647,-0.473635662,positive
302.1728,6.009,0.555,0.613563744,positive
302.1959,0.798,0.00709,-3.466277685,positive
302.196,3.701,0.0725,-2.033895923,positive
302.2329,5.39,0.11,-1.77571874,positive
302.2435,5.373,0.552,-0.617269329,positive
302.2687,5.39,0.0453,-2.321958531,positive
303.0741,3.467,2.63E-05,7.829510918,positive
303.0862,4.684,0.845,0.201754952,positive
303.1704,6.179,0.372,0.939786673,positive
304.129,3.192,0.0863,-1.925231442,positive
304.129,3.69,0.083,-1.949898175,positive
304.15,0.797,0.694,-0.406786791,positive
304.1925,4.641,0.387,0.909659976,positive
304.2117,4.122,0.0218,-2.769028766,positive
305.0863,2.684,0.394,0.894888207,positive
305.0865,0.744,0.617,0.517282216,positive
305.1857,4.623,0.567,0.594757521,positive
306.1703,4.74,0.42,0.845385015,positive
307.1221,2.208,0.278,-1.155594507,positive
307.2,5.592,0.506,0.69293539,positive
308.168,5.004,0.215,1.332585829,positive
308.1854,4.932,0.476,-0.743172766,positive
308.1987,4.967,0.519,-0.670527419,positive
308.2029,4.983,0.761,-0.313300273,positive
309.1689,5.025,0.0141,3.036682248,positive
310.1653,3.385,0.393,-0.897834559,positive
310.2375,5.158,0.0187,-2.861673813,positive
311.1488,4.505,0.186,1.43156617,positive
311.1563,5.057,0.245,-1.243329378,positive
312.1299,0.786,0.0425,-2.360853604,positive
312.1301,2.601,0.378,-0.926272233,positive
312.2162,5.201,0.0186,-2.866945885,positive
312.2166,4.927,0.212,1.344986731,positive
312.2168,5.505,0.0286,-2.602086439,positive
313.0848,2.276,0.364,0.956122999,positive
313.0853,3.183,0.251,1.227489203,positive
314.2327,5.619,0.00129,-4.599722568,positive
316.1385,4.504,0.247,-1.238448313,positive
316.1938,5.631,0.0711,-2.04616521,positive
316.248,5.914,0.0762,-2.00291751,positive
316.248,6.107,0.0184,-2.872707012,positive
317.0855,0.773,0.346,-0.995322012,positive
318.1438,2.762,0.861,-0.179575252,positive
318.1909,0.803,0.141,-1.612502603,positive
318.191,3.368,0.282,-1.14390254,positive
318.2093,5.034,0.11,-1.771491375,positive
319.1649,4.258,0.987,-0.016670463,positive
319.165,3.812,0.00689,-3.484670211,positive
322.1811,5.096,0.262,1.195444644,positive
322.2005,4.899,0.91,-0.116423251,positive
324.1249,2.964,0.0931,-1.877720717,positive
324.1258,3.118,0.921,-0.102474109,positive
325.1697,5.177,0.596,-0.549311116,positive
325.1883,3.576,0.202,-1.376238859,positive
326.0869,2.134,0.71,-0.384238767,positive
326.1962,5.293,0.303,-1.092972474,positive
327.0685,0.734,0.16,1.531445479,positive
328.1026,3.567,0.567,-0.593691657,positive
328.1873,2.778,0.404,0.874985469,positive
328.2118,4.717,0.37,-0.943837434,positive
328.2482,6.065,0.00131,-4.587994631,positive
328.248,6.21,0.509,-0.688306042,positive
329.2074,3.337,0.914,-0.110716015,positive
330.1909,3.491,0.0625,-2.125612413,positive
330.2272,4.126,0.183,-1.443869308,positive
330.2275,4.829,0.00322,-3.977007772,positive
331.2276,4.919,0.0573,-2.179067249,positive
331.2294,4.533,0.553,-0.615492772,positive
336.2167,5.325,8.23E-04,-4.921831798,positive
337.1754,3.847,0.608,-0.530972246,positive
338.0825,3.449,0.378,-0.926598239,positive
338.0863,0.805,0.649,0.4706154,positive
338.0865,3.299,0.593,0.554710313,positive
338.1399,3.076,0.67,-0.440948122,positive
338.1737,6.007,0.949,0.065772376,positive
338.1777,5.232,0.0413,-2.379209007,positive
338.2323,5.729,0.00423,-3.797528991,positive
338.2324,5.637,0.0133,-3.070787817,positive
340.1025,3.555,0.313,1.069219754,positive
340.1026,3.009,0.376,0.931779207,positive
340.1336,2.71,0.36,-0.965358367,positive
340.2479,6.162,0.127,-1.683068291,positive
341.1709,3.522,0.404,-0.876098476,positive
341.183,2.936,0.276,1.160855698,positive
341.1877,3.826,0.39,0.903854203,positive
342.1686,3.782,0.738,-0.345312696,positive
342.173,5.69,0.0246,-2.695108896,positive
342.2635,6.518,0.101,-1.827456075,positive
343.1003,0.795,0.807,-0.251011407,positive
343.1674,2.639,0.196,-1.396054522,positive
343.2227,4.522,0.202,-1.377016765,positive
344.2066,4.021,0.328,-1.033297128,positive
344.2431,4.284,0.187,-1.426636661,positive
344.2542,4.012,0.0459,-2.314353675,positive
346.2221,2.636,0.52,0.668649546,positive
349.0869,0.775,0.437,-0.812684993,positive
350.0854,0.775,0.99,0.013219802,positive
350.2065,3.938,0.755,-0.321726968,positive
350.2322,5.809,0.933,0.086076055,positive
354.1544,3.176,0.41,0.863833489,positive
355.2625,6.784,0.564,0.598366483,positive
356.1907,4.001,0.794,-0.268801458,positive
356.2429,4.821,0.0163,-2.947991839,positive
356.2429,5.382,0.0206,-2.802866028,positive
356.2429,5.634,0.054,-2.214591743,positive
357.1179,3.698,0.0808,1.966685515,positive
357.2786,5.926,0.677,-0.430307476,positive
357.2787,6.664,0.664,-0.448423155,positive
358.1496,4.728,0.946,-0.069824578,positive
358.2585,4.768,0.00528,-3.654112091,positive
358.2585,5.127,0.0523,-2.234836765,positive
358.2589,5.812,0.129,-1.669336283,positive
363.1428,4.369,0.687,0.416429099,positive
364.0426,0.774,0.298,1.105084416,positive
364.1964,4.526,0.0993,1.837287887,positive
364.196,3.31,0.602,0.539996961,positive
366.1108,0.7,0.502,-0.699521595,positive
366.1127,3.577,0.541,-0.635832058,positive
366.1134,3.129,0.224,-1.307244656,positive
366.2039,4.917,0.45,-0.790323608,positive
367.1497,0.741,0.0775,-1.992530469,positive
367.1498,2.362,0.0189,-2.854849926,positive
369.1289,3.506,0.0173,-2.909793242,positive
369.1292,3.953,0.0325,-2.524432874,positive
369.129,3.414,0.0805,-1.968806438,positive
372.1861,3.381,0.533,-0.647920338,positive
373.1128,2.656,0.555,0.613496785,positive
375.2614,3.928,0.998,0.003096439,positive
377.1448,3.492,0.101,-1.829195438,positive
378.1418,3.378,0.87,0.168436128,positive
378.1755,4.358,0.527,0.658334904,positive
378.1767,3.465,0.198,-1.390699783,positive
380.1102,4.279,0.218,-1.325620995,positive
381.1534,4.397,0.484,0.72938007,positive
383.0941,2.983,0.0795,1.976772134,positive
383.0946,0.768,0.384,0.915265829,positive
383.133,0.792,0.972,0.035767129,positive
384.1146,2.579,0.112,-1.76412521,positive
384.1171,0.716,0.0646,-2.104790402,positive
384.1228,2.31,0.349,-0.988628441,positive
385.1464,0.793,0.103,1.812635715,positive
385.3097,5.886,0.0187,-2.862949608,positive
389.1625,5.768,0.115,-1.746738825,positive
390.1393,3.49,0.417,0.851140821,positive
390.2632,6.892,0.0705,2.050744786,positive
392.1549,3.207,0.232,1.282846681,positive
392.1549,3.682,0.56,0.605239142,positive
394.0744,0.764,0.738,0.344989499,positive
394.1701,3.105,0.113,1.753866128,positive
394.1707,0.77,0.186,1.431177714,positive
395.1334,4.462,0.716,0.37567302,positive
398.1138,3.137,0.0501,2.260581881,positive
398.1421,3.384,0.34,-1.00668448,positive
398.1452,4.007,0.0915,-1.888757072,positive
398.1823,5.89,0.879,0.156523696,positive
400.1973,6.231,0.959,-0.053497172,positive
400.2173,3.807,0.816,-0.239952484,positive
400.269,4.886,0.181,-1.450654931,positive
402.2845,4.888,0.122,-1.705178688,positive
402.2846,5.623,0.121,-1.71084512,positive
405.1518,6.25,0.42,-0.844764711,positive
406.1258,5.43,0.358,-0.967889751,positive
410.0483,0.757,0.686,0.418133077,positive
410.1446,4.093,0.362,-0.960053046,positive
410.1459,4.445,0.209,-1.35363709,positive
412.2838,6.085,0.0951,-1.86452767,positive
412.284,6.004,0.799,0.262683098,positive
413.0425,3.484,0.148,1.582688919,positive
413.1052,2.633,0.715,0.377038772,positive
413.1411,0.782,0.115,-1.745426809,positive
413.1413,2.988,0.229,-1.289873684,positive
414.2998,5.934,0.0141,-3.034983234,positive
414.2998,5.974,0.0277,-2.62306536,positive
414.3361,5.556,0.302,-1.093923888,positive
415.0333,3.007,0.865,0.175481672,positive
416.1472,3.465,0.386,-0.910396516,positive
416.1915,4.419,0.957,-0.055039812,positive
416.2124,3.558,0.72,-0.370056726,positive
416.3152,4.924,0.75,-0.328540133,positive
416.3153,6.637,0.829,-0.222884091,positive
416.3517,5.027,0.369,-0.946111129,positive
418.1658,4.047,0.0822,-1.955940577,positive
420.1268,2.836,0.774,-0.295704117,positive
420.1859,3.752,0.228,-1.294178024,positive
420.1863,3.296,0.586,0.56416913,positive
422.2054,3.013,0.654,-0.463359214,positive
424.1599,5.447,0.145,-1.596476966,positive
425.2145,9.778,0.225,-1.303702346,positive
429.1143,5.43,0.344,-0.99882605,positive
429.2112,4.041,0.123,1.703931049,positive
430.1728,4.485,0.862,-0.179451507,positive
430.2032,5.342,0.786,-0.279787399,positive
430.2946,5.306,0.143,-1.603924252,positive
431.0964,3.273,0.231,-1.284449502,positive
431.0966,3.757,0.414,-0.85615689,positive
431.0972,4.035,0.816,0.239731071,positive
432.1859,3.705,0.532,0.650272795,positive
432.2483,2.831,0.264,1.191165254,positive
432.3103,6.468,0.51,-0.686174877,positive
432.3465,4.852,0.825,0.227789339,positive
433.1121,3.884,0.649,-0.470346183,positive
433.1123,3.32,0.151,-1.571340995,positive
433.2362,4.04,0.0733,-2.027032169,positive
434.1403,3.73,0.616,-0.519539448,positive
434.1523,3.477,0.976,0.031225134,positive
434.1581,3.919,0.94,0.077790174,positive
435.1282,4.891,0.375,-0.932610693,positive
436.1558,2.94,0.829,0.222457858,positive
436.1558,3.898,0.0047,-3.729550186,positive
436.1596,4.464,0.196,-1.397207747,positive
436.1964,4.096,0.209,-1.353181648,positive
436.1971,4.541,0.27,-1.175618215,positive
436.225,0.726,0.925,-0.096449754,positive
438.1601,0.745,0.409,-0.865868772,positive
438.1606,2.865,0.211,1.347474175,positive
441.1613,0.696,0.599,0.544383583,positive
444.1861,4.37,0.107,-1.793112946,positive
444.2226,4.583,0.642,-0.481494474,positive
444.3097,5.039,0.79,-0.274503126,positive
446.2388,3.483,0.402,0.880348798,positive
447.0916,4.229,0.858,-0.184456477,positive
447.113,3.587,0.548,-0.624867235,positive
448.1364,3.004,0.872,0.165801511,positive
448.1967,3.611,0.278,1.154154476,positive
448.1978,4.334,0.894,0.136458958,positive
448.2321,4.67,0.295,1.111548679,positive
448.3052,5.404,0.544,-0.631273463,positive
448.3055,6.562,0.629,-0.499987042,positive
449.1046,3.633,0.714,0.378013662,positive
449.1059,4.17,0.0161,2.954620235,positive
449.1076,4.454,0.00196,4.310884712,positive
450.1364,0.798,0.596,-0.549717256,positive
450.2125,4.913,0.881,0.154408774,positive
450.2132,5.757,0.53,-0.653652727,positive
450.213,5.045,0.184,-1.440407526,positive
452.1914,4.626,0.0224,-2.752577956,positive
452.1914,4.683,0.0214,-2.778711697,positive
452.2062,5.052,0.945,0.07103479,positive
455.7883,4.34,0.113,1.755301957,positive
457.2213,5.699,0.329,1.033037395,positive
457.2496,6.911,0.451,-0.787103635,positive
458.1454,0.678,0.498,0.706895593,positive
458.202,4.658,0.33,-1.029933974,positive
461.1074,3.814,0.792,-0.271826493,positive
461.1078,3.304,0.867,-0.172689337,positive
