mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
190.9655_2.104,581392.9490909091,197106.02145454547,2.9496458038192603,7.47e-4,1.560541724727792,3.126679398184601,190.9655,2.104,232488.375,190.9655_2.104,190.9655_2.104,1
190.9746_2.11,28078.598363636364,9905.075345454545,2.834768781089755,0.00101,1.5032310660391024,2.9956786262173574,190.9746,2.11,17007.983500000002,190.9746_2.11,190.9746_2.11,1
191.0196_0.953,22712.440872727275,64226.014363636365,0.3536330425882173,2.83e-5,-1.4996750120387041,4.548213564475709,191.0196,0.953,55180.634,191.0196_0.953,191.0196_0.953,1
194.0456_0.519,71052.75254545454,43251.255,1.6427905397301084,0.0282,0.716148544465304,1.5497508916806388,194.0456,0.519,27175.8645,194.0456_0.519,194.0456_0.519,1
197.0468_2.723,2091.344281818182,3899.6351090909093,0.5362923000007865,0.0446,-0.8989085553621885,1.350665141287858,197.0468,2.723,3192.1025,Cluster_197.0468_2.723,109.0294_2.712;197.0468_2.723,2
197.0541_1.058,22556.130363636363,36062.11518181818,0.6254799600609319,0.0466,-0.6769644326926874,1.3316140833099999,197.0541,1.058,31039.4285,197.0541_1.058,197.0541_1.058,1
200.9711_1.033,4562.769736363636,18221.746572727272,0.2504024363500255,0.00175,-1.997679495504211,2.7569619513137056,200.9711,1.033,5067.8935,200.9711_1.033,200.9711_1.033,1
200.9866_1.058,7132.612663636363,18558.970363636363,0.3843215719343835,0.02,-1.379614137874335,1.6989700043360187,200.9866,1.058,6180.9794999999995,200.9866_1.058,200.9866_1.058,1
201.0078_1.025,2615586.542727273,32041.528636363637,81.63114102361733,2.51e-8,6.351047718037216,7.600326278518962,201.0078,1.025,43703.3355,201.0078_1.025,201.0078_1.025,1
203.0347_2.437,345302.6563636364,620043.4045454545,0.5569007811909121,0.00422,-0.8445077785148466,2.374687549038326,203.0347,2.437,427045.13,Cluster_203.0347_2.437,201.0418_2.434;202.0383_2.431;203.0347_2.437;203.0669_2.431;247.0417_2.423;291.0484_2.435,6
204.0876_5.17,18463.429363636362,34280.86981818182,0.5385927913020389,0.00167,-0.8927331744098229,2.7772835288524167,204.0876,5.17,23011.4865,204.0876_5.17,204.0876_5.17,1
204.9662_1.032,169164.3760909091,350131.57272727275,0.48314516389721857,0.00118,-1.0494713742121524,2.9281179926938745,204.9662,1.032,280549.595,204.9662_1.032,204.9662_1.032,1
204.9812_0.851,150237.60454545455,248505.88090909092,0.6045635781167483,0.0286,-0.7260340283483384,1.5436339668709569,204.9812,0.851,199671.015,204.9812_0.851,204.9812_0.851,1
204.9812_1.012,205720.92727272728,360611.4081818182,0.570478145186699,0.00651,-0.8097564764447628,2.186419011431808,204.9812,1.012,297565.59,204.9812_1.012,204.9812_1.012,1
208.0612_0.516,12193.3704,25885.916572727274,0.4710426368617218,0.0312,-1.0860704422574277,1.5058454059815571,208.0612,0.516,11470.2735,208.0612_0.516,208.0612_0.516,1
208.976_0.787,93899.35863636364,37376.19107272727,2.512277360035231,0.0046,1.328995749204911,2.337242168318426,208.976,0.787,61363.9395,208.976_0.787,208.976_0.787,1
211.0612_0.531,11321.532409090909,27441.681636363635,0.4125670051535206,0.00255,-1.2772996478868945,2.593459819566045,211.0612,0.531,16129.91325,Cluster_211.0612_0.531,123.045_0.518;124.0491_0.516;211.0612_0.531,3
211.0612_1.538,16982.706,55725.194818181815,0.304758127008987,0.00594,-1.714263401066556,2.2262135550188065,211.0612,1.538,22258.3845,211.0612_1.538,211.0612_1.538,1
211.0613_1.458,20066.956363636364,55383.41836363637,0.3623278764030196,0.00771,-1.4646322882646352,2.1129456219490432,211.0613,1.458,27986.246,211.0613_1.458,211.0613_1.458,1
211.987_1.036,39968.22663636364,11572.428572727273,3.453745804969296,0.00261,1.7881619046950472,2.583359492661719,211.987,1.036,30625.7575,211.987_1.036,211.987_1.036,1
