mz_rt,Red,Yellow,FC_postRed_div_postYellow,p.x,log2_FC_postRed_div_postYellow,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,post,pre,FC_post_div_pre,p.y,log2_FC_post_div_pre,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
165.0046_1.023,86383.42718181819,173718.61409090908,0.4972606282514589,0.00176,-1.0079258879071613,2.75448733218585,165.0046,1.023,160788.14,Cluster_165.0046_1.023,121.0156_1.025;165.0046_1.023;191.0043_1.023,3,86383.42718181819,212937.52272727274,0.4056749889612307,5.92e-9,-1.3016037359317818,8.22767829327708,165.0046,1.023,160788.14,Cluster_165.0046_1.023,121.0156_1.025;165.0046_1.023;191.0043_1.023,3
183.1025_0.808,12826.186772727273,35315.72490909091,0.363186280495281,0.00561,-1.4612183896023179,2.2510371387438384,183.1025,0.808,14582.779999999999,183.1025_0.808,183.1025_0.808,1,12826.186772727273,25768.946090909092,0.49773811965294784,0.0148,-1.0065412137428416,1.8297382846050425,183.1025,0.808,14582.779999999999,183.1025_0.808,183.1025_0.808,1
191.0196_0.953,22712.440872727275,60708.64854545455,0.37412199772033683,2.28e-4,-1.41841929855486,3.642065152999546,191.0196,0.953,55180.634,191.0196_0.953,191.0196_0.953,1,22712.440872727275,64226.014363636365,0.3536330425882173,2.83e-5,-1.4996750120387041,4.548213564475709,191.0196,0.953,55180.634,191.0196_0.953,191.0196_0.953,1
203.0347_2.437,345302.6563636364,551539.5136363637,0.6260705676135806,0.0478,-0.6756028150324718,1.320572103387881,203.0347,2.437,427045.13,Cluster_203.0347_2.437,201.0418_2.434;202.0383_2.431;203.0347_2.437;203.0669_2.431;247.0417_2.423;291.0484_2.435,6,345302.6563636364,620043.4045454545,0.5569007811909121,0.00422,-0.8445077785148466,2.374687549038326,203.0347,2.437,427045.13,Cluster_203.0347_2.437,201.0418_2.434;202.0383_2.431;203.0347_2.437;203.0669_2.431;247.0417_2.423;291.0484_2.435,6
204.9662_1.032,169164.3760909091,383635.57181818184,0.44095070561152744,0.0382,-1.1813107106346294,1.4179366370882913,204.9662,1.032,280549.595,204.9662_1.032,204.9662_1.032,1,169164.3760909091,350131.57272727275,0.48314516389721857,0.00118,-1.0494713742121524,2.9281179926938745,204.9662,1.032,280549.595,204.9662_1.032,204.9662_1.032,1
211.0612_0.531,11321.532409090909,46190.020454545454,0.24510775915832664,0.0455,-2.0285119398459854,1.3419886033428876,211.0612,0.531,16129.91325,Cluster_211.0612_0.531,123.045_0.518;124.0491_0.516;211.0612_0.531,3,11321.532409090909,27441.681636363635,0.4125670051535206,0.00255,-1.2772996478868945,2.593459819566045,211.0612,0.531,16129.91325,Cluster_211.0612_0.531,123.045_0.518;124.0491_0.516;211.0612_0.531,3
211.0612_1.538,16982.706,48672.29536363636,0.3489193569590305,0.0342,-1.5190344589080795,1.465973893943865,211.0612,1.538,22258.3845,211.0612_1.538,211.0612_1.538,1,16982.706,55725.194818181815,0.304758127008987,0.00594,-1.714263401066556,2.2262135550188065,211.0612,1.538,22258.3845,211.0612_1.538,211.0612_1.538,1
211.0613_1.458,20066.956363636364,52742.52745454545,0.3804701316396045,0.031,-1.394144893791339,1.5086383061657274,211.0613,1.458,27986.246,211.0613_1.458,211.0613_1.458,1,20066.956363636364,55383.41836363637,0.3623278764030196,0.00771,-1.4646322882646352,2.1129456219490432,211.0613,1.458,27986.246,211.0613_1.458,211.0613_1.458,1
215.0733_0.99,23077.40209090909,47504.37690909091,0.4857952801922294,0.0437,-1.0415796215384145,1.359518563029578,215.0733,0.99,33859.538,215.0733_0.99,215.0733_0.99,1,23077.40209090909,71559.34109090909,0.3224932166660328,5.5e-4,-1.6326592797319261,3.2596373105057563,215.0733,0.99,33859.538,215.0733_0.99,215.0733_0.99,1
218.067_1.023,2824.8307954545453,12157.43050909091,0.2323542621397041,0.00815,-2.1056019860343427,2.0888423912600236,218.067,1.023,4746.4752499999995,218.067_1.023,218.067_1.023,1,2824.8307954545453,14629.212272727273,0.19309520859990378,0.00764,-2.3726157287081704,2.1169066414243103,218.067,1.023,4746.4752499999995,218.067_1.023,218.067_1.023,1
