mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
161.0455_3.634,221848.09236363636,343169.3290909091,0.6464682987589095,0.0377,-0.6293484693911447,1.4236586497942072,161.0455,3.634,248696.79499999998,161.0455_3.634,161.0455_3.634,1
163.0403_0.951,31295.055,16536.948727272727,1.8924322446733002,0.00211,0.92024164788673,2.6757175447023074,163.0403,0.951,11844.2875,163.0403_0.951,163.0403_0.951,1
167.0461_5.457,18061.83869090909,45923.816318181816,0.39330003773571803,0.00254,-1.3462977701851537,2.595166283380062,167.0461,5.457,25190.59,167.0461_5.457,167.0461_5.457,1
168.078_7.818,547132.698,1338164.02,0.40886818792213525,0.00476,-1.2902922768564653,2.322393047279507,168.078,7.818,728728.52,168.078_7.818,168.078_7.818,1
171.043_3.694,2519.440857272727,7291.131500454545,0.34554867884575385,0.0205,-1.5330391316474035,1.6882461389442456,171.043,3.694,1031.63345,Cluster_171.043_3.694,171.043_3.694;482.2181_3.69,2
181.0368_3.602,448910.9175454546,766795.0527272727,0.5854379419230805,0.0187,-0.7724118458088897,1.728158393463501,181.0368,3.602,597470.55,Cluster_181.0368_3.602,181.0368_3.602;363.0798_3.605,2
181.0504_0.995,21906.256,14037.383872727272,1.5605654300414822,0.0311,0.6420688465986646,1.5072396109731625,181.0504,0.995,18052.455,181.0504_0.995,181.0504_0.995,1
181.0718_5.323,225103.7918181818,590141.3363636364,0.3814404752685824,1.54e-4,-1.3904701563991475,3.812479279163537,181.0718,5.323,349640.345,Cluster_181.0718_5.323,181.0718_5.323;227.0771_5.322,2
181.0805_5.323,15901.15209090909,29800.899363636363,0.5335796043226798,1.13e-4,-0.9062245732390913,3.9469215565165805,181.0805,5.323,23188.813000000002,181.0805_5.323,181.0805_5.323,1
183.0514_3.658,11491.550972727273,20965.651218181818,0.5481132378450319,0.0286,-0.8674541162986857,1.5436339668709569,183.0514,3.658,14513.1145,183.0514_3.658,183.0514_3.658,1
183.1023_0.506,59746.69018181818,30154.535909090908,1.9813500151997334,0.0294,0.9864837618972506,1.5316526695878427,183.1023,0.506,26306.7265,183.1023_0.506,183.1023_0.506,1
183.1025_0.808,35315.72490909091,14467.338318181819,2.4410658085397707,0.0113,1.2875111891683093,1.9469215565165803,183.1025,0.808,14582.779999999999,183.1025_0.808,183.1025_0.808,1
190.9655_2.104,555457.6790909091,180616.32636363638,3.0753459018571854,2.66e-4,1.6207486877944808,3.575118363368933,190.9655,2.104,232488.375,190.9655_2.104,190.9655_2.104,1
190.9746_2.11,29473.888636363637,12543.500781818182,2.3497338700760535,4.79e-4,1.232497366976071,3.319664486585437,190.9746,2.11,17007.983500000002,190.9746_2.11,190.9746_2.11,1
194.9968_4.711,4964.20216,18907.446402727273,0.26255275589642535,0.0358,-1.9293207558304686,1.4461169733561257,194.9968,4.711,5798.16025,194.9968_4.711,194.9968_4.711,1
197.0541_1.058,28927.67390909091,51368.813045454546,0.5631368956003281,0.00743,-0.8284424184143006,2.1290111862394245,197.0541,1.058,31039.4285,197.0541_1.058,197.0541_1.058,1
200.9711_1.033,5457.863418181818,10310.088172727274,0.5293711680002129,0.0499,-0.9176484737522762,1.30189945437661,200.9711,1.033,5067.8935,200.9711_1.033,200.9711_1.033,1
206.082_0.895,36013.402272727275,15778.269609090908,2.2824684306305403,0.00845,1.1905949060856271,2.073143291050308,206.082,0.895,15080.0495,206.082_0.895,206.082_0.895,1
