mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
310.2019_0.968,846285.0757500477,1312092.6262883153,0.6449888207542502,0.00114,-0.6326539395951517,2.9430951486635273,310.2019,0.968,773250.775,Cluster_310.2019_0.968,310.2019_0.968;310.2389_0.968,2
312.2284_1.053,194950.36849581965,65537.47099360391,2.9746397830158218,0.0347,1.5727149743966382,1.4596705252091262,312.2284,1.053,77971.2775,312.2284_1.053,312.2284_1.053,1
319.1647_0.799,7130.005142202731,11075.552141212145,0.6437606948435529,0.00484,-0.6354035999067206,2.3151546383555877,319.1647,0.799,5482.9675,319.1647_0.799,319.1647_0.799,1
319.1651_2.866,13395.556112611957,28607.718424423816,0.4682497189700914,0.00761,-1.0946499662825273,2.1186153432294272,319.1651,2.866,20998.295,319.1651_2.866,319.1651_2.866,1
324.2159_0.482,31347.50191277129,10449.378261554617,2.99993943449297,0.00226,1.5849333745749348,2.6458915608525992,324.2159,0.482,10437.627,324.2159_0.482,324.2159_0.482,1
328.248_0.84,100762.80128857504,171815.06195916756,0.5864608151322709,0.00173,-0.7698933782839089,2.7619538968712045,328.248,0.84,82132.42499999999,328.248_0.84,328.248_0.84,1
330.2273_1.14,61180.0180080433,95452.65648794339,0.6409462057849687,0.00184,-0.6417248174567401,2.7351821769904636,330.2273,1.14,74761.385,330.2273_1.14,330.2273_1.14,1
338.2322_0.863,31155.927777369638,49765.12699709118,0.6260594447833064,1.26e-4,-0.6756284463198281,3.899629454882437,338.2322,0.863,32257.759,338.2322_0.863,338.2322_0.863,1
340.2477_0.841,22417.185377799087,55773.090440414984,0.4019355069045066,0.0357,-1.3149640644617144,1.4473317838878068,340.2477,0.841,21726.257,340.2477_0.841,340.2477_0.841,1
341.1704_5.083,15738.447599119241,3534.3620601057555,4.45298114100068,0.0172,2.1547715017780296,1.764471553092451,341.1704,5.083,5094.3957,341.1704_5.083,341.1704_5.083,1
356.2428_0.932,38565.679302873315,64270.948483343534,0.6000483922042632,0.00695,-0.73684924020315,2.1580151954098863,356.2428,0.932,39930.744000000006,356.2428_0.932,356.2428_0.932,1
358.1317_0.569,8950.98315430508,15544.015782399365,0.575847533842597,0.00956,-0.7962412125359569,2.0195421077239,358.1317,0.569,7566.647499999999,358.1317_0.569,358.1317_0.569,1
408.206_4.557,7627.639544978603,4209.944786825261,1.8118146273197664,0.0296,0.8574353560865977,1.5287082889410615,408.206,4.557,5053.405000000001,408.206_4.557,408.206_4.557,1
417.1877_4.012,9055.044807245224,14083.402385500063,0.6429586089628514,0.0376,-0.6372022291320902,1.424812155072339,417.1877,4.012,9343.671999999999,417.1877_4.012,417.1877_4.012,1
433.2361_4.762,5654.977975188188,12658.89803505997,0.44671960857305365,0.0172,-1.162558512352253,1.764471553092451,433.2361,4.762,8544.0185,433.2361_4.762,433.2361_4.762,1
