mz_rt,row ID,6104_U2_HILICPOS_19,6110_U2_HILICPOS_34,6108_U2_HILICPOS_27,6111_U4_HILICPOS_42,6101_U3_HILICPOS_29,6104_U1_HILICPOS_55,6103_U4_HILICPOS_53,6110_U3_HILICPOS_45,6111_U2_HILICPOS_35,6111_U1_HILICPOS_51,6105_U3_HILICPOS_39,6109_U2_HILICPOS_13,6108_U1_HILICPOS_44,6109_U4_HILICPOS_22,6101_U4_HILICPOS_14,6101_U2_HILICPOS_30,6110_U4_HILICPOS_10,6105_U1_HILICPOS_43,6105_U4_HILICPOS_47,6102_U1_HILICPOS_26,6102_U2_HILICPOS_16,6104_U3_HILICPOS_32,6104_U4_HILICPOS_12,6113_U3_HILICPOS_15,6113_U2_HILICPOS_31,6109_U3_HILICPOS_52,6102_U4_HILICPOS_50,6102_U3_HILICPOS_48,6108_U4_HILICPOS_18,6106_U2_HILICPOS_46,6111_U3_HILICPOS_54,6110_U1_HILICPOS_11,6108_U3_HILICPOS_28,6106_U3_HILICPOS_20,6105_U2_HILICPOS_40,6112_U2_HILICPOS_37,6103_U1_HILICPOS_21,6113_U1_HILICPOS_24,6103_U3_HILICPOS_61,6101_U1_HILICPOS_59,6112_U1_HILICPOS_38,6109_U1_HILICPOS_58,6112_U3_HILICPOS_56,6106_U4_HILICPOS_36,6103_U2_HILICPOS_60,6106_U1_HILICPOS_23,6112_U4_HILICPOS_63,PooledQC5_HILICPOS_11_1,6113_U4_HILICPOS_62,PooledQC7_HILICPOS_25,PooledQC6_HILICPOS_17,PooledQC9_HILICPOS_41,PooledQC10_HILICPOS_49,PooledQC8_HILICPOS_33,PooledQC11_HILICPOS_57,PooledQC12_HILICPOS_64,...63
351.1582_7.036,9359,46693.82,37381.742,67509.45,36710.027,74627.305,50054.21,30715.791,66377.414,45660.37,37676.914,61455.633,32069.629,55797.055,46534.88,59707.938,67829.7,60661.527,65585.91,48378.316,140613.53,90623.84,49283.707,62505.4,62996.875,58820.98,37934.59,82208.78,103513.2,76057.59,21850.398,85388.75,82612.28,44268.453,43303.32,74946.08,36101.297,33837.23,43593.98,61381.83,116891.586,38267.94,61351.582,65125.336,32321.793,44248.145,91745.06,39518.36,57285.195,49085.996,53707.957,53284.727,54550.965,51962.12,52556.688,66832.58,68399.125,NA
238.1548_7.049,9363,20378.775,12660.455,13786.793,12424.923,21882.88,8796.876,18966.598,29250.781,10300.796,8662.91,12614.799,48650.527,18099.04,33666.38,14838.44,22965.871,16321.052,16459.32,13941.201,21358.861,38689.14,39407.652,11916.571,14915.1,22609.457,31515.96,32238.91,18545.723,7716.291,14602.302,13681.231,41440,17721.252,20036.621,18569.725,16596.713,26502.91,20960.922,19024.887,10887.502,18379.205,24480.605,13835.63,20735.84,16318.796,29590.254,13601.18,20395.535,23780.002,19263.191,20774.992,20041.033,19802.408,20401.674,21454.912,22767.139,NA
262.0379_7.079,9377,22469.69,22980.914,45114.082,41508.145,37526.242,32538.32,30266.062,39655.875,45743.504,49123.465,51586.094,56105.914,60612.855,43570.29,39011.69,38134.043,32432.049,61779.465,39210.203,50474.254,44030.242,28433.213,35212.902,47181.242,46315.758,59933.637,51255.414,48953.13,48388.996,31347.828,50244.766,43146.887,47564.387,40124.24,55964.293,44267.754,59432.76,55876.418,38489.08,43763.74,44777.633,57508.477,48320.027,40134.527,39266.523,46847.695,43485.42,45155.22,36214.895,42415.742,44483.254,44772.418,45945.812,42813.074,41108.56,40480.258,NA
242.161_7.083,9378,21445.43,5889.43,8107.689,3764.9646,21174.135,52173.293,90803.836,30688.543,3921.023,6457.818,11589.088,6199.8394,2194.615,9345.713,34345.49,9097.064,9206.813,10562.402,37458.594,8974.513,14486.254,15193.719,85677.49,23602.414,31987.854,2198.2925,20363.09,3788.3171,6816.059,13819.007,17747.02,89347.52,9116.079,16982.49,4503.033,2619.9778,93538.81,4119.37,203475.9,11866.636,1464.4475,6618.476,7940.408,2279.66,96146.016,42202.508,3489.5393,26463.639,120005.77,24489.484,26986.99,26610.236,25821.572,27598.783,35594.363,30459.385,NA
272.1603_7.087,9385,3452.259,4115.851,5740.646,4420.823,7013.593,21351.54,5274.3687,2421.4272,7518.9717,2467.2842,2479.0068,1706.4896,NA,1041.3835,5203.8726,3054.8782,5450.9194,1272.0817,2235.3213,1640.4711,1913.303,2247.2566,2841.2476,1522.0265,4427.089,9750.859,2506.3704,2416.044,6822.4434,3387.526,5976.1113,2873.31,9110.71,1245.4541,1553.5024,2738.572,4772.6753,17713.248,41643.43,7979.4175,1843.8901,46102.906,6763.2207,8432.081,2785.247,1257.832,6961.254,5059.6245,1259.303,5984.0684,6280.5024,6550.847,6448.2866,6486.896,7035.404,6703.9346,NA
367.0957_7.091,9390,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2485.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,60492.613,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1966.7051,NA,1943.125,2368.1704,2068.4822,2094.9436,2719.8708,1869.1259,2533.5312,NA
384.1222_7.093,9394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7723.902,NA,NA,NA,NA,NA,NA,NA,NA,NA,395995.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9191.203,NA,9763.928,9840.245,8669.4795,9337.584,8992.199,9230.24,9289.833,NA
422.0783_7.091,9400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1026.9679,NA,NA,NA,NA,NA,NA,NA,NA,NA,40132.016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1819.5818,NA,1139.0521,1249.5281,1675.6375,1402.2465,1037.3224,1733.7933,1651.3748,NA
217.1547_7.121,9414,52245.14,80596.016,33862.332,126897.78,202045.75,82312.14,70936.45,170807.58,319635.6,153515,151457.25,89384.19,18548.53,97607.82,101487.664,110207.555,49237.527,83608.766,77045.305,161675.33,99322.71,70941.55,35725.254,174236.16,158013.14,113244.04,125075.73,228063.64,86418.74,77737.16,170320.4,98400.27,64547.777,125508.98,145028.31,83163.12,154599.06,162543.02,136438.73,191821.03,131480.27,367035.34,221485.94,47775.562,83250.28,81856.06,118741.805,137615.67,177584.6,135864.39,133833.12,128953.09,136986.56,140102.56,172158.03,161639.08,NA
410.048_7.146,9432,5088.478,NA,1833.3915,NA,NA,2314.3008,3485.293,NA,1331.9388,NA,1107.7931,123046.16,1202.3115,6795.902,NA,NA,NA,NA,NA,NA,NA,NA,2340.415,NA,NA,1287.5071,NA,NA,1541.6677,4976.352,NA,1110.6487,2099.0037,32983.45,2853.4067,NA,41894.094,NA,39895.406,NA,NA,57232.883,1388.1467,32396.758,33139.156,1024.889,NA,6532.631,NA,7278.232,5610.4663,5834.908,7233.0977,5424.9023,7674.9536,6795.023,NA
196.0603_7.154,9434,7925.674,1239.2716,2888.792,NA,1045.43,3251.1013,6654.896,NA,2913.3416,1053.649,2238.1536,198294.39,2307.7026,10606.106,1015.57635,1389.75,1073.52,2105.4004,1902.2748,1196.7268,1373.353,NA,3872.1235,1428.5822,1259.9689,3006.1,2125.2515,1039.7285,2249.3215,10866.018,1022.62994,1984.7732,2804.0486,48205.44,5162.808,1589.1589,55947.773,1218.1366,45951.906,1093.3088,1740.5266,68361.12,1398.0198,46781.047,39547.195,1429.146,1336.3141,14178.585,1340.1053,12006.364,11439.76,10605.348,12026.828,11316.246,10229.372,11216.787,NA
121.0285_7.146,9435,4117.288,NA,1247.6272,NA,NA,1497.0204,3419.9001,NA,1383.1361,NA,1193.7365,88178.41,NA,5865.174,NA,NA,NA,1097.9865,NA,NA,1206.3545,NA,1706.6815,NA,NA,1069.1965,1013.59546,NA,1787.2426,5027.2617,NA,1994.1454,1234.6681,24250.904,2489.6953,1017.14795,27684.15,NA,22670.754,NA,1095.82,32617.121,NA,24186.518,19498.225,NA,NA,6319.51,NA,5946.71,6378.593,5198.994,4673.1885,6621.6245,5562.233,6296.327,NA
176.0666_7.162,9438,29490.75,31311.828,86663.664,38203.16,91988.266,48260.645,46887.383,46054.453,48166.88,46037.8,64375.23,131063.43,125669.37,60202.395,102315.08,88213.14,43765.66,61769.445,64681.184,38501.91,32536.479,34270.242,38756.47,54833.88,52430.453,87019.125,42524.32,38903.645,172815.78,31334.416,64234.38,49177.445,122713.89,48383.14,71012.43,33904.902,95327.92,52601.992,95542.95,100462.73,62881.633,108962.375,68932.195,63875.793,98033.445,45838.016,39655.996,61775.06,50075.754,61936.008,63034.74,62127.414,61626.574,60064.723,82853.77,85464,NA
394.0744_7.149,9439,5660.0864,NA,1262.205,NA,NA,2227.5547,4104.7876,NA,1789.1499,NA,1341.2621,112779.4,1197.8488,5985.5073,NA,NA,1069.3961,NA,NA,1179.282,NA,NA,2008.841,NA,NA,1370.8368,NA,NA,2105.8218,7443.0684,NA,1220.3824,2163.6313,33009.09,3796.949,NA,39545.266,1128.9236,33425.36,NA,1539.4955,52001.223,1351.5786,30364.283,30183.043,NA,1309.3912,6953.6675,NA,8561.43,7067.192,6080.0806,6609.0415,6691.3887,8342.973,7135.5903,NA
288.1189_7.178,9444,48437.68,34761.95,57949.46,40224.79,54128.6,77328.836,39023.434,53567.62,55156.535,54670.914,48149.59,84964.77,58818.508,42078.594,68825.9,79156.34,48740.055,60704.098,53115.375,58358,76140.6,51491.844,80820.78,57230.367,55117.336,73311.45,89380.89,78454.46,74489.5,20753.385,85093.61,57929.45,53361.887,33618.312,61756.65,86064.45,82879.24,68280.516,109817.6,54672.402,161478.9,106071.25,233767.95,43336.46,107561.984,38406.99,121720.45,71501.06,56267.324,73586.32,71238.91,64952.926,64709.188,68995.555,89662.766,90320.516,NA
417.1978_7.183,9446,33674.324,22982.453,43690.45,39815.863,31423.691,59973.395,28809.123,34433.363,40082.15,42950.605,43478.36,59859.324,65269.098,34143.97,34685.484,36290.168,31931.928,44662.977,39695.348,47706.844,41069.004,35608.113,61505.035,44191.15,34976.93,53152,34706.566,50406.56,47303.723,36030.098,56832.52,35824.45,44714.06,42487.977,49925.363,39514.625,82197.82,42404.367,74789.79,40621.715,44009.906,86038.875,75463.5,57200.883,72554.484,55325.89,45177.19,48911.36,34635.215,43260.758,43207.344,42991.125,44942.44,43414.613,48779.164,53313.08,NA
225.1236_7.192,9453,228047.33,192880.56,343556.34,195282.86,165085.69,199659.95,400554.03,136430.2,160701.78,103168.305,150329.1,228781.77,346683.47,263617.78,175475.95,256076.8,177201.62,114517.74,136698.12,421232.88,285453.5,184526.55,134902.52,205478.3,142413.94,310412.8,233671.55,226539.14,268278.78,144701.95,193954.81,255901.5,260916.81,268741.3,193546.5,163607.16,173083.42,166415.7,311784.03,396569,218030.97,203343.05,101911.75,167555.16,179976.69,180454,99226.734,219242.62,273998.72,222882.23,220073.58,224229.6,215962.17,220740.8,272660.66,263433.88,NA
449.2389_7.195,9457,14631.324,18198.953,43434.96,21860.451,6301.545,11302.788,65755.445,9708.955,14217.1,8420.714,11672.6875,1617.388,29185.533,21803.533,3892.2651,13890.463,14466.454,8846.991,8064.299,64944.33,23546.246,12421.729,3914.6624,13969.281,4942.613,15158.034,16261.833,24878.508,14086.914,8738.98,16707.588,24487.65,13212.35,30739.56,17761.787,10460.975,3856.9211,7692.793,16612.951,51658.004,7618.9424,4214.4556,1964.3191,9214.499,6923.0547,13028.144,2768.361,10574.88,31010.268,12558.034,11315.509,17167.129,16031.329,13665.386,18372.074,19164.674,NA
