mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
410.2047_4.449,20744.55849794363,33881.414349594925,0.6122695553348896,0.015,-0.7077611469896984,1.8239087409443189,410.2047,4.449,21279.4535,410.2047_4.449,410.2047_4.449,1
412.1484_4.864,3681.4016252487836,1498.197151531189,2.457221081675608,0.00962,1.2970276660387525,2.016824927962187,412.1484,4.864,1964.04035,412.1484_4.864,412.1484_4.864,1
416.3518_0.967,7152.404146112495,3518.49028925579,2.0328048560922216,0.0145,1.0234717269087648,1.8386319977650252,416.3518,0.967,3554.9579,416.3518_0.967,416.3518_0.967,1
431.0968_4.511,65251.905552091215,2341.042954608225,27.873006526277585,2.46e-7,4.800796722252298,6.609064892896621,431.0968,4.511,1404.652,Cluster_431.0968_4.511,431.0968_4.511;431.0968_4.517,2
433.1123_4.289,30825.825344232373,1172.92621433166,26.281129168723627,6.9e-7,4.715955357272164,6.161150909262744,433.1123,4.289,508.4029,433.1123_4.289,433.1123_4.289,1
433.2365_1.214,19228.371008088634,1492.9814156773232,12.879176395752568,6.1e-6,3.686968433079431,5.214670164989233,433.2365,1.214,1603.8139,433.2365_1.214,433.2365_1.214,1
447.0919_4.001,14926.461239542969,795.5038100842831,18.76353205393387,7.77e-8,4.229859521730974,7.1095789811990855,447.0919,4.001,508.4029,447.0919_4.001,447.0919_4.001,1
449.1074_3.962,8215.425862830441,3220.2984508095496,2.55113803528526,0.0156,1.3511409614389627,1.8068754016455384,449.1074,3.962,2739.03075,449.1074_3.962,449.1074_3.962,1
457.3017_4.509,69153.11299710438,36827.82278307846,1.8777410058809845,0.00716,0.9089980878594138,2.1450869776921446,457.3017,4.509,37112.477,457.3017_4.509,457.3017_4.509,1
461.1072_4.293,32497.107405034938,838.7559065440593,38.74441557011902,2.57e-9,5.2759164772771,8.590066876668706,461.1072,4.293,503.87175,461.1072_4.293,461.1072_4.293,1
469.0527_4.611,10963.790814262398,634.4171442267492,17.281674863351096,1.43e-7,4.111171138775181,6.844663962534939,469.0527,4.611,504.88935000000004,469.0527_4.611,469.0527_4.611,1
