m.z,r.t,p.value,t.score,mode
288.0526,5.655,0.0579,2.141036705,negative
507.2243,0.539,0.0579,-2.141240043,negative
471.2021,0.864,0.0583,-2.137686586,negative
413.2172,0.519,0.0584,-2.136119695,negative
371.0979,5.681,0.0586,-2.134047907,negative
233.0835,2.303,0.0601,-2.11918659,negative
325.1094,2.39,0.0604,-2.116489404,negative
182.0457,0.856,0.0606,-2.11443906,negative
343.1392,3.936,0.0606,-2.114309666,negative
347.076,2.334,0.0606,-2.114252684,negative
227.0551,5.703,0.0608,2.112509728,negative
399.1655,3.938,0.0611,-2.109743803,negative
429.1572,3.915,0.0612,-2.10855892,negative
157.0367,4.662,0.0622,-2.098641475,negative
188.0927,4.517,0.0638,-2.083821571,negative
418.063,1.867,0.0638,2.084069712,negative
251.0134,3.423,0.064,-2.081927979,negative
595.3413,0.521,0.064,2.081599032,negative
253.0559,7.542,0.0644,-2.077861068,negative
345.1552,3.921,0.0647,-2.075194527,negative
342.0848,4.055,0.0651,2.072049801,positive
381.1378,0.984,0.0651,-2.071681325,negative
345.1552,0.548,0.0652,-2.070684732,negative
261.1807,4.595,0.0655,-2.06846664,positive
204.9812,1.012,0.0659,-2.064262194,negative
247.0629,4.641,0.0661,2.062177647,negative
194.9603,1.573,0.0662,-2.061238939,negative
361.1498,5.087,0.0668,-2.056513613,negative
610.0903,3.375,0.0674,-2.05060178,negative
317.0446,2.457,0.0677,-2.048084587,negative
274.9864,3.583,0.0679,-2.046758184,negative
363.0857,2.443,0.068,-2.04582633,negative
383.1188,6.011,0.0682,-2.044314315,negative
411.1686,4.114,0.0695,-2.033003096,negative
230.0498,4.392,0.0699,-2.028965118,negative
229.1548,5.62,0.07,2.02848905,positive
265.1324,1.023,0.0712,-2.018078979,negative
306.1713,0.517,0.0719,-2.012157425,positive
545.1681,0.551,0.072,-2.011199763,negative
350.1635,0.57,0.0725,2.007137048,negative
231.9927,3.013,0.0727,2.005394212,negative
121.0647,3.848,0.0728,2.004515857,positive
188.176,8.261,0.0736,1.997939645,positive
387.0248,3.58,0.0736,1.998002727,negative
305.1818,5.115,0.0737,-1.997078809,positive
241.1294,5.434,0.0738,1.996811527,positive
538.0701,3.804,0.0739,1.996012201,negative
172.0977,0.843,0.0742,-1.993571958,negative
511.1599,2.441,0.0747,-1.989102792,negative
723.3398,0.537,0.0747,-1.989592274,negative
540.2079,3.902,0.0749,-1.988148627,negative
339.065,3.661,0.0753,1.984712964,negative
269.1504,0.514,0.0754,1.983704554,negative
215.1035,5.773,0.0755,-1.983297487,negative
261.1807,3.948,0.0757,-1.980988502,positive
248.0237,3.389,0.0757,1.981609636,negative
364.196,3.866,0.0759,-1.979640767,positive
363.0285,3.439,0.0759,1.980136993,negative
277.1076,0.844,0.076,-1.97902962,negative
230.103,0.515,0.0766,1.974473116,negative
145.0142,5.656,0.0769,-1.972167873,negative
204.9812,3.521,0.0771,1.97053449,negative
312.2168,0.956,0.0773,-1.969146775,positive
246.9915,4.253,0.0773,1.96882372,negative
330.1905,3.683,0.0787,1.957622202,positive
139.0398,0.519,0.0792,-1.95430988,negative
272.9588,10.091,0.0792,1.954088314,negative
349.039,3.936,0.0796,-1.951370553,negative
455.318,2.305,0.0797,-1.950491589,negative
213.9964,1.026,0.0804,-1.944794157,negative
397.1261,4.74,0.0805,-1.944025076,negative
377.1447,5.659,0.0806,-1.943529185,negative
195.0655,0.844,0.0809,-1.941678121,negative
618.1817,1.581,0.0819,-1.933835626,negative
339.0737,6.209,0.0825,1.929593372,negative
612.1748,3.869,0.0825,-1.929757279,negative
128.9597,5.323,0.0839,-1.919536409,negative
429.0379,2.569,0.0839,1.919145297,negative
185.1648,5.491,0.0841,1.918251205,positive
547.1866,3.913,0.0842,-1.917043257,negative
137.071,3.801,0.0843,1.916162246,positive
267.0727,4.074,0.0843,1.91648612,negative
287.244,7.296,0.0864,1.901746046,positive
271.1654,0.513,0.0866,1.900493676,positive
192.9813,2.941,0.0867,-1.899681455,negative
615.2464,4.094,0.0867,-1.899260346,negative
203.1393,5.108,0.0872,1.895907328,positive
335.1864,0.5,0.0873,1.895418563,negative
275.0227,1.969,0.0879,-1.890971411,negative
329.1058,0.558,0.0885,-1.88727569,negative
249.1815,3.858,0.089,-1.883634826,positive
342.2636,0.484,0.0912,-1.868596238,positive
141.0661,5.379,0.0923,1.86112618,positive
388.0434,4.724,0.0926,1.85937538,negative
418.1022,3.043,0.093,-1.857114052,negative
569.2416,0.916,0.0935,1.85350832,negative
160.0972,5.086,0.0938,-1.851879722,positive
222.9743,1.003,0.0942,-1.849010873,negative
