"p.value","m.z","t.score","r.t"
0.0439,309.0783,-2.304695313,2.234
0.0441,152.0354,-2.301756316,1.011
0.0444,196.0726,2.297963769,6.012
0.0451,449.1074,2.288715537,3.962
0.0453,179.0709,-2.28664446,0.842
0.0455,211.0612,-2.283350213,0.531
0.0456,182.0811,2.28213256,5.07
0.0459,303.0177,-2.278911325,4.041
0.0462,311.0952,-2.274475363,0.55
0.0464,241.0948,2.272560479,5.126
0.0464,211.987,-2.271907147,1.036
0.047,327.144,-2.264580679,0.519
0.0478,86.06,2.254487482,5.38
0.0478,203.0347,-2.25505253,2.437
0.0481,571.2532,-2.250411582,0.525
0.049,501.1778,-2.239896702,3.92
0.0497,241.1189,2.231119642,0.516
0.0501,306.1705,-2.226387193,1.305
0.0502,215.1391,2.225326321,5.03
0.0503,146.0919,-2.224596569,1.119
0.0504,243.0178,-2.223921768,1.027
0.0505,161.1285,2.222803205,8.436
0.0506,290.8472,-2.221066438,5.298
0.0507,137.071,2.219380579,3.764
0.0507,299.069,2.220246048,6.097
0.0511,297.134,2.215399377,0.497
0.0512,209.0666,-2.214348665,5.694
0.0523,189.0573,-2.201588715,2.271
0.0524,703.5726,-2.200493207,0.512
0.0532,331.1214,-2.191160525,0.588
0.0552,297.1338,-2.169991624,0.84
0.0559,457.3017,2.16225368,4.509
0.0564,243.1343,2.156499491,0.515
0.0569,153.1276,-2.151304905,0.538
0.0573,202.1187,2.147987509,4.623
0.0576,261.1808,-2.144199132,4.525
0.0576,281.0251,-2.14446237,3.123
0.0579,288.0526,2.141036705,5.655
0.0579,507.2243,-2.141240043,0.539
0.0583,471.2021,-2.137686586,0.864
0.0584,413.2172,-2.136119695,0.519
0.0586,371.0979,-2.134047907,5.681
0.0601,233.0835,-2.11918659,2.303
0.0604,325.1094,-2.116489404,2.39
0.0606,182.0457,-2.11443906,0.856
0.0606,343.1392,-2.114309666,3.936
0.0606,347.076,-2.114252684,2.334
0.0608,227.0551,2.112509728,5.703
0.0611,399.1655,-2.109743803,3.938
0.0612,429.1572,-2.10855892,3.915
0.0622,157.0367,-2.098641475,4.662
0.0638,188.0927,-2.083821571,4.517
0.0638,418.063,2.084069712,1.867
0.064,251.0134,-2.081927979,3.423
0.064,595.3413,2.081599032,0.521
0.0644,253.0559,-2.077861068,7.542
0.0647,345.1552,-2.075194527,3.921
0.0651,342.0848,2.072049801,4.055
0.0651,381.1378,-2.071681325,0.984
0.0652,345.1552,-2.070684732,0.548
0.0655,261.1807,-2.06846664,4.595
0.0659,204.9812,-2.064262194,1.012
0.0661,247.0629,2.062177647,4.641
0.0662,194.9603,-2.061238939,1.573
0.0668,361.1498,-2.056513613,5.087
0.0674,610.0903,-2.05060178,3.375
0.0677,317.0446,-2.048084587,2.457
0.0679,274.9864,-2.046758184,3.583
0.068,363.0857,-2.04582633,2.443
0.0682,383.1188,-2.044314315,6.011
0.0695,411.1686,-2.033003096,4.114
0.0699,230.0498,-2.028965118,4.392
0.07,229.1548,2.02848905,5.62
0.0712,265.1324,-2.018078979,1.023
0.0719,306.1713,-2.012157425,0.517
0.072,545.1681,-2.011199763,0.551
0.0725,350.1635,2.007137048,0.57
0.0727,231.9927,2.005394212,3.013
