m.z,r.t.,p,t.score
192.0659,4.563,0.357,-0.9717496452683754
192.1052,3.316,0.847,-0.19819410908289667
193.0968,0.764,0.612,0.5261280150774567
193.1547,0.646,0.763,0.3107893317004711
195.0647,0.814,0.054,-2.2147135235900395
195.0874,3.353,0.938,-0.08058542762109552
196.0604,3.589,0.00993,3.25392932476427
196.0604,4.033,0.0643,2.1073195317061906
196.0605,2.921,0.345,-0.996824355736942
196.0693,3.577,0.112,1.7610809743011329
199.0965,3.235,0.788,-0.2768284460053117
199.0965,3.748,0.951,-0.06348268590041305
199.1068,3.168,0.363,-0.9574718858957473
199.1069,3.734,0.691,0.41052406246861084
200.1281,5.02,0.128,-1.6770080653170782
202.1437,5.378,0.335,1.0180764864599847
203.0814,0.73,0.748,-0.33064719434244433
203.139,0.665,0.184,1.4375575410993835
203.1502,0.654,0.319,-1.0545028138723278
204.1231,0.665,0.575,0.5814677207014449
204.1231,1.146,0.822,0.23116581209893233
205.0971,2.931,0.493,-0.7140672363599889
205.097,0.801,0.0433,-2.350230175909459
210.0607,1.159,0.593,-0.55406556564901
213.0757,3.832,0.432,-0.823199784084929
213.076,4.23,0.137,-1.634714638244439
213.1234,0.672,0.885,0.14937637719986996
215.0163,0.719,0.975,-0.03173026467846491
217.118,0.7,0.602,0.5403275824369363
217.1547,0.664,0.0546,2.2077533626918906
218.0426,0.785,0.29,1.124684125646893
218.1384,6.89,0.216,-1.3307312060447103
218.1386,2.048,0.941,0.07656808605455902
219.1705,0.65,0.016,-2.957049895862315
220.0637,0.707,0.602,0.541056011367364
220.0638,2.227,0.358,0.9678799414807889
220.1178,2.562,0.141,-1.6152732441913287
220.1179,0.735,0.0365,-2.4535398959275154
220.1367,4.453,0.862,-0.17842500344119816
222.1126,4.749,0.143,1.6028525252496488
224.056,3.685,0.569,-0.5910645228335345
226.071,3.019,0.984,-0.020455794264142395
226.9516,0.553,0.653,-0.46496994615154813
227.1026,2.542,0.58,-0.574140451162244
229.0704,2.103,0.221,-1.3165544980748416
229.0982,5.024,0.188,1.4235532976482466
229.1182,0.667,0.941,-0.07608142290457523
229.1547,1.206,0.314,-1.0670960804642957
229.1547,1.899,0.136,-1.6385295397231543
229.1547,2.116,0.351,-0.9838528362761007
229.1549,0.669,0.454,0.782064853142075
230.1106,4.213,0.076,2.0041641851623786
230.9902,0.718,0.501,0.700997369138731
231.1009,6.633,0.361,0.9627929512132577
232.0264,2.519,0.214,1.336231191428001
232.1543,0.707,0.31,1.0755971939924707
232.1544,2.651,0.358,0.9690567298827453
234.1122,4.883,2.94e-7,13.429569340683555
235.0574,3.619,0.239,-1.262377554603873
237.1232,2.723,0.928,0.09252292498350231
239.1389,4.617,0.122,1.7051723250691802
240.0954,4.039,0.647,-0.47326758954288156
240.1607,5.206,0.0768,1.9978544842036432
241.1546,1.985,0.145,-1.5947768276613088
242.1115,4.496,0.161,-1.5283599796755307
242.1325,4.563,0.401,-0.8822175712202133
242.1417,4.559,0.0965,1.8552945088434338
242.1504,4.993,0.168,1.4975372733216747
243.0877,4.57,0.408,-0.8681499919602772
243.1339,3.536,0.918,-0.10545563309604276
244.1269,4.537,0.258,1.206433377148429
244.1542,0.804,0.559,-0.6063189519557405
244.1542,3.098,0.162,-1.5251328175999568
244.1711,3.868,0.176,-1.4676858714043861
245.0798,4.776,0.52,0.6701970359136612
245.1494,3.787,0.971,-0.03728338776979317
245.1495,3.326,0.895,-0.13540708456873074
246.0972,2.12,0.285,-1.137755913039757
246.1699,0.806,0.913,0.11276335734513979
246.17,3.238,0.906,0.12178535839524109
247.1076,4.297,0.0151,2.9926874525493963
247.1078,4.488,0.759,-0.31652960694299753
247.1288,0.789,0.662,0.4513646699359246
247.1424,0.808,0.792,0.27200861237073753
247.1441,3.239,0.467,-0.7591979483643906
248.1679,5.389,0.654,-0.46408327190836807
249.0966,4.117,0.0734,-2.0264787295260374
250.1107,3.546,1.13e-6,11.474313133164822
251.1276,5.991,0.0748,2.0142787251451577
254.1398,5.274,0.811,0.24658773600622386
254.1765,6.358,0.453,0.784208597931698
255.0655,5.039,6e-6,9.395940492079827
256.1666,4.784,0.454,-0.7817281638442063
257.1494,3.646,0.754,-0.3230129500890657
257.1495,4.039,0.903,-0.1257750998250346
257.153,5.622,0.562,-0.6021836035141205
257.2261,6.012,0.12,-1.7179702196073678
258.1241,0.69,0.907,-0.12061045740731342
258.1269,3.305,0.353,-0.9795554682472133
258.128,4.17,0.827,-0.22477331294934022
258.1827,3.513,0.59,-0.5594192062388381
258.1834,4.934,0.313,1.0684930396384738
258.1848,3.943,0.726,0.3617658838063193
258.1947,3.931,0.405,0.8735378551590949
259.1651,4.324,0.67,-0.4402425201610969
