mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
217.118_0.7,217.118,0.7,18810.223,217.118_0.7,217.118_0.7,1
258.1241_0.69,258.1241,0.69,1163.69625,Cluster_258.1241_0.69,258.1241_0.69;343.1668_0.698,2
220.0637_0.707,220.0637,0.707,24441.699,220.0637_0.707,220.0637_0.707,1
144.0655_0.707,144.0655,0.707,23033.558,144.0655_0.707,144.0655_0.707,1
142.0862_0.71,142.0862,0.71,20024.923499999997,142.0862_0.71,142.0862_0.71,1
349.0869_0.775,349.0869,0.775,3413.0194,Cluster_349.0869_0.775,323.1052_0.776;340.1346_0.772;349.0869_0.775,3
232.1543_0.707,232.1543,0.707,109903.5195,232.1543_0.707,232.1543_0.707,1
193.0968_0.764,193.0968,0.764,1373.80985,193.0968_0.764,193.0968_0.764,1
366.1108_0.7,366.1108,0.7,1762.5055499999999,Cluster_366.1108_0.7,366.1108_0.7;404.0674_0.695;479.1696_0.689,3
215.0163_0.719,215.0163,0.719,158628.39,215.0163_0.719,215.0163_0.719,1
230.9902_0.718,230.9902,0.718,36565.97749999999,230.9902_0.718,230.9902_0.718,1
170.0631_0.751,170.0631,0.751,2983.5946000000004,170.0631_0.751,170.0631_0.751,1
177.102_0.741,177.102,0.741,1274.4856,177.102_0.741,177.102_0.741,1
166.0862_0.727,166.0862,0.727,126531.207,Cluster_166.0862_0.727,120.0807_0.728;166.0862_0.727,2
203.0814_0.73,203.0814,0.73,8439.036,203.0814_0.73,203.0814_0.73,1
276.1366_0.762,276.1366,0.762,1571.0356499999998,276.1366_0.762,276.1366_0.762,1
438.1601_0.745,438.1601,0.745,1022.6071,438.1601_0.745,438.1601_0.745,1
327.0685_0.734,327.0685,0.734,20859.322500000002,327.0685_0.734,327.0685_0.734,1
220.1179_0.735,220.1179,0.735,25078.592,220.1179_0.735,220.1179_0.735,1
278.1335_0.718,278.1335,0.718,1475.3759,278.1335_0.718,278.1335_0.718,1
367.1497_0.741,367.1497,0.741,19682.3465,367.1497_0.741,367.1497_0.741,1
305.0865_0.744,305.0865,0.744,23277.7185,305.0865_0.744,305.0865_0.744,1
350.0854_0.775,350.0854,0.775,2783.42745,350.0854_0.775,350.0854_0.775,1
394.0744_0.764,394.0744,0.764,2657.4458,394.0744_0.764,394.0744_0.764,1
281.1128_0.765,281.1128,0.765,28513.9145,281.1128_0.765,281.1128_0.765,1
153.0658_0.769,153.0658,0.769,83577.23,153.0658_0.769,153.0658_0.769,1
285.1441_0.774,285.1441,0.774,7751.0495,285.1441_0.774,285.1441_0.774,1
383.133_0.792,383.133,0.792,1548.5464,Cluster_383.133_0.792,251.0521_0.791;383.133_0.792,2
383.0946_0.768,383.0946,0.768,1572.54725,Cluster_383.0946_0.768,383.0946_0.768;401.068_0.77,2
410.0483_0.757,410.0483,0.757,2254.5135499999997,410.0483_0.757,410.0483_0.757,1
100.0756_0.774,100.0756,0.774,28976.758,100.0756_0.774,100.0756_0.774,1
134.0963_0.777,134.0963,0.777,504.51829999999995,Cluster_134.0963_0.777,134.0963_0.777;148.1193_0.791,2
271.0761_0.756,271.0761,0.756,1689.56355,Cluster_271.0761_0.756,271.0761_0.756;345.1295_0.756,2
167.0562_0.774,167.0562,0.774,37669.67,167.0562_0.774,167.0562_0.774,1
274.1181_0.778,274.1181,0.778,8520.025,274.1181_0.778,274.1181_0.778,1
364.0426_0.774,364.0426,0.774,12439.767,364.0426_0.774,364.0426_0.774,1
574.2227_0.788,574.2227,0.788,502.0185,574.2227_0.788,574.2227_0.788,1
152.07_0.791,152.07,0.791,3629.1059999999998,Cluster_152.07_0.791,152.07_0.791;313.0848_0.793;328.102_0.795;366.0576_0.783,4
413.1411_0.782,413.1411,0.782,23672.097,413.1411_0.782,413.1411_0.782,1
290.1595_0.783,290.1595,0.783,26851.3605,290.1595_0.783,290.1595_0.783,1
218.0426_0.785,218.0426,0.785,11457.525000000001,218.0426_0.785,218.0426_0.785,1
532.1906_0.792,532.1906,0.792,1192.15435,532.1906_0.792,532.1906_0.792,1
312.1299_0.786,312.1299,0.786,37636.8285,312.1299_0.786,312.1299_0.786,1
576.1819_0.788,576.1819,0.788,505.1168,576.1819_0.788,576.1819_0.788,1
146.0609_0.789,146.0609,0.789,3148.5675,146.0609_0.789,146.0609_0.789,1
247.1288_0.789,247.1288,0.789,74701.57,247.1288_0.789,247.1288_0.789,1
302.1418_0.788,302.1418,0.788,4420.2255000000005,302.1418_0.788,302.1418_0.788,1
132.0444_0.791,132.0444,0.791,30222.849000000002,Cluster_132.0444_0.791,132.0444_0.791;348.0688_0.777,2
277.1173_0.79,277.1173,0.79,6915.5045,277.1173_0.79,277.1173_0.79,1
301.1391_0.795,301.1391,0.795,19997.648,301.1391_0.795,301.1391_0.795,1
185.1284_0.796,185.1284,0.796,81175.3555,185.1284_0.796,185.1284_0.796,1
450.1364_0.798,450.1364,0.798,504.12265,Cluster_450.1364_0.798,432.1422_0.793;448.1369_0.792;450.1364_0.798;504.2221_0.807;518.2378_0.804,5
304.15_0.797,304.15,0.797,30945.601499999997,304.15_0.797,304.15_0.797,1
317.0855_0.773,317.0855,0.773,2098.4036,317.0855_0.773,317.0855_0.773,1
