"p.value","m.z","t.score","r.t"
0.00677,278.0704,-3.400136648,4.755
0.00692,265.1186,3.481438114,1.302
0.00694,535.2001,3.385294479,3.279
0.007,699.3031,-3.379866797,3.917
0.00701,313.0582,3.47375632,4.803
0.00716,457.3017,3.459887807,4.509
0.00719,345.1653,3.457797377,4.623
0.00723,279.068,-3.36101193,2.262
0.00727,233.0835,-3.357599766,2.303
0.0074,277.0733,-3.346966105,3.48
0.00743,307.0839,-3.344939681,3.473
0.00758,337.1097,-3.332995828,0.926
0.00759,295.1547,-3.332177639,0.818
0.00763,447.0927,3.328970812,4.077
0.00764,218.067,-3.328248452,1.023
0.00771,211.0613,-3.323189419,1.458
0.00791,378.1755,-3.397372275,3.998
0.00794,515.1935,-3.305339295,3.917
0.00819,363.0706,-3.286938168,2.372
0.00823,205.155,-3.372066678,7.708
0.00824,341.1236,-3.283702724,0.523
0.00841,61.0396,-3.358665625,2.563
0.00847,327.1515,-3.354131989,4.429
0.0085,172.0977,-3.264839896,0.843
0.00858,305.0866,3.346137663,4.783
0.00859,375.1293,-3.258823158,5.379
0.00863,146.0812,-3.341925034,0.629
0.00896,87.0451,-3.233732775,2.052
0.00905,345.0795,-3.22811506,2.084
0.00915,337.0387,3.221752988,0.585
0.00918,259.0278,-3.219470667,1.04
0.00925,295.0612,-3.215204749,3.17
0.00942,489.1195,-3.204488426,2.377
0.00944,230.9966,-3.203441218,2.338
0.00948,345.1552,-3.200541974,3.921
0.00952,312.1266,-3.198157926,0.909
0.00962,412.1484,3.274094049,4.864
0.00963,525.1638,-3.191258029,0.564
0.00975,246.0444,-3.18410144,5.448
0.00994,343.0389,3.172893261,3.833
0.00997,383.1166,-3.170879501,1.001
0.01,149.0455,-3.169495013,5.186
0.0102,593.3316,3.239399607,0.527
0.0105,343.0994,3.221609945,5.932
0.0105,327.144,-3.142925617,0.519
0.0105,343.1394,-3.13843259,3.094
0.0105,367.212,-3.142280886,0.875
0.0105,541.2136,-3.14234007,0.56
0.0106,254.161,3.213907977,4.479
0.0106,218.9815,-3.136060453,1.043
0.0106,351.1173,3.1327971,3.296
0.0107,230.9901,3.209771679,5.64
0.0107,331.1214,-3.130190342,0.588
0.0109,303.1914,-3.197156882,5.064
0.011,363.0857,-3.112319913,2.443
0.0112,323.0593,3.102641172,6.042
0.0113,255.0974,-3.173832402,5.375
0.0114,351.1053,-3.089814108,2.385
0.0115,218.1032,-3.087997667,0.535
0.012,262.1285,-3.136547492,6.335
0.012,247.0796,-3.063556866,2.434
0.0125,266.1595,-3.111130936,6.173
0.0127,261.0071,-3.030385001,2.319
0.0129,336.0668,-3.021243069,3.29
0.0129,341.1043,3.018665311,3.624
0.013,160.1051,-3.08499596,5.081
0.013,283.1548,-3.015267766,0.836
0.0131,475.1985,-3.009302173,3.657
0.0135,269.136,-2.994600036,1.005
0.0136,415.1602,-2.98801071,4.918
0.0141,153.1273,-3.03708423,3.887
0.0142,317.0446,-2.963222178,2.457
0.0142,492.1876,-2.965401295,3.692
0.0142,521.2193,-2.964589502,2.309
0.0142,632.2037,-2.961833776,7.803
0.0143,231.0488,2.957560686,3.479
0.0143,392.1165,-2.960603247,0.562
0.0144,146.0813,-3.022525056,1.149
0.0144,179.0709,-2.957213152,0.842
0.0144,343.1392,-2.954145119,3.936
0.0145,416.3518,3.017341729,0.967
0.0148,183.1025,-2.940833884,0.808
0.0149,431.2275,-2.934610838,0.521
0.015,410.2047,-2.998030256,4.449
0.0154,593.3324,2.980209112,0.771
0.0155,527.1963,-2.910936075,3.633
0.0156,449.1074,2.975201883,3.962
0.0156,356.0984,-2.908632797,4.734
0.0157,116.1171,-2.97145024,1.124
0.0157,230.0498,-2.906408465,4.392
0.0158,306.9948,-2.902747193,1.951
0.016,339.1808,-2.892710904,0.89
0.016,350.1261,2.892485446,4.787
0.0161,218.0822,-2.891827107,0.977
0.0161,383.1188,-2.889353668,6.011
0.0163,365.1337,2.945480101,4.633
0.0165,352.0712,-2.876895998,1.03
0.0166,311.056,-2.871262797,2.651
0.0171,175.0713,-2.915797352,5.433
0.0173,618.1817,-2.849625218,1.581
0.0175,395.115,-2.843136339,3.303
0.0178,146.0921,2.892809461,5.109
0.0178,239.0726,-2.892909012,0.758
0.0178,251.0131,-2.832141452,1.996
0.0179,99.0451,-2.829747119,1.601
0.0181,617.1301,2.820771594,3.99
0.0183,337.0375,-2.816046909,2.682
0.0183,557.0606,-2.816053216,3.819
0.0184,450.1578,-2.8718108,7.375
0.0184,594.3635,2.813735823,0.533
0.0187,241.0311,-2.861613262,8.284
0.019,292.2016,-2.852623494,6.535
0.0191,293.0802,-2.789220275,0.982
0.0192,595.3479,2.847789732,0.782
0.0192,277.1076,-2.788811793,0.844
0.0192,397.1261,-2.786962184,4.74
0.0194,312.2168,-2.839110943,0.956
0.0195,314.1424,-2.77963431,0.513
0.0198,222.1131,-2.768998403,0.844
0.0199,129.0193,-2.765401421,6.544
0.02,200.9866,-2.763220552,1.058
0.0203,367.1497,-2.812727393,6.488
0.0203,300.0393,-2.754925822,5.464
0.0203,455.318,-2.754037382,2.305
0.0204,228.0868,2.809183158,4.611
0.0204,287.1968,-2.809702196,4.478
0.0205,293.1706,-2.806734806,8.464
0.0208,545.1681,-2.739914345,0.551
0.0211,345.0987,-2.73325404,2.126
0.0212,553.3887,2.784949251,0.421
0.0213,364.0427,2.782914594,5.639
0.0216,261.0072,-2.718649655,4.508
0.0216,424.0372,2.720173623,1.749
0.0217,270.1866,2.771708324,0.504
0.0217,145.0504,-2.716687444,0.989
0.0219,245.0744,-2.764727261,5.671
0.0219,247.1289,-2.766713265,6.343
0.022,595.3478,2.764104365,0.525
0.0221,229.0023,-2.704921915,1.031
0.0223,289.0021,-2.699991454,2.845
0.0226,495.2228,2.692052364,0.529
0.0228,158.0822,-2.68839319,0.968
0.0228,246.9916,-2.686406693,3.123
0.0228,569.2416,2.687048751,0.916
0.0231,275.0732,-2.679566853,2.439
0.0232,591.3172,2.678082338,0.523
0.0235,160.108,2.72150214,4.58
0.0235,300.217,-2.72281253,0.93
0.0235,342.1724,2.722857809,3.926
0.0236,259.0568,-2.666220439,7.075
0.0237,176.0108,2.717139698,4.794
0.0238,411.2019,-2.661343803,3.666
0.0239,196.0283,-2.660833747,4.94
0.0242,469.3014,2.705170398,4.532
0.0243,351.1268,-2.65094333,3.641
0.0243,355.1198,-2.650332662,2.415
0.0243,359.1707,-2.650168018,0.969
0.0243,577.1969,-2.651397672,0.559
0.0245,324.0725,2.645673742,5.673
0.0246,181.0805,-2.642758971,5.323
0.0247,162.0229,-2.641345665,4.073
0.0247,513.07,2.640204689,3.923
0.0253,364.196,-2.678047976,3.866
0.0253,338.0519,2.626697315,5.673
0.0254,501.1778,-2.625169417,3.92
