m.z,r.t.,p.value,t.score,mode
343.0994,5.932,0.0105,3.221609945,positive
327.144,0.519,0.0105,-3.142925617,negative
343.1394,3.094,0.0105,-3.13843259,negative
367.212,0.875,0.0105,-3.142280886,negative
541.2136,0.56,0.0105,-3.14234007,negative
254.161,4.479,0.0106,3.213907977,positive
218.9815,1.043,0.0106,-3.136060453,negative
351.1173,3.296,0.0106,3.1327971,negative
230.9901,5.64,0.0107,3.209771679,positive
331.1214,0.588,0.0107,-3.130190342,negative
303.1914,5.064,0.0109,-3.197156882,positive
363.0857,2.443,0.011,-3.112319913,negative
323.0593,6.042,0.0112,3.102641172,negative
255.0974,5.375,0.0113,-3.173832402,positive
351.1053,2.385,0.0114,-3.089814108,negative
218.1032,0.535,0.0115,-3.087997667,negative
262.1285,6.335,0.012,-3.136547492,positive
247.0796,2.434,0.012,-3.063556866,negative
266.1595,6.173,0.0125,-3.111130936,positive
261.0071,2.319,0.0127,-3.030385001,negative
336.0668,3.29,0.0129,-3.021243069,negative
341.1043,3.624,0.0129,3.018665311,negative
160.1051,5.081,0.013,-3.08499596,positive
283.1548,0.836,0.013,-3.015267766,negative
475.1985,3.657,0.0131,-3.009302173,negative
269.136,1.005,0.0135,-2.994600036,negative
415.1602,4.918,0.0136,-2.98801071,negative
153.1273,3.887,0.0141,-3.03708423,positive
317.0446,2.457,0.0142,-2.963222178,negative
492.1876,3.692,0.0142,-2.965401295,negative
521.2193,2.309,0.0142,-2.964589502,negative
632.2037,7.803,0.0142,-2.961833776,negative
231.0488,3.479,0.0143,2.957560686,negative
392.1165,0.562,0.0143,-2.960603247,negative
146.0813,1.149,0.0144,-3.022525056,positive
179.0709,0.842,0.0144,-2.957213152,negative
343.1392,3.936,0.0144,-2.954145119,negative
416.3518,0.967,0.0145,3.017341729,positive
183.1025,0.808,0.0148,-2.940833884,negative
431.2275,0.521,0.0149,-2.934610838,negative
410.2047,4.449,0.015,-2.998030256,positive
593.3324,0.771,0.0154,2.980209112,positive
527.1963,3.633,0.0155,-2.910936075,negative
449.1074,3.962,0.0156,2.975201883,positive
356.0984,4.734,0.0156,-2.908632797,negative
116.1171,1.124,0.0157,-2.97145024,positive
230.0498,4.392,0.0157,-2.906408465,negative
306.9948,1.951,0.0158,-2.902747193,negative
339.1808,0.89,0.016,-2.892710904,negative
350.1261,4.787,0.016,2.892485446,negative
218.0822,0.977,0.0161,-2.891827107,negative
383.1188,6.011,0.0161,-2.889353668,negative
365.1337,4.633,0.0163,2.945480101,positive
352.0712,1.03,0.0165,-2.876895998,negative
311.056,2.651,0.0166,-2.871262797,negative
175.0713,5.433,0.0171,-2.915797352,positive
618.1817,1.581,0.0173,-2.849625218,negative
395.115,3.303,0.0175,-2.843136339,negative
146.0921,5.109,0.0178,2.892809461,positive
239.0726,0.758,0.0178,-2.892909012,positive
251.0131,1.996,0.0178,-2.832141452,negative
99.0451,1.601,0.0179,-2.829747119,negative
617.1301,3.99,0.0181,2.820771594,negative
337.0375,2.682,0.0183,-2.816046909,negative
557.0606,3.819,0.0183,-2.816053216,negative
450.1578,7.375,0.0184,-2.8718108,positive
594.3635,0.533,0.0184,2.813735823,negative
241.0311,8.284,0.0187,-2.861613262,positive
292.2016,6.535,0.019,-2.852623494,positive
293.0802,0.982,0.0191,-2.789220275,negative
595.3479,0.782,0.0192,2.847789732,positive
277.1076,0.844,0.0192,-2.788811793,negative
397.1261,4.74,0.0192,-2.786962184,negative
312.2168,0.956,0.0194,-2.839110943,positive
314.1424,0.513,0.0195,-2.77963431,negative
222.1131,0.844,0.0198,-2.768998403,negative
129.0193,6.544,0.0199,-2.765401421,negative
200.9866,1.058,0.02,-2.763220552,negative
367.1497,6.488,0.0203,-2.812727393,positive
300.0393,5.464,0.0203,-2.754925822,negative
455.318,2.305,0.0203,-2.754037382,negative
228.0868,4.611,0.0204,2.809183158,positive
287.1968,4.478,0.0204,-2.809702196,positive
293.1706,8.464,0.0205,-2.806734806,positive
545.1681,0.551,0.0208,-2.739914345,negative
345.0987,2.126,0.0211,-2.73325404,negative
553.3887,0.421,0.0212,2.784949251,positive
364.0427,5.639,0.0213,2.782914594,positive
261.0072,4.508,0.0216,-2.718649655,negative
424.0372,1.749,0.0216,2.720173623,negative
270.1866,0.504,0.0217,2.771708324,positive
145.0504,0.989,0.0217,-2.716687444,negative
245.0744,5.671,0.0219,-2.764727261,positive
247.1289,6.343,0.0219,-2.766713265,positive
595.3478,0.525,0.022,2.764104365,positive
229.0023,1.031,0.0221,-2.704921915,negative
289.0021,2.845,0.0223,-2.699991454,negative
495.2228,0.529,0.0226,2.692052364,negative
158.0822,0.968,0.0228,-2.68839319,negative
246.9916,3.123,0.0228,-2.686406693,negative
569.2416,0.916,0.0228,2.687048751,negative
275.0732,2.439,0.0231,-2.679566853,negative
