m/z,rt,p-value,t-score,mode
245.0488,4.187,0.43,-0.82161862,negative
245.0489,3.748,0.356,-0.967754487,negative
245.0937,4.487,0.47,-0.751622102,negative
245.1137,0.783,0.595,0.549544416,negative
246.0109,2.385,0.476,0.740993241,negative
246.0383,2.873,0.866,0.173654343,negative
246.0383,3.487,0.752,-0.324618328,negative
246.0433,0.669,0.263,-1.186056723,negative
246.0752,4.139,0.0946,-1.846335712,negative
246.0753,3.721,0.0227,-2.690304058,negative
246.1531,5.399,0.677,-0.428672731,negative
246.9913,0.705,0.578,0.575444798,negative
246.9917,2.802,0.155,1.53788699,negative
247.0277,0.755,0.132,1.640153174,negative
247.062,0.659,0.106,-1.776629325,negative
247.0798,4.12,0.0322,-2.485532968,negative
248.0596,0.808,0.925,0.096862318,negative
250.0718,3.655,0.478,-0.737203594,negative
251.0128,3.524,0.196,-1.385975496,negative
253.0503,5.048,4.28E-05,6.883944476,negative
253.9903,0.661,0.124,-1.678659545,negative
254.9816,0.664,0.0436,-2.308606463,negative
254.9941,3.14,0.188,1.411527706,negative
255.0674,5.078,0.00431,3.671258282,negative
255.1349,3.614,0.474,-0.744144782,negative
255.1349,4.042,0.498,-0.703426667,negative
257.0816,6.056,6.85E-05,6.505158379,negative
258.0424,0.699,0.161,1.514666194,negative
258.044,2.007,0.17,-1.477850326,negative
258.9916,0.797,0.64,-0.482518787,negative
258.9926,3.301,0.256,1.203809673,negative
259.057,0.712,0.0454,-2.285240694,negative
259.129,3.733,0.443,-0.799287876,negative
260.0239,2.686,0.412,0.85532702,negative
260.0254,0.667,0.781,0.285635254,negative
261.0071,3.241,0.61,0.5263741,negative
261.0072,0.769,0.377,-0.92419343,negative
261.0232,0.668,0.433,-0.816812815,negative
261.039,0.66,0.309,1.070823213,negative
262.0286,0.664,0.387,0.903940971,negative
262.0364,0.654,0.92,0.103032642,negative
262.9863,0.693,0.0944,-1.847622724,negative
263.0249,0.69,0.3,-1.093991388,negative
263.0272,2.81,0.989,0.014008741,negative
263.0573,0.662,0.121,-1.693843857,negative
263.1041,2.759,0.221,1.305945523,negative
263.1041,2.796,0.0525,2.199176689,negative
263.1046,3.466,0.137,1.614588483,negative
263.1054,2.91,0.402,-0.87435552,negative
263.1397,2.777,0.169,1.480690701,negative
263.141,3.465,0.176,1.457344298,negative
264.0876,3.875,0.434,0.815682671,negative
264.1168,3.46,0.255,1.208470554,negative
264.9884,0.68,0.474,-0.743198693,negative
265.0184,2.828,0.319,-1.049577061,negative
265.1192,4.316,0.643,-0.477684265,negative
267.1235,7.063,0.165,1.499122779,negative
269.1505,4.575,0.348,-0.984741849,negative
269.1506,4.275,0.287,-1.123924708,negative
273.0073,0.807,0.154,-1.542048648,negative
273.0074,3.349,0.254,-1.2092039,negative
274.0026,0.671,0.214,-1.327772981,negative
274.0027,2.51,0.161,-1.513984431,negative
274.0396,0.676,0.495,-0.708015738,negative
274.039,0.769,0.575,-0.579481135,negative
275.0216,0.69,0.514,-0.677098358,negative
275.0221,0.754,0.592,-0.553200207,negative
275.0224,3.427,0.0215,-2.721029106,negative
275.0569,0.663,0.174,-1.465097966,negative
276.0009,3.151,0.834,0.214999775,negative
276.0018,0.763,0.433,0.817512251,negative
277.0021,0.707,0.374,0.931295894,negative
277.0349,0.667,0.94,0.077752528,negative
277.052,0.659,0.388,0.902555108,negative
277.0852,0.658,0.0609,-2.111360252,negative
278.0698,0.683,0.00125,-4.441324007,negative
279.0491,3.95,0.809,0.248507803,negative
279.049,3.659,0.791,0.271922705,negative
279.0984,3.799,0.768,-0.303112915,negative
279.9896,3.301,0.457,0.773074361,negative
281.1142,4.039,0.148,-1.566171991,negative
282.0473,0.802,0.34,-1.002427796,negative
283.0822,3.328,0.126,1.667111778,negative
283.0822,3.893,0.139,1.609739453,negative
283.1657,5.239,0.637,-0.487005371,negative
287.0195,0.66,0.148,1.566495814,negative
287.0227,3.548,0.0819,-1.934029555,negative
287.0526,0.66,0.0307,-2.513388717,negative
289.0363,0.688,0.116,-1.721832094,negative
289.0528,0.664,0.0574,-2.146879452,negative
289.0702,0.663,0.136,-1.622625469,negative
290.0877,0.662,0.379,-0.920525369,negative
291.0345,0.717,0.844,-0.20167681,negative
291.0683,0.654,0.289,-1.119070848,negative
293.0301,0.685,0.313,-1.063185021,negative
293.0331,2.576,0.177,-1.453763829,negative
293.0676,0.65,0.612,-0.524231853,negative
293.0743,2.543,0.988,-0.015067642,negative
295.0242,4.354,0.41,-0.860272316,negative
295.0252,3.897,0.988,-0.015652221,negative
295.0806,3.721,0.014,2.970590546,negative
295.0815,4.242,0.00144,4.351550804,negative
295.1298,3.641,0.815,0.240057383,negative
296.0197,0.697,0.0942,-1.848674938,negative
296.9824,0.699,0.091,-1.869861349,negative
297.0975,4.072,1.95E-07,12.52584827,negative
297.0975,4.498,3.03E-08,15.22504679,negative
298.0002,3.49,0.925,-0.0969742,negative
299.0779,3.509,0.981,-0.02403652,negative
299.1247,0.784,0.591,-0.554906521,negative
300.0195,0.687,0.122,-1.687726415,negative
300.039,0.661,0.0146,-2.945955258,negative
301.0547,0.665,0.567,0.592108166,negative
301.0563,0.774,0.16,1.519369724,negative
302.0532,0.694,0.571,-0.585070563,negative
302.1145,3.69,0.812,-0.243731714,negative
303.0177,0.795,0.0608,-2.112765414,negative
303.0178,3.212,0.0955,-1.840889735,negative
303.0365,0.684,0.847,0.198651758,negative
303.0532,0.705,0.604,-0.535374875,negative
303.0712,0.728,0.0105,3.139115927,negative
303.072,2.684,0.0376,2.395147198,negative
305.1604,5.512,0.503,-0.694913298,negative
306.9561,3.814,0.185,1.422313694,negative
307.0326,0.669,0.852,-0.192065195,negative
307.1184,6.294,0.979,0.026501253,negative
308.0774,3.378,0.17,1.477932498,negative
308.0983,0.658,0.157,-1.530932346,negative
310.9691,1.162,0.651,-0.465773375,negative
310.9761,0.719,0.52,-0.667229105,negative
311.0752,3.182,0.128,1.660320117,negative
313.0567,0.793,0.424,0.83268163,negative
313.0569,3.13,0.0614,2.106251768,negative
313.9951,2.734,0.89,-0.141307339,negative
313.995,4.031,0.146,1.578086364,negative
313.999,0.818,0.276,1.153330052,negative
315.0338,0.673,0.303,-1.086517727,negative
315.0713,0.751,0.647,0.471663731,negative
317.1602,5.227,0.206,1.35296645,negative
318.064,0.674,0.431,-0.82036027,negative
319.0474,0.696,0.0465,-2.271358557,negative
319.1032,0.789,0.0177,-2.834109389,negative
319.1396,5.493,0.419,-0.842270485,negative
320.0597,0.683,0.512,-0.679718467,negative
321.0622,3.448,0.865,-0.174747521,negative
321.0625,0.656,0.0917,-1.865125063,negative
324.0682,6.363,0.367,0.943902352,negative
324.0723,0.776,0.295,1.105843147,negative
324.0723,2.134,0.123,1.683963739,negative
324.0723,2.857,0.389,0.900714381,negative
325.1288,5.321,0.458,-0.771716352,negative
326.0866,0.798,0.406,0.868180813,negative
328.0474,0.665,0.0122,-3.05162298,negative
329.1602,5.369,0.803,-0.256473975,negative
330.0287,3.095,0.0645,-2.077500681,negative
330.0291,0.673,0.813,0.24264339,negative
331.0121,3.56,0.716,-0.373735673,negative
331.0274,0.668,0.328,1.029474255,negative
331.091,2.747,0.405,0.869371069,negative
331.091,3.433,0.973,-0.035143313,negative
331.1218,3.932,0.00969,-3.187731358,negative
331.1763,5.775,0.469,-0.75198307,negative
333.0047,4.33,8.12E-06,8.344940653,negative
333.0066,3.893,2.56E-05,7.313244235,negative
333.0634,0.694,0.141,-1.599866261,negative
334.0517,3.708,0.998,0.002365741,negative
335.0244,4.36,2.48E-06,9.524044926,negative
335.0468,0.663,0.165,-1.498325937,negative
336.0493,0.662,0.351,-0.97761663,negative
336.0706,3.376,0.369,0.939954629,negative
336.0708,0.807,0.244,-1.238664372,negative
336.0718,3.292,0.0881,-1.889878689,negative
336.072,3.762,0.0638,-2.083648921,negative
336.1214,3.081,0.802,-0.257438053,negative
