m.z,r.t.,p,t.score
182.1285,0.539,0.546,0.6275927672402405
182.1403,1.095,0.652,-0.46655914950166677
184.0621,3.682,0.704,0.3922298836593268
184.108,7.646,0.385,0.913480222217188
185.1648,5.491,0.569,0.5905559053036145
186.1125,0.809,0.605,-0.535251870508058
188.0705,0.471,0.29,1.1248706731170197
188.1029,5.618,0.783,0.283541825167047
188.1155,8.031,0.158,-1.538885288405857
188.1281,0.812,0.369,-0.9456374240465254
188.176,8.261,0.874,-0.16274465649516895
188.184,8.262,0.659,0.455740692346177
189.0423,4.98,0.373,-0.9364766518093086
189.087,5.641,0.159,-1.536935535639536
189.1232,6.685,0.157,-1.5453837789766345
189.1234,6.353,0.101,-1.8252116342226667
189.1345,7.821,0.19,1.4190626602871543
189.1346,3.204,0.823,0.2305176946666088
189.1607,7.584,0.333,-1.0235269800955378
189.168,7.64,0.37,-0.9428568849665189
190.1186,6.676,0.996,-0.004587277101954815
191.0662,7.745,0.962,0.0489884740964496
191.139,7.741,0.352,-0.9812458121662212
192.0743,6.855,0.395,-0.8935810320835414
193.0836,4.971,0.275,-1.1628925719423167
193.1319,7.203,0.929,0.09155326146878175
193.1547,4.681,0.613,-0.5239463769477405
193.155,3.944,0.654,0.463374941733514
195.0875,0.506,0.977,-0.029538190034461335
196.0603,7.154,0.114,1.7528579201266876
198.0529,5.13,0.00216,-4.24384481973384
198.0873,5.991,0.505,-0.6938420136409198
198.1236,6.476,0.0962,-1.8577104347008147
199.0825,3.657,0.996,-0.005362523312188729
199.0826,0.565,0.303,-1.0928264731390196
199.096,3.252,0.706,-0.3893910278358378
199.1075,0.555,0.832,0.21860869013166812
200.107,1.003,0.847,0.19901625274157386
202.1072,3.8,0.436,0.8155449619761507
202.1185,4.047,0.452,0.7867804910485249
202.1187,4.623,0.781,0.2864906034570254
202.1438,0.819,0.648,-0.4718566193713534
203.0527,5.677,0.962,0.04834668239566669
203.1391,5.524,0.938,-0.07952613102810224
203.1391,5.557,0.769,0.3027156275848855
203.1393,5.108,0.468,0.7580624269073166
203.139,5.989,0.0862,-1.9260294180286852
203.139,7.531,0.199,1.3852512150963177
203.1478,5.105,0.931,0.08904099120868944
203.1485,5.527,0.185,-1.4352202359491832
203.1513,6.974,0.112,-1.7591591186325823
204.0866,0.88,0.932,-0.08710939006768374
204.0866,8.005,0.0849,-1.9354850495050724
204.1231,0.528,0.57,0.5889234118944885
204.123,1.344,0.993,0.009042967912135937
204.1333,0.552,0.247,1.2383373147392294
204.1343,4.98,2.91e-4,-5.709554870801215
204.1347,1.095,0.88,-0.15561799016876646
204.1421,5.101,0.367,0.9498064513730927
205.0684,5.668,0.584,-0.5675043770357198
205.0822,7.274,0.515,0.6784359661792607
205.0972,4.752,0.0871,-1.9199225826632722
205.1184,8.039,0.0745,-2.0166789435108057
205.1261,3.722,0.931,0.0889216193848069
205.155,7.708,0.00823,-3.3720666777258015
205.1634,7.711,0.278,1.1550124508250865
206.0819,0.514,0.19,1.4163364389540074
207.1049,0.834,0.764,0.30924379516014533
208.0429,5.441,0.406,0.8715401698539597
208.0968,0.848,6.02e-4,5.150811462917496
208.1807,5.435,0.296,1.1103774641353994
208.1,7.499,0.179,1.4560563983252
209.0968,8.083,0.356,-0.9727028124890793
209.1172,0.959,0.168,1.498553070557938
209.1284,7.334,0.268,-1.181590896527146
211.1077,7.422,0.796,-0.26678804529605393
212.0916,3.99,0.553,0.6154602589437705
212.1032,5.558,0.957,-0.05588373437172911
213.0984,6.64,0.769,-0.30283319526261693
213.1237,2.92,0.623,-0.5094620279394676
214.1185,6.612,0.333,1.023344044124651
215.0163,5.665,0.0953,1.8634778087110575
215.1391,5.03,0.724,0.3643168361635645
215.139,5.001,0.938,-0.0805901502045556
217.1384,6.201,0.714,-0.37808473097998785
217.13,6.202,0.539,-0.6391485819107144
217.1546,5.792,0.78,-0.28835083501310016
217.1547,7.121,0.161,-1.52917424424421
217.1548,5.348,0.146,-1.590067298825374
217.1647,5.35,0.229,-1.289808064918084
217.1656,3.908,0.0303,-2.5679046897449855
218.1387,0.519,0.776,0.2929922960645039
218.1387,2.855,0.905,0.12281647724342512
218.1498,8.373,0.375,0.9328772872620019
218.1862,3.124,0.242,1.2511369188686214
219.0266,5.653,0.841,0.20605685354617853
219.0611,7.946,0.383,-0.9164154880148514
219.0611,8.095,0.358,-0.9683747711565884
219.1338,7.942,0.542,0.6338112560176601
220.0637,4.274,0.339,1.0087656505291906
