m.z r.t. p t.score
202.1185 4.047 0.0676 -2.077232214238965
202.1187 4.623 0.0184 -2.8715491267376527
202.1438 0.819 0.106 -1.7969598080269729
203.0527 5.677 0.885 -0.1490249282706409
203.1391 5.524 0.408 -0.8670957249102724
203.1391 5.557 0.259 -1.205174803389079
203.1393 5.108 0.0428 -2.3577295997733354
203.139 5.989 0.7 0.39849210436606747
203.139 7.531 0.576 -0.5800111598935479
203.1478 5.105 0.0134 -3.0665250532236135
203.1485 5.527 0.717 0.3744736754199764
203.1513 6.974 0.101 -1.8292981889326667
204.0866 0.88 0.588 0.5623480832842317
204.0866 8.005 0.24 -1.2578509525203398
204.1231 0.528 0.0932 -1.877335589580155
204.123 1.344 0.0232 -2.7302456152258108
204.1333 0.552 0.155 -1.5502861697605925
204.1343 4.98 0.0102 -3.2386122666357284
204.1347 1.095 0.215 -1.33493029462052
204.1421 5.101 0.0519 -2.2394360800182067
205.0684 5.668 0.0159 -2.9642225905404938
205.0822 7.274 0.687 -0.41565553225273083
205.0972 4.752 0.0435 -2.346922251656251
205.1184 8.039 0.261 -1.1984777245735008
205.1261 3.722 0.00234 -4.189219423340138
205.155 7.708 0.254 -1.2176920537262474
205.1634 7.711 0.63 -0.49845564179783025
206.0819 0.514 0.0505 2.255779997267486
207.1049 0.834 0.0939 -1.8727573938773165
208.0429 5.441 0.348 -0.9905487938260081
208.0968 0.848 0.0046 3.74382581093087
208.1807 5.435 0.975 0.03280765424654285
208.1 7.499 0.133 -1.6527897534623839
209.0968 8.083 0.212 -1.3444329593345383
209.1172 0.959 0.113 -1.7558508521694434
209.1284 7.334 0.659 -0.4563949753785152
211.1077 7.422 0.0604 -2.1464300338038678
212.0916 3.99 0.82 0.23417916205332145
212.1032 5.558 0.154 -1.5573091549832025
213.0984 6.64 0.0321 -2.533191285332022
213.1237 2.92 0.474 0.7480420615556762
214.1185 6.612 0.163 -1.5209972307171127
215.0163 5.665 0.35 0.9867465407938926
215.1391 5.03 0.0118 -3.1450330650335583
215.139 5.001 0.012 -3.1344381748934027
217.1384 6.201 0.194 -1.4050757977506534
217.13 6.202 0.306 -1.086047410190785
217.1546 5.792 0.943 -0.07356223514943257
217.1547 7.121 0.106 -1.798602533405644
217.1548 5.348 0.00353 -3.9161298260561743
217.1647 5.35 0.00232 -4.195395416108442
217.1656 3.908 0.377 0.9284004939361857
218.1387 0.519 0.072 -2.0382249535388373
218.1387 2.855 0.0169 -2.9251194085142904
218.1498 8.373 0.19 -1.4180879449766206
218.1862 3.124 0.585 -0.5656881215144676
219.0266 5.653 0.111 1.7680161368991498
219.0611 7.946 0.0179 -2.8885181958598065
219.0611 8.095 0.0672 -2.080615015474431
219.1338 7.942 0.436 -0.815033643769234
220.0637 4.274 0.0368 -2.4493665775106526
220.1182 0.536 0.0157 2.9697183924227564
221.0422 5.654 0.0282 -2.6121275233749666
221.0769 7.97 0.701 0.39642130759506355
221.1607 4.761 0.00449 -3.758999294147961
222.1125 0.819 0.477 0.7423873761890925
222.149 1.068 0.0611 2.1388970713202893
223.1665 5.438 0.964 0.04636131853005847
224.139 7.26 0.673 -0.43607852497156196
224.139 7.455 0.296 -1.109328322482527
225.112 0.839 0.124 -1.6967657157472917
225.1236 7.192 0.302 1.0947175192304148
226.082 3.788 0.00708 -3.467433355720281
226.9517 5.826 0.636 0.4896484133751379
227.1138 8.055 0.142 -1.6081854418337491
227.1262 3.586 0.0199 -2.8236525649172317
227.1263 3.423 0.0183 -2.8765174290061912
227.1277 0.83 0.279 -1.1511709922576254
228.0868 4.611 0.252 -1.2253464972352994
229.0852 3.063 0.753 0.3248520787497177
229.0864 0.532 0.113 1.7547660229738649
229.086 4.099 0.103 -1.8164589086913472
229.1293 6.895 0.899 0.130183682683485
229.1547 3.637 0.0152 -2.9916514589864214
229.1548 0.532 0.328 1.0347022251965885
229.1548 5.62 0.0214 -2.7806257618972223
229.1553 4.5 0.0654 -2.0978023590441843
229.155 5.116 0.353 -0.9802826358519139
229.155 5.197 0.437 -0.8129873003934175
229.1634 4.529 0.484 0.729934412353863
229.1663 1.078 0.32 1.0523524792283383
230.1217 6.531 0.98 -0.025877224931033404
230.1247 5.055 0.00519 -3.66500844068162
230.1863 4.368 0.0842 -1.9407118771172762
230.9901 5.64 0.184 1.4372592891903
231.0378 5.108 0.0678 -2.0746648771198055
231.1451 5.95 0.0412 -2.3809753139411867
231.1702 5.351 0.0196 -2.8333302754781142
232.1179 0.789 0.961 -0.050628245265664396
232.1291 5.085 0.705 -0.39063612592881747
232.1403 9.087 0.302 -1.094891203519961
232.1544 0.515 0.575 0.5812452111397111
232.1661 1.064 0.644 0.4774741571507419
233.0632 5.675 0.393 0.8980081597279311
233.1495 8.034 0.174 -1.4780783855598048
234.1136 0.825 2.88e-5 7.738548585087084
236.1281 0.823 0.647 -0.473594526334767
238.1083 1.113 0.313 -1.0695071722005096
238.1548 5.5 0.886 0.14785846587820428
238.1548 7.049 0.937 0.08171585738231206
238.1549 6.221 0.593 -0.5540414616274829
239.0726 0.758 0.819 -0.23624423740439504
239.1389 6.704 0.00868 -3.3385927944082905
239.1389 6.713 0.0135 -3.062724362390119
239.1389 7.307 0.274 1.1656766621535046
239.139 0.892 0.519 0.6713955703367079
241.0311 8.284 0.148 -1.5813529524433554
241.0948 5.126 0.0194 -2.840521176289813
241.1294 5.434 9.36e-4 -4.828549321751606
241.1295 4.812 0.472 -0.7512664894029363
241.1295 7.948 0.0982 -1.8443582327199373
241.1296 7.647 0.288 -1.129801676520963
241.1398 7.647 0.256 -1.2121052406590134
241.1547 4.545 0.0663 -2.0887361141197283
242.077 7.275 0.117 -1.7332233055116635
242.1389 0.944 0.694 -0.4065271778759061
242.1402 1.026 0.0165 -2.9408766088362865
242.161 7.083 0.924 0.09755267718031918
243.1339 2.784 0.129 -1.671163750117354
243.1341 3.697 0.751 0.3266327211090388
243.134 0.517 0.314 -1.0674846864065808
243.145 6.522 0.776 -0.2932579682709532
244.1291 6.675 0.341 -1.0053089996972207
244.1542 0.514 0.723 0.36549960074071824
244.1543 0.514 0.723 0.36549960074071824
244.1655 7.349 0.00781 -3.4047358413763744
244.1711 3.76 0.471 -0.7516770276270264
244.1782 1.066 0.109 1.7761022095051797
245.0744 5.671 0.0772 -1.9946334118348665
245.0768 4.431 0.0101 -3.2428937868714716
245.1494 5.617 0.251 -1.2282428047338925
245.1502 0.513 0.101 -1.8263132223978906
245.1607 5.031 0.108 -1.7835158134999967
246.1701 0.513 0.18 -1.453009191303373
