mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
424.163_0.522,424.163,0.522,2557.94335,424.163_0.522,424.163_0.522,1
468.2222_0.533,468.2222,0.533,3064.5714,468.2222_0.533,468.2222_0.533,1
595.3478_0.525,595.3478,0.525,9716.7275,595.3478_0.525,595.3478_0.525,1
591.3171_0.528,591.3171,0.528,7263.49,591.3171_0.528,591.3171_0.528,1
432.2019_0.535,432.2019,0.535,1424.2527,432.2019_0.535,432.2019_0.535,1
513.2981_0.528,513.2981,0.528,6426.7485,513.2981_0.528,513.2981_0.528,1
229.0864_0.532,229.0864,0.532,1795.4391,229.0864_0.532,229.0864_0.532,1
464.1911_0.532,464.1911,0.532,33872.3495,464.1911_0.532,464.1911_0.532,1
182.1285_0.539,182.1285,0.539,8208.3942,Cluster_182.1285_0.539,168.1126_0.554;182.1285_0.539,2
290.1764_0.527,290.1764,0.527,8797.6965,290.1764_0.527,290.1764_0.527,1
276.1443_0.534,276.1443,0.534,12012.6255,276.1443_0.534,276.1443_0.534,1
180.0656_0.532,180.0656,0.532,96034.52799999999,Cluster_180.0656_0.532,105.0336_0.532;180.0656_0.532,2
229.1548_0.532,229.1548,0.532,266711,Cluster_229.1548_0.532,229.1548_0.532;241.1546_0.533,2
466.2038_0.538,466.2038,0.538,5399.6185000000005,466.2038_0.538,466.2038_0.538,1
325.188_0.522,325.188,0.522,2636.85415,325.188_0.522,325.188_0.522,1
265.1191_0.536,265.1191,0.536,1336741.7,Cluster_265.1191_0.536,130.05_0.536;247.1077_0.536;248.0918_0.536;265.1191_0.536,4
363.1426_0.526,363.1426,0.526,1727.6611,363.1426_0.526,363.1426_0.526,1
220.1182_0.536,220.1182,0.536,19292.016499999998,220.1182_0.536,220.1182_0.536,1
265.1546_0.538,265.1546,0.538,60040.4745,265.1546_0.538,265.1546_0.538,1
366.1123_0.548,366.1123,0.548,503.02305,366.1123_0.548,366.1123_0.548,1
148.1118_0.543,148.1118,0.543,1173.6032,148.1118_0.543,148.1118_0.543,1
167.0727_0.556,167.0727,0.556,7823.032,Cluster_167.0727_0.556,167.0727_0.556;199.0958_0.55;230.102_0.545;448.1969_0.554;450.2133_0.547,5
311.1494_0.538,311.1494,0.538,8211.1067,311.1494_0.538,311.1494_0.538,1
458.2019_0.544,458.2019,0.544,14880.955,458.2019_0.544,458.2019_0.544,1
302.1415_0.545,302.1415,0.545,4112.7638,302.1415_0.545,302.1415_0.545,1
398.1461_0.547,398.1461,0.547,2203.8583,398.1461_0.547,398.1461_0.547,1
153.1276_0.538,153.1276,0.538,10932.9795,Cluster_153.1276_0.538,153.1276_0.538;364.1955_0.546,2
478.2061_0.546,478.2061,0.546,4373.336649999999,478.2061_0.546,478.2061_0.546,1
298.0967_0.547,298.0967,0.547,33871.2,298.0967_0.547,298.0967_0.547,1
311.1306_0.539,311.1306,0.539,2187.60765,311.1306_0.539,311.1306_0.539,1
276.1362_0.536,276.1362,0.536,1768.65405,Cluster_276.1362_0.536,256.1109_0.536;276.1362_0.536;418.1645_0.542;420.1609_0.546;470.2175_0.541;484.1958_0.545;488.2283_0.543;498.2128_0.531;500.2267_0.542;501.2041_0.538;502.2432_0.534,11
181.0838_0.54,181.0838,0.54,10287.8515,181.0838_0.54,181.0838_0.54,1
328.1875_0.548,328.1875,0.548,3867.1571,328.1875_0.548,328.1875_0.548,1
287.1002_0.56,287.1002,0.56,34079.3,287.1002_0.56,287.1002_0.56,1
204.1333_0.552,204.1333,0.552,8798.884,204.1333_0.552,204.1333_0.552,1
434.1406_0.555,434.1406,0.555,1197.1091999999999,434.1406_0.555,434.1406_0.555,1
288.1598_0.546,288.1598,0.546,9775.034500000002,288.1598_0.546,288.1598_0.546,1
150.0585_0.581,150.0585,0.581,25916.753,150.0585_0.581,150.0585_0.581,1
407.22_0.543,407.22,0.543,2378.9955,407.22_0.543,407.22_0.543,1
167.0564_0.555,167.0564,0.555,45979.201499999996,167.0564_0.555,167.0564_0.555,1
265.1524_0.556,265.1524,0.556,34087.1525,265.1524_0.556,265.1524_0.556,1
357.1793_0.549,357.1793,0.549,2023.2325,357.1793_0.549,357.1793_0.549,1
773.4545_0.537,773.4545,0.537,503.05115,773.4545_0.537,773.4545_0.537,1
159.1492_0.568,159.1492,0.568,5283.384,159.1492_0.568,159.1492_0.568,1
426.1944_0.561,426.1944,0.561,11393.2385,426.1944_0.561,426.1944_0.561,1
452.1913_0.564,452.1913,0.564,7951.1314999999995,452.1913_0.564,452.1913_0.564,1
380.1157_0.564,380.1157,0.564,12258.2075,380.1157_0.564,380.1157_0.564,1
199.0826_0.565,199.0826,0.565,18441.6325,199.0826_0.565,199.0826_0.565,1
368.1159_0.567,368.1159,0.567,12686.0405,368.1159_0.567,368.1159_0.567,1
358.1317_0.569,358.1317,0.569,7566.647499999999,358.1317_0.569,358.1317_0.569,1
518.238_0.546,518.238,0.546,1158.2024000000001,518.238_0.546,518.238_0.546,1
392.1553_0.566,392.1553,0.566,3192.77795,Cluster_392.1553_0.566,357.1184_0.574;375.129_0.567;392.1553_0.566;397.1107_0.574,4
199.1075_0.555,199.1075,0.555,18941.478499999997,199.1075_0.555,199.1075_0.555,1
151.0615_0.588,151.0615,0.588,46897.926999999996,151.0615_0.588,151.0615_0.588,1
413.0838_0.586,413.0838,0.586,502.8648,413.0838_0.586,413.0838_0.586,1
312.1302_0.589,312.1302,0.589,75465.225,312.1302_0.589,312.1302_0.589,1
180.088_0.589,180.088,0.589,28698.637,180.088_0.589,180.088_0.589,1
413.2811_0.557,413.2811,0.557,1383.7026,413.2811_0.557,413.2811_0.557,1
354.1004_0.685,354.1004,0.685,32079.809,354.1004_0.685,354.1004_0.685,1
142.0863_0.641,142.0863,0.641,24978.7805,142.0863_0.641,142.0863_0.641,1
146.0812_0.629,146.0812,0.629,28611.9895,146.0812_0.629,146.0812_0.629,1
116.1071_0.643,116.1071,0.643,95818.995,116.1071_0.643,116.1071_0.643,1
276.145_0.594,276.145,0.594,6709.44975,Cluster_276.145_0.594,256.119_0.587;276.145_0.594,2
265.1623_0.765,265.1623,0.765,8331.383,265.1623_0.765,265.1623_0.765,1
354.1003_0.765,354.1003,0.765,36322.9065,Cluster_354.1003_0.765,274.1437_0.774;354.1003_0.765,2
239.0726_0.758,239.0726,0.758,1452.5342500000002,Cluster_239.0726_0.758,177.1023_0.759;239.0726_0.758;433.1308_0.774;433.1762_0.76;435.137_0.773;455.1122_0.758;471.0862_0.773;478.1873_0.765,8
593.3324_0.771,593.3324,0.771,1860.7493,593.3324_0.771,593.3324_0.771,1
232.1179_0.789,232.1179,0.789,3845.6801,232.1179_0.789,232.1179_0.789,1
595.3479_0.782,595.3479,0.782,2462.6342999999997,595.3479_0.782,595.3479_0.782,1
319.1647_0.799,319.1647,0.799,5482.9675,319.1647_0.799,319.1647_0.799,1
188.1281_0.812,188.1281,0.812,18688.141499999998,188.1281_0.812,188.1281_0.812,1
186.1125_0.809,186.1125,0.809,32210.0815,186.1125_0.809,186.1125_0.809,1
251.1279_0.811,251.1279,0.811,20754.087,251.1279_0.811,251.1279_0.811,1
296.1853_0.806,296.1853,0.806,5519.16795,296.1853_0.806,296.1853_0.806,1
975.5183_0.838,975.5183,0.838,502.63895,975.5183_0.838,975.5183_0.838,1
100.0757_0.821,100.0757,0.821,51210.713,100.0757_0.821,100.0757_0.821,1
156.1019_0.817,156.1019,0.817,28403.993000000002,156.1019_0.817,156.1019_0.817,1
222.1125_0.819,222.1125,0.819,24226.244,Cluster_222.1125_0.819,222.1125_0.819;222.1228_0.818,2
202.1438_0.819,202.1438,0.819,27511.9745,202.1438_0.819,202.1438_0.819,1
236.1281_0.823,236.1281,0.823,11215.9135,236.1281_0.823,236.1281_0.823,1
174.1125_0.823,174.1125,0.823,64354.784,174.1125_0.823,174.1125_0.823,1
