p.value,m.z,t.score,r.t,pos_inx
0.00177,217.0487,-4.220061955,5.68,0
0.00184,330.2273,-4.354117332,1.14,1
0.00189,248.1491,-4.333868773,4.879,1
0.00189,208.976,4.180444843,0.787,0
0.00194,175.0713,-4.317463325,5.433,1
0.002,478.1159,-4.142738564,4.716,0
0.00201,300.0393,-4.139391989,5.464,0
0.00211,163.0403,4.110199554,0.951,0
0.00226,324.2159,4.213896974,0.482,1
0.00232,217.1647,-4.195395416,5.35,1
0.00234,205.1261,-4.189219423,3.722,1
0.00237,236.0232,-4.038217978,7.803,0
0.00244,255.0974,-4.161984115,5.375,1
0.00244,595.3413,-4.019867884,0.521,0
0.00254,121.0647,-4.135149623,3.848,1
0.00254,167.0461,-3.994418667,5.457,0
0.00257,139.0398,3.987884141,0.519,0
0.00264,531.0967,3.970264154,3.961,0
0.00274,325.0944,-3.948424314,5.667,0
0.00295,286.20173,-4.035445572,0.511,1
0.00298,313.0919,3.895896818,5.697,0
0.00305,287.0519,-3.882670741,6.124,0
0.00322,259.0568,-3.849405563,7.075,0
0.00336,217.0575,-3.82182684,5.682,0
0.00353,217.1548,-3.916129826,5.348,1
0.00354,201.1356,-3.789853168,7.005,0
0.00381,595.3943,-3.865753651,0.51,1
0.00382,167.0727,3.864946255,0.556,1
0.00406,288.1598,-3.824176701,0.546,1
0.00426,146.1176,-3.793196696,5.061,1
0.00427,141.0661,-3.791238669,5.379,1
0.00443,146.11762,-3.76732808,5.027,1
0.00449,221.1607,-3.758999294,4.761,1
0.00454,288.2166,-3.752666321,0.952,1
0.0046,208.0968,3.743825811,0.848,1
0.00464,135.0299,-3.626117115,6.065,0
0.00476,168.078,-3.610628791,7.818,0
0.00484,319.1647,-3.710179809,0.799,1
0.00492,154.9986,-3.591281471,7.909,0
0.00504,248.0955,3.576226175,0.541,0
0.0051,147.0474,-3.677091135,4.904,1
0.00519,230.1247,-3.665008441,5.055,1
0.00535,300.127,-3.540881286,0.553,0
0.00544,369.1547,-3.53068235,0.523,0
0.00563,452.1919,-3.510031089,4.102,0
0.00566,528.263,-3.506635191,4.027,0
0.00568,347.0747,-3.505026183,6.014,0
0.00571,288.216,-3.604636621,0.509,1
0.00598,591.3172,3.473962923,0.523,0
0.00608,143.0816,-3.564336375,5.378,1
0.00622,262.1284,-3.550040072,5.3,1
0.00625,369.1208,-3.447382594,5.681,0
0.00634,284.0796,3.537635238,7.959,1
0.00654,258.1102,-3.517172568,6.605,1
0.00656,337.0561,3.418473274,4.657,0
0.00672,215.0731,-3.404511924,0.557,0
0.00685,152.0354,3.393438685,1.011,0
0.00695,356.2428,-3.479152966,0.932,1
0.00702,307.044,-3.472836717,4.081,1
0.00708,226.082,-3.467433356,3.788,1
0.00726,286.2374,-3.450910331,0.512,1
0.00727,144.102,-3.450185598,5.362,1
0.00737,119.0352,-3.349434358,5.013,0
0.00743,197.0541,-3.344875987,1.058,0
0.00745,304.158,-3.343192179,0.542,0
0.00761,319.1651,-3.421448199,2.866,1
0.00767,449.1074,3.416659099,3.962,1
0.00768,383.1703,3.325500001,0.521,0
0.00772,302.1426,-3.322398283,0.553,0
0.00781,244.1655,-3.404735841,7.349,1
0.00785,264.0545,-3.311858506,5.686,0
0.00797,146.0925,-3.392113692,2.629,1
0.00797,365.1096,-3.303498366,4.1,0
0.00834,139.0069,-3.276324955,4.58,0
0.00837,294.1347,-3.274104263,0.513,0
0.00838,447.0927,3.273381406,4.077,0
0.00844,128.0819,-3.356189496,2.693,1
0.00845,206.082,3.268915915,0.895,0
0.00858,210.0882,-3.259369234,5.677,0
0.00868,239.1389,-3.338592794,6.704,1
0.00878,339.065,-3.245851857,3.661,0
0.009,365.1351,-3.231563986,6.514,0
0.00906,432.1425,-3.227586754,4.299,0
0.00934,360.1841,-3.209337447,0.558,0
0.00946,349.1248,-3.201938619,5.438,0
0.00952,287.0951,3.198011589,0.56,0
0.00956,358.1317,-3.277709865,0.569,1
0.00958,240.9658,3.194699939,1.039,0
0.00962,302.1959,-3.273881698,1.349,1
0.00963,450.1766,-3.191536225,4.114,0
