m.z,r.t.,p.value,t.score,mode
245.0126,3.391,0.0732,-2.001746385,negative
262.1032,7.903,0.0736,-2.024020673,positive
313.0582,4.803,0.074,2.021076065,positive
541.2644,4.221,0.0741,-1.994366494,negative
448.1367,5.06,0.0742,2.019749004,positive
452.1913,0.564,0.0744,-2.017882644,positive
307.0113,7.777,0.0747,-1.989297564,negative
302.2328,0.854,0.0749,-2.013399109,positive
142.0863,0.641,0.075,-2.012847139,positive
297.0995,3.753,0.0751,-1.986526542,negative
316.2116,1.398,0.0752,-2.010858094,positive
493.244,3.392,0.0755,-1.98284977,negative
211.0612,0.531,0.0757,1.981160506,negative
389.0906,0.595,0.0757,-1.981164725,negative
551.281,1.972,0.0758,2.006086349,positive
317.0854,3.496,0.0761,-1.978269736,negative
348.1473,0.523,0.0762,-1.97724684,negative
279.089,3.497,0.0763,-1.976850786,negative
170.122,7.798,0.0765,-2.000530951,positive
245.0744,5.671,0.0772,-1.994633412,positive
197.0677,1.123,0.0774,-1.968180781,negative
245.0777,3.343,0.0775,-1.967321577,negative
346.1323,0.513,0.0775,-1.967000321,negative
302.1962,1.924,0.078,-1.9880271,positive
274.0389,3.005,0.0781,-1.962909969,negative
479.228,0.527,0.0783,-1.961107099,negative
267.1097,6.145,0.0785,-1.959174763,negative
262.9864,7.93,0.0788,-1.95690652,negative
466.2075,3.673,0.0789,-1.956119915,negative
261.1808,4.525,0.079,1.980702071,positive
518.2381,5.002,0.0793,1.977769141,positive
224.0233,6.057,0.0798,-1.949771977,negative
541.2642,0.585,0.0802,-1.946550439,negative
312.1266,0.909,0.0803,-1.945466359,negative
247.0923,5.625,0.0809,-1.965705214,positive
365.1741,6.723,0.0809,-1.965778559,positive
249.0371,5.647,0.0812,1.96315908,positive
211.0612,1.538,0.0819,1.933634131,negative
245.0783,2.502,0.082,-1.933484781,negative
131.118,4.745,0.0821,-1.956160297,positive
432.2019,0.535,0.0826,1.952717967,positive
267.1102,4.521,0.0827,-1.951930349,positive
248.0957,0.606,0.083,-1.925611938,negative
188.176,8.261,0.0833,-1.947811636,positive
351.0566,8.859,0.0833,-1.92356212,negative
674.2293,1.21,0.0835,-1.922351273,negative
144.1021,3.801,0.0841,1.941385846,positive
230.1863,4.368,0.0842,-1.940711877,positive
465.3011,0.522,0.0846,1.914016912,negative
441.2119,0.517,0.0848,-1.912950439,negative
262.1644,0.838,0.0849,-1.935407658,positive
1058.0265,1.11,0.085,1.911581496,negative
399.1654,4.031,0.0851,1.910664955,negative
173.092,5.448,0.0854,-1.931891526,positive
374.1159,2.313,0.0855,-1.908169103,negative
320.1516,0.52,0.0856,-1.907096864,negative
239.0036,5.67,0.0859,1.905099663,negative
153.0919,0.843,0.086,-1.90470221,negative
259.9865,3.126,0.0863,-1.902472828,negative
342.1728,0.923,0.0866,-1.923391327,positive
197.0454,3.508,0.0866,-1.900488261,negative
411.1101,4.192,0.0868,-1.898843111,negative
204.0665,1.41,0.087,1.897266165,negative
306.1713,0.517,0.0875,1.916661215,positive
715.3355,0.55,0.0875,1.893700896,negative
195.0655,0.844,0.0878,1.891864114,negative
234.9916,4.916,0.088,-1.890639553,negative
781.4186,0.521,0.0883,1.888148881,negative
267.1104,4.411,0.0886,-1.909366761,positive
283.1399,7.299,0.0886,-1.908867348,positive
253.1078,0.791,0.0888,1.884717958,negative
431.2275,0.521,0.0888,-1.884817922,negative
208.0645,3.726,0.0891,-1.882682366,negative
161.0455,3.524,0.0893,-1.881389251,negative
595.1274,3.509,0.0901,-1.876277348,negative
588.2277,3.841,0.0902,1.898003501,positive
153.0193,1.076,0.0904,-1.874265102,negative
469.3014,4.532,0.0905,-1.895476005,positive
608.1467,1.783,0.0905,-1.87372035,negative
182.0457,0.856,0.0906,-1.872640387,negative
299.126,3.683,0.0912,-1.890623182,positive
171.0774,5.47,0.0915,-1.866450537,negative
87.0451,2.052,0.0915,-1.866959591,negative
300.217,0.93,0.0916,-1.888180628,positive
303.9888,4.817,0.0916,-1.865905509,negative
201.1243,5.193,0.092,-1.863370054,negative
363.1162,9.13,0.0921,-1.884559006,positive
442.19,0.568,0.0923,-1.861251811,negative
484.2336,3.666,0.0925,1.881878632,positive
535.2183,3.646,0.0931,-1.855936416,negative
204.1231,0.528,0.0932,-1.87733559,positive
242.9966,3.467,0.0934,-1.854346823,negative
215.0923,0.897,0.0935,-1.853555056,negative
269.1382,0.482,0.0937,-1.873846298,positive
171.041,7.771,0.0937,-1.85209883,negative
207.1049,0.834,0.0939,-1.872757394,positive
293.1046,3.527,0.0939,-1.850750725,negative
325.0388,3.005,0.0947,-1.845493923,negative
261.0484,5.649,0.0948,-1.866983233,positive
151.0615,1.336,0.0951,-1.864791621,positive
199.096,3.252,0.0952,1.864186164,positive
204.0665,1.375,0.0952,1.842820247,negative
528.2625,0.58,0.0954,-1.841028272,negative
303.1914,5.064,0.0955,1.861885958,positive
116.1073,1.209,0.0957,-1.860700287,positive
327.1515,4.429,0.0957,1.860893917,positive
333.0995,3.49,0.0957,-1.839488771,negative
189.1234,6.353,0.0959,-1.859625777,positive
745.4246,0.839,0.0959,1.859515662,positive
421.142,3.433,0.0959,-1.838295335,negative
182.0808,5.647,0.096,1.858902395,positive
470.0971,4.357,0.0962,1.857733532,positive
356.2792,0.463,0.0963,1.856613206,positive
157.0367,4.662,0.0965,1.834159709,negative
330.1905,3.683,0.0967,-1.854057237,positive
422.2002,3.807,0.0971,-1.851420262,positive
263.0088,4.073,0.0973,-1.829319179,negative
288.1956,0.873,0.0974,1.849646488,positive
241.1295,7.948,0.0982,-1.844358233,positive
466.2051,3.697,0.0983,-1.84407781,positive
276.1362,0.536,0.0984,1.843407735,positive
313.238,0.496,0.0985,-1.821917351,negative
417.2121,0.519,0.0986,-1.821311786,negative
331.161,1.03,0.0988,-1.819753729,negative
336.0668,3.29,0.0989,-1.819331563,negative
459.2227,0.523,0.0989,-1.81916097,negative
758.3187,6.536,0.0991,-1.839078953,positive
377.1809,0.526,0.0991,-1.818205051,negative
699.3031,3.917,0.0992,1.817494623,negative
178.0444,1.022,0.0997,1.814601377,negative
256.0926,7.215,0.0998,-1.834628983,positive
457.3017,4.509,0.1,-1.833209612,positive
203.1513,6.974,0.101,-1.829298189,positive
245.1502,0.513,0.101,-1.826313222,positive
272.1603,7.087,0.101,-1.828040591,positive
332.2422,0.515,0.101,-1.827037979,positive
167.0559,3.69,0.101,-1.803800851,negative
599.1786,4.035,0.101,1.804447291,negative
281.1493,4.837,0.102,1.819445347,positive
303.1672,0.526,0.102,1.821265487,positive
328.2115,0.513,0.102,-1.821894225,positive
395.115,3.303,0.102,-1.802216052,negative
429.2122,0.521,0.102,-1.799096745,negative
448.1967,5.689,0.102,1.797857717,negative
229.086,4.099,0.103,-1.816458909,positive
265.119,3.255,0.103,-1.814587504,positive
297.1228,3.628,0.103,-1.811673861,positive
311.1494,0.538,0.103,1.813439107,positive
262.1032,7.992,0.104,-1.805536988,positive
197.068,3.613,0.104,-1.791130109,negative
319.0839,3.477,0.104,-1.788401065,negative
435.1575,3.434,0.104,-1.788712276,negative
471.0854,1.877,0.105,1.805151906,positive
263.0226,2.25,0.105,1.785050915,negative
567.3144,0.527,0.105,-1.783539029,negative
202.1438,0.819,0.106,-1.796959808,positive
217.1547,7.121,0.106,-1.798602533,positive
458.2017,4.076,0.106,-1.795700934,positive
197.0679,3.663,0.106,-1.774676089,negative
595.3479,0.782,0.107,1.79054568,positive
446.037,3.778,0.107,-1.773734576,negative
521.2423,2.361,0.107,-1.768135107,negative
245.1607,5.031,0.108,-1.783515813,positive
245.0123,0.574,0.108,-1.766875167,negative
371.0979,5.681,0.108,1.767731717,negative
126.1027,5.435,0.109,-1.776062328,positive
244.1782,1.066,0.109,1.77610221,positive
245.0224,3.395,0.109,-1.761416613,negative
264.1167,3.376,0.109,-1.759995756,negative
345.1675,3.926,0.109,1.760600457,negative
447.2226,0.525,0.109,-1.76164697,negative
184.108,7.646,0.11,-1.771518527,positive
259.0924,6.027,0.11,1.77106899,positive
153.0047,1.043,0.11,-1.752546479,negative
447.1389,3.421,0.11,-1.753566323,negative
189.1346,3.204,0.111,-1.766357871,positive
219.0266,5.653,0.111,1.768016137,positive
304.1747,0.518,0.111,1.768202709,positive
312.2168,0.956,0.111,1.768195291,positive
352.2217,1.004,0.112,-1.763451476,positive
218.067,1.023,0.112,1.740595319,negative
209.1172,0.959,0.113,-1.755850852,positive
229.0864,0.532,0.113,1.754766023,positive
282.12,4.907,0.113,-1.754673336,positive
263.1129,0.556,0.113,-1.737867365,negative
341.1043,3.624,0.113,-1.739382642,negative
274.2014,1.11,0.114,-1.750264751,positive
975.5183,0.838,0.114,1.75027617,positive
304.1218,0.512,0.114,-1.732291556,negative
321.01,2.453,0.114,1.731371001,negative
332.152,0.513,0.114,-1.731998111,negative
337.0387,0.585,0.114,1.73365117,negative
385.0755,3.251,0.114,-1.729258921,negative
165.042,0.562,0.115,-1.728932952,negative
321.0996,3.48,0.115,-1.725965121,negative
934.2803,8.066,0.115,-1.725228634,negative
110.0601,2.847,0.116,-1.739436499,positive
163.123,2.886,0.116,1.738550483,positive
181.0609,1.423,0.116,-1.740281608,positive
190.1186,6.676,0.116,-1.740681023,positive
296.149,3.657,0.116,-1.736576572,positive
397.2555,4.466,0.116,-1.740480923,positive
259.1067,0.982,0.116,-1.718747466,negative
325.1689,1.04,0.116,-1.722126907,negative
116.1072,2.001,0.117,-1.733573722,positive
242.077,7.275,0.117,-1.733223306,positive
318.1769,7.436,0.117,-1.734977656,positive
275.0746,3.503,0.117,-1.717980458,negative
405.106,1.028,0.117,-1.71509778,negative
100.0757,0.957,0.118,-1.727671885,positive
327.0325,4.016,0.118,-1.708740944,negative
495.2953,0.521,0.118,-1.710719917,negative
509.2749,0.528,0.118,-1.708991672,negative
358.2586,0.903,0.119,-1.720423713,positive
407.0272,8.433,0.119,-1.704684644,negative
443.2277,0.518,0.119,-1.707222133,negative
180.0656,0.532,0.12,1.718431821,positive
249.1815,3.858,0.12,1.715327572,positive
195.0521,2.398,0.12,-1.699512857,negative
203.0109,1.347,0.12,-1.699045087,negative
203.0347,2.437,0.12,-1.69797566,negative
357.1184,4.427,0.12,1.702294992,negative
188.184,8.262,0.121,-1.712526578,positive
271.1036,7.939,0.121,1.712922381,positive
293.0895,4.725,0.121,1.711316684,positive
128.0354,5.186,0.121,-1.696244712,negative
193.0352,7.568,0.121,1.692157365,negative
200.9866,1.058,0.121,-1.697125105,negative
225.0073,8.167,0.121,-1.694685088,negative
289.0381,3.994,0.121,-1.695965562,negative
353.0557,1.293,0.121,-1.696746807,negative
463.2329,0.521,0.121,-1.692475052,negative
167.0564,0.555,0.122,-1.707605208,positive
260.1969,7.609,0.122,-1.707836882,positive
258.1084,4.933,0.123,-1.703165818,positive
527.2131,0.53,0.123,-1.685827028,negative
225.112,0.839,0.124,-1.696765716,positive
344.1689,5.609,0.124,-1.695627104,positive
425.0401,3.52,0.124,-1.677445609,negative
169.0495,0.477,0.125,-1.692962073,positive
339.1545,7.985,0.125,1.691930045,positive
350.1596,1.276,0.125,-1.693910423,positive
309.0078,2.406,0.125,-1.67477186,negative
401.0691,5.126,0.125,-1.675995601,negative
460.1098,1.553,0.125,-1.675792114,negative
120.0658,1.662,0.126,1.68854937,positive
351.1583,6.884,0.126,-1.684506068,positive
288.1198,6.673,0.126,-1.670232983,negative
361.1209,3.29,0.126,-1.67007149,negative
396.1292,0.558,0.126,-1.668064924,negative
148.0968,5.031,0.127,1.683759798,positive
173.0567,5.365,0.127,-1.662210052,negative
231.1236,0.974,0.127,-1.66414628,negative
379.0685,6.344,0.127,-1.666042328,negative
134.06,3.798,0.128,-1.677166076,positive
309.0229,5.542,0.128,-1.658841506,negative
243.1339,2.784,0.129,-1.67116375,positive
551.2954,5.441,0.13,1.665889673,positive
241.1078,0.86,0.13,-1.650929733,negative
275.0538,5.698,0.13,-1.649499682,negative
293.0489,5.557,0.13,-1.649878221,negative
359.0981,5.715,0.13,1.648318361,negative
521.2193,2.309,0.13,-1.649875808,negative
563.2176,0.558,0.13,-1.649776327,negative
157.0608,6.057,0.131,1.660315691,positive
398.1458,3.806,0.131,-1.659820422,positive
154.0703,7.686,0.131,-1.642776218,negative
162.0229,4.073,0.131,-1.646777363,negative
341.0875,4.696,0.131,-1.644199114,negative
381.137,0.563,0.131,-1.647332509,negative
443.1009,0.567,0.131,-1.646613214,negative
445.1986,3.327,0.131,-1.645492032,negative
577.1969,0.559,0.131,-1.643106296,negative
468.2219,3.666,0.132,-1.656917668,positive
387.1655,3.016,0.132,-1.641619158,negative
405.1196,0.54,0.132,-1.641692567,negative
425.0374,8.429,0.132,-1.638265645,negative
501.1778,3.92,0.132,1.639558811,negative
751.2991,3.904,0.132,1.638547108,negative
208.1,7.499,0.133,-1.652789753,positive
359.1707,0.969,0.133,-1.63370839,negative
381.1368,3.661,0.133,-1.636437159,negative
298.0421,4.091,0.134,-1.629944794,negative
399.1654,0.559,0.134,1.63182709,negative
328.248,0.503,0.135,-1.644338858,positive
293.0874,5.69,0.135,-1.623899454,negative
431.1156,2.347,0.135,1.625420731,negative
561.0808,3.926,0.135,-1.625345395,negative
591.3171,0.528,0.136,1.638602728,positive
761.4182,0.857,0.136,1.635039728,positive
721.3514,1.034,0.137,1.633945428,positive
274.9977,8,0.137,-1.616341566,negative
499.2904,0.518,0.137,-1.615848121,negative
299.0769,4.876,0.138,-1.61025017,negative
307.0282,0.753,0.138,-1.611578273,negative
229.0023,1.031,0.14,1.603747428,negative
261.037,0.533,0.14,-1.603338774,negative
269.161,0.525,0.14,-1.604355943,negative
285.0591,5.672,0.14,-1.602847202,negative
381.0996,3.658,0.14,-1.603739366,negative
141.066,5.082,0.141,-1.615603005,positive
527.2595,4.101,0.141,-1.615477057,positive
279.0528,5.579,0.141,-1.600106966,negative
227.1138,8.055,0.142,-1.608185442,positive
345.1184,3.328,0.142,-1.59627525,negative
189.1607,7.584,0.143,-1.605874507,positive
347.0769,3.657,0.143,-1.587904735,negative
450.1578,7.375,0.144,-1.601278948,positive
225.0991,8.076,0.144,-1.585465391,negative
252.9652,3.796,0.144,1.584192106,negative
404.1085,0.533,0.144,-1.584414605,negative
461.2383,0.521,0.144,-1.585417268,negative
723.3398,0.537,0.144,1.585613277,negative
404.014,5.467,0.145,1.59364285,positive
158.0822,0.968,0.145,-1.57945963,negative
165.0418,1.302,0.145,-1.582635624,negative
289.0578,2.417,0.145,-1.579779002,negative
356.1531,0.526,0.145,-1.58057549,negative
521.2429,2.397,0.145,-1.580837451,negative
261.1807,4.595,0.146,1.591570402,positive
487.213,9.393,0.146,-1.592530789,positive
361.1499,3.707,0.147,-1.570115704,negative
241.0311,8.284,0.148,-1.581352952,positive
436.155,5.514,0.148,1.582677366,positive
401.0404,3.556,0.148,-1.569331724,negative
539.2491,0.576,0.148,-1.568211486,negative
577.294,1.229,0.149,1.577159425,positive
179.0709,0.842,0.149,1.564785102,negative
213.9815,1.057,0.149,-1.564798267,negative
571.1314,3.55,0.149,-1.562581614,negative
424.163,0.522,0.15,-1.574555313,positive
434.2167,3.263,0.15,1.575317601,positive
343.1392,3.936,0.15,1.560908953,negative
328.0917,5.509,0.151,1.556028336,negative
433.2073,3.667,0.151,-1.553157418,negative
450.2119,3.204,0.152,1.565841755,positive
459.1501,4.308,0.152,-1.552114509,negative
469.2257,0.564,0.152,-1.548931681,negative
568.1634,6.556,0.153,-1.559072469,positive
124.9916,5.153,0.153,-1.545850992,negative
248.0959,3.144,0.153,-1.54612591,negative
345.1552,0.548,0.153,1.545053521,negative
395.0644,1.738,0.153,1.546952826,negative
429.1759,0.524,0.153,-1.546649272,negative
212.1032,5.558,0.154,-1.557309155,positive
154.0256,0.927,0.154,-1.540611493,negative
220.0825,5.686,0.154,-1.542553742,negative
230.9966,2.338,0.154,1.543880779,negative
251.094,3.644,0.154,-1.541539693,negative
204.1333,0.552,0.155,-1.55028617,positive
508.2802,2.422,0.155,1.552028045,positive
331.0999,3.452,0.155,-1.537260751,negative
546.3042,0.52,0.155,1.538626305,negative
703.0841,8.109,0.155,-1.538829044,negative
412.1129,7.998,0.156,-1.548800505,positive
218.9968,3.319,0.156,-1.533004279,negative
318.1351,0.512,0.157,1.544864655,positive
365.2431,2.954,0.157,1.542462988,positive
243.1235,0.839,0.157,-1.531787994,negative
289.0524,2.13,0.157,-1.530439007,negative
439.1605,4.114,0.157,-1.531847947,negative
272.2,0.839,0.158,1.541478886,positive
246.9915,4.253,0.158,-1.526544427,negative
263.0885,1.035,0.158,-1.527892897,negative
457.0539,3.795,0.158,-1.525159464,negative
624.1416,1.761,0.158,-1.524507473,negative
204.9961,2.078,0.159,1.522029061,negative
219.0069,3.319,0.159,-1.523725711,negative
397.186,0.518,0.159,1.521212549,negative
545.1254,2.429,0.159,1.523874003,negative
274.1827,0.517,0.16,-1.531609048,positive
311.0568,3.442,0.16,1.516971668,negative
370.0962,2.969,0.16,-1.519382362,negative
269.1488,0.515,0.161,-1.526267765,positive
290.1597,5.587,0.161,-1.528464305,positive
325.1527,4.364,0.161,1.526314331,positive
379.1601,0.575,0.161,-1.513332889,negative
138.0624,4.733,0.162,1.523609818,positive
282.1923,4.853,0.162,-1.523447195,positive
149.0455,5.396,0.162,-1.511257548,negative
295.0276,3.194,0.162,-1.507985326,negative
137.071,3.801,0.163,-1.518983646,positive
214.1185,6.612,0.163,-1.520997231,positive
261.1081,6.704,0.163,-1.520166646,positive
479.1308,4.053,0.163,-1.518064358,positive
648.2457,3.965,0.163,1.519489006,positive
261.1444,6.658,0.164,-1.515227876,positive
279.6859,6.11,0.164,-1.516020265,positive
540.4236,0.454,0.164,1.51641566,positive
215.1035,5.773,0.164,1.50168487,negative
229.0174,0.829,0.164,1.502422824,negative
325.0364,3.989,0.164,-1.501041624,negative
243.1347,2.554,0.165,-1.497236827,negative
345.1552,3.921,0.165,1.498484672,negative
357.1666,0.506,0.166,-1.506647476,positive
418.2036,4.031,0.166,-1.507757624,positive
216.0988,5.731,0.166,1.494468446,negative
231.0488,3.479,0.166,-1.494187822,negative
302.1058,0.512,0.166,-1.493387263,negative
363.0285,3.439,0.166,-1.493066564,negative
369.0995,3.487,0.166,-1.492638897,negative
432.2026,5.454,0.166,1.493931661,negative
513.2693,0.525,0.166,-1.492251681,negative
203.0022,2.044,0.167,1.48880033,negative
593.1674,1.005,0.167,1.491698084,negative
163.1229,8.006,0.168,1.500564299,positive
325.1604,9.129,0.168,-1.498208968,positive
338.0821,3.245,0.168,1.50130195,positive
364.196,3.866,0.168,1.499394269,positive
553.3887,0.421,0.168,1.499997893,positive
483.1768,1.731,0.168,-1.484886074,negative
551.1172,4.021,0.168,-1.487794217,negative
787.4343,0.839,0.169,1.496324426,positive
263.1036,1.088,0.169,-1.482536303,negative
311.1504,0.977,0.169,-1.48157731,negative
255.0466,7.917,0.17,-1.490699568,positive
685.2828,0.974,0.17,1.491845877,positive
364.0955,3.54,0.17,-1.479072022,negative
434.2183,5.437,0.171,1.487829174,positive
197.0905,0.843,0.171,-1.474584526,negative
305.1599,0.516,0.171,-1.475044411,negative
405.1761,0.547,0.171,-1.474185523,negative
511.1599,2.441,0.171,1.473181438,negative
146.0812,0.629,0.172,1.48371343,positive
159.0764,6.269,0.172,-1.483285647,positive
263.0519,0.516,0.172,-1.482108603,positive
263.16,8.312,0.172,-1.485626321,positive
444.222,3.766,0.172,1.482504708,positive
719.3758,1.264,0.172,1.485010435,positive
232.0284,4.836,0.172,-1.471098827,negative
326.1102,4.91,0.172,-1.471630497,negative
385.0454,3.618,0.172,-1.470969257,negative
156.0772,7.669,0.173,-1.480806415,positive
179.1178,3.527,0.173,1.479625947,positive
350.1607,0.52,0.173,-1.478714483,positive
629.3141,0.508,0.173,-1.479686878,positive
629.3142,0.507,0.173,-1.479686878,positive
233.1495,8.034,0.174,-1.478078386,positive
731.4085,1.051,0.174,1.476522687,positive
368.0985,4.469,0.174,-1.465446711,negative
457.0951,5.947,0.174,1.464223446,negative
147.0298,5.173,0.175,-1.458694462,negative
257.1391,0.808,0.175,-1.460042432,negative
436.1596,3.955,0.176,-1.467855903,positive
327.0724,2.431,0.176,-1.454488299,negative
325.188,0.522,0.177,-1.464771978,positive
191.02,7.722,0.177,-1.450835678,negative
225.113,0.808,0.177,-1.451254991,negative
289.1652,1.004,0.177,-1.452302657,negative
188.1281,0.812,0.178,-1.462830612,positive
742.327,6.508,0.178,1.462241255,positive
287.1496,0.972,0.178,-1.447677851,negative
255.145,7.9,0.179,-1.456285077,positive
293.0833,2.178,0.179,-1.444744104,negative
246.1701,0.513,0.18,-1.453009191,positive
398.1461,0.547,0.18,-1.453248119,positive
263.0951,3.642,0.18,-1.442902311,negative
445.1864,2.457,0.18,-1.443014988,negative
526.2471,3.744,0.18,-1.441175264,negative
645.4286,1.239,0.181,1.448418307,positive
215.1035,3.532,0.181,-1.438312108,negative
279.0529,5.648,0.181,-1.436874046,negative
282.0471,0.951,0.181,-1.437698412,negative
285.0436,0.548,0.181,1.438104329,negative
509.238,0.522,0.181,-1.43725653,negative
619.102,3.571,0.181,1.437815633,negative
622.1488,5.921,0.181,1.436940004,negative
287.1968,4.478,0.182,1.445451987,positive
335.1864,0.5,0.182,-1.435271808,negative
415.0559,3.701,0.182,-1.432801964,negative
478.1202,1.551,0.182,-1.435289265,negative
307.1868,5.097,0.183,1.444006423,positive
354.1117,1.059,0.183,1.440992024,positive
399.1441,8.024,0.183,-1.442737959,positive
535.2833,1.542,0.183,1.442863424,positive
230.0128,1.11,0.183,-1.430350902,negative
265.1324,1.023,0.183,1.429988398,negative
335.095,0.782,0.183,-1.430881343,negative
508.0596,3.862,0.183,-1.42947123,negative
533.167,4.705,0.183,1.430889735,negative
199.0825,3.657,0.184,-1.440117982,positive
230.9901,5.64,0.184,1.437259289,positive
433.1123,4.289,0.184,-1.439921861,positive
272.992,1.032,0.184,-1.425536471,negative
515.2843,0.519,0.184,-1.428625023,negative
434.1513,3.94,0.185,1.435113981,positive
241.9764,3.249,0.185,1.422565173,negative
467.1357,3.676,0.185,-1.425095332,negative
259.1399,7.449,0.186,1.43277672,positive
225.0735,1.131,0.186,-1.420565694,negative
247.0623,3.484,0.186,-1.420102351,negative
336.0667,0.577,0.186,-1.419541095,negative
381.0129,8.686,0.186,-1.419389888,negative
615.3123,0.522,0.186,-1.419087573,negative
307.161,8.376,0.187,-1.427049833,positive
426.1944,0.561,0.187,-1.428051058,positive
295.1203,3.636,0.187,-1.418080349,negative
127.0502,5.493,0.188,-1.423171184,positive
489.2349,0.534,0.188,-1.412410969,negative
391.1601,0.524,0.189,-1.420206463,positive
165.0046,1.023,0.189,-1.408945841,negative
273.1703,0.849,0.189,-1.410998814,negative
218.1498,8.373,0.19,-1.418087945,positive
262.0837,4.292,0.19,-1.416528909,positive
580.3266,0.51,0.19,1.418767428,positive
300.1077,6.514,0.191,-1.41497426,positive
419.2207,1.213,0.191,-1.413000341,positive
449.304,1.78,0.191,1.414868788,positive
307.0839,5.094,0.191,-1.403911037,negative
369.0507,1.9,0.191,-1.401761621,negative
288.6192,4.946,0.192,-1.398061724,negative
359.134,0.536,0.192,-1.397509516,negative
431.098,4.31,0.192,-1.39915007,negative
444.9665,2.007,0.192,1.398584113,negative
305.1047,3.486,0.193,-1.396574475,negative
395.0427,2.519,0.193,1.396185646,negative
509.039,6.64,0.193,-1.395106509,negative
217.1384,6.201,0.194,-1.405075798,positive
353.1342,6.675,0.194,1.402389064,positive
363.0179,2.025,0.194,-1.392766838,negative
323.2063,0.497,0.195,-1.39915422,positive
259.1292,0.516,0.195,-1.387471015,negative
424.0564,3.444,0.195,-1.387543238,negative
425.1117,3.872,0.195,1.390578559,negative
385.1256,3.911,0.196,1.395820535,positive
146.0813,1.149,0.198,1.389334175,positive
193.1319,7.203,0.198,-1.389967987,positive
145.0142,5.656,0.198,1.380300846,negative
359.0581,3.057,0.198,1.377590322,negative
365.0183,8.227,0.198,-1.37771607,negative
424.1437,0.564,0.198,-1.377776132,negative
345.1653,4.623,0.199,-1.385060953,positive
366.1123,0.548,0.199,-1.385860002,positive
293.0332,3.975,0.199,1.375367528,negative
309.0994,3.647,0.2,-1.372517311,negative
321.0996,4.109,0.2,-1.372930208,negative
345.1404,1.027,0.2,1.371049448,negative
399.1655,3.938,0.2,1.372892761,negative
448.3055,0.515,0.2,1.372708314,negative
367.212,0.875,0.201,-1.36999745,negative
646.2164,3.785,0.201,-1.369977754,negative
149.1073,1.011,0.202,-1.375630898,positive
378.1775,3.286,0.202,-1.375736243,positive
195.0516,0.562,0.202,-1.36523403,negative
285.134,0.984,0.202,-1.365819886,negative
445.2433,0.517,0.202,-1.365459403,negative
581.2273,0.569,0.202,-1.366460908,negative
349.0866,5.512,0.203,-1.372525988,positive
342.1008,0.561,0.203,-1.363756285,negative
73.0294,0.881,0.203,1.362118254,negative
357.142,5.129,0.204,1.369033594,positive
461.1289,0.544,0.204,-1.35806441,negative
144.1028,4.464,0.205,1.366275906,positive
188.1155,8.031,0.205,-1.366951499,positive
262.1396,7.95,0.205,1.367325568,positive
485.1367,8.132,0.205,-1.367034822,positive
159.0663,0.926,0.205,-1.354832483,negative
215.1035,3.639,0.205,-1.355875086,negative
335.1151,3.621,0.205,-1.355348039,negative
145.0618,3.339,0.206,-1.352569935,negative
289.0383,0.566,0.206,-1.352570255,negative
325.0719,2.459,0.206,1.352324018,negative
418.0986,3.628,0.206,-1.352975187,negative
162.1205,5.226,0.207,-1.35872588,positive
272.0764,5.633,0.207,-1.359858633,positive
217.9843,3.941,0.207,1.350616528,negative
304.189,4.071,0.208,-1.356675361,positive
217.0161,7.826,0.208,-1.344894394,negative
456.1024,3.284,0.208,1.347268339,negative
536.1007,3.693,0.208,1.34520917,negative
621.1088,7.531,0.208,-1.3471864,negative
289.1504,7.992,0.209,-1.353738375,positive
311.0952,0.55,0.209,-1.344236588,negative
600.2839,3.862,0.209,-1.342188931,negative
159.1571,7.853,0.21,1.349457198,positive
189.1232,6.685,0.21,-1.348940801,positive
258.1831,1.076,0.21,1.351482951,positive
229.1441,0.51,0.21,1.339566235,negative
409.2232,0.514,0.21,-1.339969124,negative
531.0208,5.949,0.21,-1.339056962,negative
314.1594,5.081,0.211,-1.345323579,positive
112.0517,3.504,0.211,-1.336492086,negative
187.0416,2.303,0.211,-1.33783049,negative
379.1403,0.524,0.211,1.335575284,negative
495.2227,4.533,0.211,-1.336989372,negative
174.1237,3.273,0.212,1.342085476,positive
209.0968,8.083,0.212,-1.344432959,positive
281.1496,3.679,0.212,1.343426727,positive
325.0911,5.475,0.212,-1.344192909,positive
363.0752,3.254,0.212,-1.334542055,negative
413.163,0.565,0.212,-1.33351242,negative
450.2125,5.721,0.213,1.341768001,positive
167.0563,1.285,0.214,-1.337937953,positive
434.135,1.937,0.214,1.336163881,positive
154.0623,7.684,0.214,-1.327815633,negative
345.155,0.983,0.214,1.326808643,negative
377.1447,5.659,0.214,1.326096046,negative
153.1273,3.887,0.215,1.333094507,positive
204.1347,1.095,0.215,-1.334930295,positive
352.156,3.697,0.215,1.334013028,positive
486.1965,6.502,0.215,1.333195561,positive
259.0281,3.133,0.215,-1.323776167,negative
337.0384,3.521,0.215,-1.325009541,negative
431.1163,0.545,0.215,1.323351328,negative
330.2274,1.901,0.216,-1.332159947,positive
293.0831,2.201,0.216,-1.322327661,negative
379.1604,4.758,0.216,-1.319464488,negative
545.1677,3.916,0.216,1.321490425,negative
606.0945,3.81,0.216,1.320176272,negative
308.176,1.079,0.217,1.326206846,positive
410.1448,4.176,0.217,-1.327234312,positive
346.2332,4.588,0.218,-1.32538515,positive
456.0272,1.988,0.218,-1.316047916,negative
