m.z,r.t.,p.value,t.score,mode
533.1882,3.463,0.0239,-2.659104678,negative
353.1236,1.057,0.024,2.6582948,negative
217.108,1.172,0.0245,-2.646378678,negative
317.0446,2.457,0.0246,-2.644089466,negative
185.0819,0.862,0.0251,-2.632330508,negative
394.1352,5.7,0.0251,-2.632410401,negative
545.1681,0.551,0.0251,2.632162614,negative
485.1658,0.539,0.0253,-2.625667815,negative
333.0245,8.134,0.0256,-2.621048746,negative
304.2115,0.514,0.0257,-2.66853447,positive
319.1974,4.634,0.0259,-2.663390578,positive
230.103,0.515,0.0259,-2.61332425,negative
443.1553,0.527,0.0259,-2.613471329,negative
262.1648,4.112,0.026,-2.661091441,positive
182.0811,5.07,0.0263,2.653599443,positive
309.0633,6.215,0.0263,-2.604190687,negative
315.0831,3.586,0.0263,-2.605056878,negative
713.3193,0.549,0.0266,2.597372567,negative
165.1386,0.836,0.0267,-2.644705754,positive
312.1301,3.316,0.0267,-2.645556822,positive
132.0771,6.113,0.0271,-2.636377524,positive
342.0848,4.055,0.0273,-2.631494509,positive
308.0984,6.982,0.0275,-2.577496143,negative
427.0568,3.396,0.0275,-2.577304161,negative
572.3994,0.467,0.028,-2.61620385,positive
145.0619,6.606,0.028,-2.566739819,negative
221.0422,5.654,0.0282,-2.612127523,positive
350.1261,4.787,0.0282,-2.563490419,negative
170.0932,6.855,0.0283,-2.608883793,positive
249.0785,3.631,0.0283,-2.560583497,negative
239.0341,8.007,0.0284,-2.559250454,negative
183.0514,3.658,0.0286,-2.555580932,negative
343.0528,8.034,0.0286,-2.555349265,negative
521.1088,3.637,0.0287,-2.553224413,negative
269.136,1.005,0.0288,-2.551152912,negative
367.1156,5.688,0.0288,-2.551661272,negative
367.1497,6.488,0.0289,-2.597423259,positive
248.0237,3.389,0.0289,-2.549667697,negative
259.0129,8.077,0.029,-2.547948341,negative
247.1398,7.906,0.0291,2.592072157,positive
301.0518,2.391,0.0291,-2.545810066,negative
389.1811,0.522,0.0291,-2.544484353,negative
403.1968,4.623,0.0291,2.544262328,negative
183.1023,0.506,0.0294,2.538761657,negative
400.1427,0.588,0.0295,-2.537285639,negative
408.206,4.557,0.0296,2.582181132,positive
593.3316,0.527,0.0297,2.580491866,positive
279.0718,6.427,0.03,-2.527685994,negative
201.1131,0.834,0.0305,-2.517716277,negative
278.0704,4.755,0.0305,-2.516937588,negative
319.1392,0.518,0.031,-2.508569484,negative
181.0504,0.995,0.0311,2.505938152,negative
319.0689,4.915,0.0312,-2.550580822,positive
199.1075,0.555,0.0313,-2.548196696,positive
149.0092,7.63,0.0314,-2.501408969,negative
177.0405,5.7,0.0315,-2.499173949,negative
179.1075,0.837,0.0315,-2.499520188,negative
291.089,3.499,0.0315,-2.499265211,negative
235.0569,7.02,0.0318,-2.493046814,negative
327.089,3.578,0.0318,-2.492724875,negative
383.0437,4.326,0.0318,-2.492985101,negative
272.9588,10.091,0.032,-2.490531684,negative
213.0984,6.64,0.0321,-2.533191285,positive
