m/z	rt	p-value	t-score
187.0068	2.535	0.243	1.2417817191544829
187.0416	2.303	0.0445	-2.297022495701558
187.0417	3.489	0.0634	2.0876210225855996
187.0724	5.679	0.776	0.2928592694185121
187.0978	0.824	0.82	-0.2340026238781272
188.0022	2.235	0.271	-1.1646260484793998
188.0022	2.253	0.301	-1.0916352998187282
188.0023	3.128	0.916	-0.10809795804234193
188.0104	1.569	0.279	1.1451763445908298
188.0105	2.248	0.695	-0.4032215587243354
188.0351	4.457	0.276	-1.1531973317134867
188.0563	4.907	0.0544	-2.1778772178551513
188.0927	4.517	0.00269	-3.9600564443165003
188.9861	3.886	0.174	1.4623025913896386
188.9862	4.149	0.0914	1.867450218984714
188.9871	1.745	0.476	0.7404860474728077
188.9948	1.816	0.338	-1.0061236373392797
189.0404	5.148	0.152	1.5525205008515008
189.0405	5.173	0.337	1.0092313718610237
189.0573	2.271	0.00194	-4.163348724859696
189.0928	0.848	0.309	-1.0721446907155667
189.113	0.89	0.452	-0.7825521923554494
190.0509	1.024	0.344	-0.9929820012662955
190.9655	2.079	0.252	1.2155459970828308
190.9655	2.104	7.47e-4	4.778897883741494
190.9746	2.11	0.00101	4.5806030267386815
191.0018	3.051	0.331	1.0223441185116264
191.0018	3.068	0.296	1.1018046479884984
191.0196	0.526	0.756	0.31958751227880244
191.0196	0.953	2.83e-5	-7.22958072120941
191.0196	3.544	0.351	-0.977578772445563
191.0196	3.644	0.185	-1.4249513282448274
191.0198	5.679	0.304	-1.083531486517493
191.0199	8.317	0.529	0.6521504073396445
191.0201	7.804	0.831	0.21929459339573734
191.0284	5.675	0.29	-1.1174089463684769
191.02	7.722	0.404	-0.8709692873462692
191.0539	5.675	0.17	-1.4801512218749822
192.0332	5.667	0.592	-0.5543287385219068
192.0664	0.98	0.788	-0.276203505294897
192.9813	2.941	0.00376	3.753832775940137
193.0352	7.568	0.747	0.33181336380527954
193.0352	7.691	0.238	1.2555373188110046
193.0353	3.249	0.0379	-2.390241414313085
193.0505	0.807	0.521	-0.6644186517770788
194.0307	1.022	0.59	-0.5559550358902836
194.0456	0.519	0.0282	2.5634644722020097
194.0458	0.984	0.647	-0.4719330590361476
194.0458	3.731	0.327	-1.0308384362598544
194.9603	1.573	0.229	1.2816806766950597
194.9968	4.711	0.356	-0.968108989874274
195.0504	1.472	0.7	0.3961001418389836
195.0511	6.805	0.0605	-2.1148846722595156
195.0515	0.84	0.0511	-2.215076073390838
195.0516	0.562	0.752	0.32537748297118013
195.0518	0.563	0.693	-0.4068238397076433
195.0521	2.398	0.813	-0.24265021580652985
195.052	1.912	0.293	-1.10897151495499
195.062	2.383	0.273	-1.1596661166090747
195.0655	0.844	0.239	-1.2527634248435404
196.0283	4.94	0.0239	-2.6608337465463343
196.0726	6.012	0.689	0.41213768419196745
197.0454	3.508	0.0307	-2.5148230863320027
197.0468	2.723	0.0446	-2.29561901415276
197.0541	1.058	0.0466	-2.2697617168841187
197.0675	0.579	0.393	-0.8919152332314101
197.0676	0.781	0.0612	-2.1089234480362533
197.0677	1.123	0.0957	-1.8395952732606808
197.0679	3.663	0.665	-0.4455975603880515
197.068	3.613	0.72	-0.3685968081366225
197.0819	0.842	0.501	-0.6977886537780088
197.0905	0.843	0.0877	-1.8927895364029779
198.1133	0.851	0.0375	-2.396735230881576
198.9916	1.038	0.892	-0.13953090994346784
199.0069	1.086	0.562	0.5992831242109522
199.0974	1.354	0.0567	-2.153811987766679
199.0975	0.822	0.926	-0.09554203380649069
199.1313	0.836	0.154	-1.5419442851592662
200.1291	0.831	0.53	-0.6499739278347634
200.9711	1.033	0.00175	-4.2264667892540455
200.9866	1.058	0.02	-2.763220551963422
201.0078	1.025	2.51e-8	15.527820307164436
201.0516	7.993	0.521	0.6658987851289343
201.1131	0.834	0.621	-0.5098715019745484
201.1243	5.193	0.999	0.0017846904511214037
201.1244	5.676	0.145	1.5805558946951022
201.1356	7.005	0.139	-1.6070765754117304
202.0509	5.224	0.479	-0.735369616314536
202.0537	0.512	0.514	0.6768496809215053
202.1083	0.514	0.597	-0.5459477342172954
202.9868	1.018	0.354	-0.9714883066529482
203.0017	3.658	0.204	-1.3579554776957872
203.0019	0.829	0.206	-1.3512161403157064
203.0022	1.372	0.642	0.47967079910257593
203.0022	2.013	0.526	0.657012879670405
203.0022	2.044	0.424	0.833544725538054
203.002	1.005	0.282	1.136063822182703
203.0107	1.372	0.609	0.5282879779920853
