m/z,rt,p-value,t-score
179.0709,0.842,0.149,1.5647851023006565
179.1075,0.837,0.0315,-2.4995201884993477
181.0368,3.602,0.0187,-2.8028384378207507
181.0504,0.867,0.873,-0.1643359710669772
181.0504,0.995,0.0311,2.5059381520162582
181.0504,3.057,0.0203,-2.755936621372748
181.0505,0.887,0.692,0.4078557635034464
181.0505,2.24,0.714,-0.37703434571055233
181.0718,5.323,1.54e-4,-5.887803662927944
181.0805,5.323,1.13e-4,-6.115769417391745
181.9916,3.013,0.287,1.1249593783427911
182.0272,5.423,0.648,0.4700090838781728
182.028,4.092,0.569,0.5884350398945273
182.0308,1.029,0.0323,-2.4849638720446183
182.0457,0.856,0.0906,-1.8726403865348138
183.005,0.703,0.751,-0.32552426385049255
183.0514,3.658,0.0286,-2.555580932094876
183.0638,3.785,0.999,0.001872874230729188
183.0661,0.867,0.311,-1.0664646077489268
183.1023,0.506,0.0294,2.538761656686982
183.1025,0.808,0.0113,3.0996060213070384
184.0977,1.118,0.453,0.7816056841945225
185.0566,7.305,0.347,-0.9863601392363457
185.0819,0.862,0.0251,-2.6323305080221497
187.0068,2.234,0.235,-1.264644240631341
187.0068,2.535,0.974,-0.0332673953130149
187.0416,2.303,0.211,-1.3378304898308064
187.0417,3.489,0.439,-0.8053905070263391
187.0724,5.679,0.343,-0.9958774826098955
187.0978,0.824,0.642,-0.48007111050622325
188.0022,2.235,0.742,-0.3384058197433976
188.0022,2.253,0.348,-0.9842464658529095
188.0023,3.128,0.606,-0.5325714614910415
188.0104,1.569,0.769,-0.3019201128532888
188.0105,2.248,0.38,-0.9194382956714384
188.0351,4.457,0.0165,-2.8757404076899094
188.0563,4.907,0.269,-1.1694410381063414
188.0927,4.517,0.249,1.22301200971138
188.9861,3.886,0.863,-0.17726473722259922
188.9862,4.149,0.52,0.6666790834521209
188.9871,1.745,0.887,0.14528927256153146
188.9948,1.816,0.501,-0.6981048980547647
189.0404,5.148,0.57,-0.5876941786714541
189.0405,5.173,0.459,0.7700498838110138
189.0573,2.271,0.371,-0.9370392287295811
189.0928,0.848,0.891,0.14051853120884625
189.113,0.89,0.624,-0.5060642416110731
190.0509,1.024,0.788,0.27614981282306517
190.9655,2.079,0.49,-0.717321229233444
190.9655,2.104,2.66e-4,5.488198285450162
190.9746,2.11,4.79e-4,5.0778797661684
191.0018,3.051,0.552,-0.6161722113702621
191.0018,3.068,0.549,-0.6204109737577999
191.0196,0.526,0.873,-0.16346359202397526
191.0196,0.953,0.825,0.2271411968542411
191.0196,3.544,0.904,0.12355543662492406
191.0196,3.644,0.858,0.18401904351611886
191.0198,5.679,0.552,0.6162450634289567
191.0199,8.317,0.693,-0.4064433945585217
191.0201,7.804,0.0682,-2.043587978534932
191.0284,5.675,0.476,0.7400802697600676
191.02,7.722,0.177,-1.4508356776524054
191.0539,5.675,0.747,-0.33165989452155475
192.0332,5.667,0.971,0.037424296959412406
192.0664,0.98,0.83,-0.21978722282520324
192.9813,2.941,0.0129,3.0209532596673325
193.0352,7.568,0.121,1.692157364730587
193.0352,7.691,0.0564,2.1569772966395875
193.0353,3.249,0.0652,-2.070435044336017
193.0505,0.807,0.266,-1.1786518499473762
194.0307,1.022,0.806,0.2527612413762373
194.0456,0.519,0.986,0.018313852151732334
194.0458,0.984,0.926,0.09565665025295174
194.0458,3.731,0.499,-0.7007613649435832
194.9603,1.573,0.0644,2.0777596428548004
194.9968,4.711,0.0358,-2.4242596220283343
195.0504,1.472,0.517,-0.6723819744791419
195.0511,6.805,0.225,-1.2923852437124315
195.0515,0.84,0.255,-1.2070848081158574
195.0516,0.562,0.202,-1.3652340298550047
195.0518,0.563,0.258,-1.1985514917062985
195.0521,2.398,0.12,-1.6995128574424112
195.052,1.912,0.0523,-2.2019961422507213
195.062,2.383,0.347,-0.9875762741035388
195.0655,0.844,0.0878,1.8918641143666228
196.0283,4.94,0.0119,-3.0651300803404933
196.0726,6.012,9.38e-4,-4.628478151991992
197.0454,3.508,0.0866,-1.9004882613426637
197.0468,2.723,0.622,-0.5092938168001904
197.0541,1.058,0.00743,-3.344875987434552
197.0675,0.579,0.591,-0.5547376384592527
197.0676,0.781,0.396,-0.8876849935128687
197.0677,1.123,0.0774,-1.9681807812572145
197.0679,3.663,0.106,-1.7746760893957223
197.068,3.613,0.104,-1.7911301088729958
197.0819,0.842,0.0542,-2.180375043371114
197.0905,0.843,0.171,-1.4745845258802581
198.1133,0.851,0.0429,-2.3186448223719704
198.9916,1.038,0.319,-1.0496311650575882
199.0069,1.086,0.52,-0.666406322035127
199.0974,1.354,0.798,-0.26346926791725706
199.0975,0.822,0.26,-1.1934954156700055
199.1313,0.836,0.361,-0.9579684444072408
200.1291,0.831,0.432,-0.8194172841961326
200.9711,1.033,0.0499,-2.2292191171905165
200.9866,1.058,0.121,-1.6971251045865106
201.0078,1.025,0.0659,-2.0639472053196597
