m.z,r.t,p.value,t.score
188.0021,0.665,0.0521,2.203965782701017
188.9863,1.166,0.557,-0.6080867541466324
188.9864,0.815,0.761,-0.31300678690744344
188.9864,2.765,0.779,-0.28800444902284567
189.0027,3.097,0.765,0.30697043913325234
191.0201,1.159,0.248,-1.2279248058699135
191.0203,0.697,0.853,0.19070096820425642
191.0212,0.699,0.488,-0.7204813337647743
191.0267,0.755,0.359,0.9604512882928884
191.0276,1.165,0.433,0.8166973868340897
191.0523,0.699,0.351,0.9784302911272839
191.0524,0.713,0.578,0.575728100267576
191.1076,5.282,0.526,-0.6567905497840798
191.1105,5.283,0.911,-0.11446800739338935
193.0351,0.617,0.313,1.0617234585134556
193.0353,5.465,0.0985,1.821656427186143
194.0458,3.657,0.942,-0.07432521386535867
194.0459,0.799,0.622,-0.5079851151540911
194.0459,2.735,0.744,-0.33571986869025483
194.0459,2.921,0.694,-0.40548041318804157
194.0459,3.542,0.747,-0.33151421581647356
194.0459,4.033,0.76,-0.31367796064795705
194.046,0.798,0.622,-0.5079851151540911
194.0491,4.031,0.0977,-1.826457336732858
194.0495,2.735,0.817,-0.2376914853296036
194.0546,0.797,0.796,-0.2654847841802591
195.0512,0.787,0.913,0.11215084865843226
195.0514,2.765,0.917,-0.10644072385125039
195.051,0.627,0.422,0.8369104480072393
197.0442,3.134,0.334,-1.0147237983290485
197.0453,3.76,0.256,-1.2050212846646624
197.0471,3.745,0.405,-0.8687543990619313
197.0819,4.344,0.469,0.7522324206829512
198.1135,5.021,0.545,0.6259855761414669
199.0068,4.328,0.111,1.7475083389399002
199.0975,5.017,0.883,-0.15051013280076175
200.1291,5.38,0.54,0.6342457600804666
201.0227,4.086,4.02e-9,18.75227792653028
201.0228,4.555,1.63e-9,20.57600607590827
203.0017,3.661,0.651,0.46619877324655346
203.0021,0.801,0.0646,-2.076658067044881
203.0021,2.888,0.868,0.16989404848957027
203.002,3.205,0.373,-0.9320803125367946
203.0048,3.202,0.82,0.23367395029203436
204.0666,4.129,0.45,-0.78677541064418
204.0666,4.532,0.298,-1.0976591039509425
204.9812,0.795,0.488,0.7201724014515369
204.9812,2.586,0.618,0.5144992345661422
205.0352,0.76,0.522,0.6638497991227329
206.9961,0.7,0.596,-0.5483197672825662
206.9967,2.418,0.0306,-2.516754912066785
208.0615,3.836,0.0569,-2.151359636763652
208.0646,0.766,0.349,0.9817661485049448
209.0452,3.159,0.551,-0.6167080402373941
209.0452,3.24,0.329,-1.026413890592595
209.0455,3.749,0.583,-0.5670301821239564
209.0532,3.773,0.0926,-1.8593376029616697
210.0419,3.959,0.844,0.2025104541808636
211.0611,3.158,0.0912,-1.8687472037887896
211.0613,3.866,0.948,-0.06660671917558551
211.0615,4.235,0.748,-0.3305668688580064
211.0967,4.185,0.506,-0.6892111353456359
211.0971,3.846,0.148,-1.5663519187226334
212.0023,0.825,0.848,0.19638980264750144
212.0027,3.304,0.57,0.5870923028229043
212.0065,4.503,0.926,0.09572605825206923
212.0937,3.815,0.912,0.11356803873884695
213.1132,5.201,0.112,1.7416476593203576
213.9981,2.254,0.61,0.5268118578971899
215.0021,3.307,0.0799,1.9486777562269404
215.0326,0.629,0.508,0.6861562410065422
216.9808,0.715,0.218,-1.3139630565056022
216.9812,2.65,0.412,-0.8552677411112357
216.981,0.709,0.752,-0.32551219521016533
217.0161,1.159,0.649,-0.4695706391422296
217.0162,0.671,0.967,-0.04227924312265393
217.0172,4.4,8.68e-4,4.679863635338702
217.0173,3.88,0.0449,2.291674660116009
217.0486,0.63,0.383,0.9131226174421966
217.1081,3.912,0.17,1.4791850111258011
218.0492,0.684,0.65,0.4679438637371421
218.0821,5.22,0.122,-1.6898679292077532
218.1032,0.748,0.941,-0.07603127464715345
218.1033,2.56,0.448,-0.7892146849921033
