Feature_ID,mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
299.1247_0.784,299.1247_0.784,11320.963945454545,19401.977272727272,0.5834953719571693,1.29e-4,-0.7772068817669409,3.889410289700751,299.1247,0.784,12614.3365,299.1247_0.784,299.1247_0.784,1
337.0556_0.777,337.0556_0.777,7417.704809090909,4140.1295272727275,1.7916600821852195,0.017,0.84129695198121,1.7695510786217261,337.0556,0.777,4305.2935,337.0556_0.777,337.0556_0.777,1
337.056_3.104,337.056_3.104,4877.642781818182,2587.5776818181816,1.8850227438933806,0.00994,0.9145819305518913,2.002613615602687,337.056,3.104,2868.4964,337.056_3.104,337.056_3.104,1
345.1552_6.009,345.1552_6.009,26237.91690909091,39951.96709090909,0.6567365468986192,0.0128,-0.6066133525112295,1.8927900303521317,345.1552,6.009,30019.9345,345.1552_6.009,345.1552_6.009,1
345.1553_5.874,345.1553_5.874,27796.450454545455,44676.99790909091,0.6221646877685444,0.0074,-0.6846315808040648,2.1307682802690238,345.1553,5.874,32608.7805,345.1553_5.874,345.1553_5.874,1
350.088_3.952,350.088_3.952,63285.243727272726,107129.82454545454,0.5907341302554003,0.0154,-0.7594191273693486,1.812479279163537,350.088,3.952,79695.755,350.088_3.952,350.088_3.952,1
354.1007_4.717,354.1007_4.717,5191.961127272727,8278.30829090909,0.6271765854594148,0.0155,-0.673056394924258,1.8096683018297086,354.1007,4.717,4185.59825,354.1007_4.717,354.1007_4.717,1
354.1009_5.03,354.1009_5.03,16905.573281818182,26598.488181818182,0.635583991325276,0.0262,-0.6538453074043475,1.5816987086802545,354.1009,5.03,13541.8145,354.1009_5.03,354.1009_5.03,1
361.1501_4.225,361.1501_4.225,23236.317454545453,47484.198000000004,0.48934842396507255,0.00678,-1.0310660417146658,2.1687703061329366,361.1501,4.225,27752.146500000003,361.1501_4.225,361.1501_4.225,1
369.1552_5.993,369.1552_5.993,10389.272963636364,18041.658,0.5758491244893548,0.00384,-0.796237227427252,2.415668775632469,369.1552,5.993,12184.878499999999,369.1552_5.993,369.1552_5.993,1
372.1099_3.404,372.1099_3.404,12948.52299090909,20274.892981818182,0.6386481547656441,0.027,-0.6469067571024881,1.5686362358410126,372.1099,3.404,10841.9175,372.1099_3.404,372.1099_3.404,1
372.1116_3.914,372.1116_3.914,31954.660783636366,51601.018145454545,0.6192641527646137,0.00267,-0.6913731594496333,2.5734887386354246,372.1116,3.914,25244.504,372.1116_3.914,372.1116_3.914,1
385.1498_5.181,385.1498_5.181,3568.3716454545456,6260.527209090909,0.5699794164735702,8.72e-5,-0.811018274360326,4.059483515067432,385.1498,5.181,3724.50265,385.1498_5.181,385.1498_5.181,1
387.1489_5.77,387.1489_5.77,549.6059863636364,2989.998115,0.18381482704166735,0.0196,-2.443674951564359,1.7077439286435239,387.1489,5.77,1002.7340999999999,387.1489_5.77,387.1489_5.77,1
403.1971_3.26,403.1971_3.26,10050.647345454545,4869.265109090909,2.0640994319019526,0.0445,1.0455124700134246,1.3516399890190685,403.1971,3.26,4559.199,403.1971_3.26,403.1971_3.26,1
403.197_0.807,403.197_0.807,13614.438181818183,7663.1197,1.776618233148333,0.00545,0.8291337025733391,2.2636034977233574,403.197,0.807,7092.49,403.197_0.807,403.197_0.807,1
413.1436_3.2,413.1436_3.2,5845.404,1443.6012663636363,4.049181817860481,0.0386,2.0176304248954406,1.413412695328245,413.1436,3.2,1666.61115,413.1436_3.2,413.1436_3.2,1
425.145_4.374,425.145_4.374,13609.504863636364,21022.729381818182,0.6473709772151063,0.0172,-0.6273354064585973,1.764471553092451,425.145,4.374,17064.178,425.145_4.374,425.145_4.374,1
496.198_6.048,496.198_6.048,1538.403418181818,2682.056395,0.5735910031756876,0.0392,-0.8019056994661158,1.4067139329795428,496.198,6.048,501.321,496.198_6.048,496.198_6.048,1
576.1384_0.705,576.1384_0.705,2032.0926545454545,1332.1283045454545,1.5254481476083042,0.021,0.6092331412671096,1.6777807052660807,576.1384,0.705,1559.056,576.1384_0.705,576.1384_0.705,1
ethylphenol glucuronide isomer 2,297.0975_4.498,1965.4484363636363,2991.176963636364,0.6570819648110179,0.0311,-0.6058547504420817,1.5072396109731625,297.0975,4.498,3050.3737499999997,Cluster_297.0975_4.498,297.0975_4.498;297.1062_4.504;365.0866_4.514,3
naringenin-4-glucuronide,447.0919_4.504,11582.859909090908,2704.534972727273,4.282754716020798,0.00234,2.098539052873663,2.630784142589857,447.0919,4.504,7327.2997,447.0919_4.504,447.0919_4.504,1
naringenin-7-glucuronide,447.0921_4.067,7955.612027272727,2417.135611818182,3.291338718595302,0.00235,1.7186745048858199,2.6289321377282637,447.0921,4.067,6185.180200000001,447.0921_4.067,447.0921_4.067,1
