m/z,rt,p-value,t-score
247.0798,4.12,0.562,-0.5998598141009861
248.0596,0.808,0.35,-0.9806183179234867
250.0718,3.655,0.605,0.5332937325776028
251.0128,3.524,0.869,0.16861099151823455
253.0503,5.048,0.1,-1.8109260393202649
253.9903,0.661,0.00824,-3.283820528600593
254.9816,0.664,0.173,-1.4681235174001732
254.9941,3.14,0.143,-1.5897104508684705
255.0674,5.078,0.297,1.099341863799483
255.1349,3.614,0.0651,-2.0718206187375277
255.1349,4.042,0.0599,-2.121301003584746
257.0816,6.056,0.653,-0.46270459118505153
258.0424,0.699,0.704,-0.39111422372728905
258.044,2.007,0.743,-0.33695634810395375
258.9916,0.797,0.6,0.5415464568725271
258.9926,3.301,0.453,0.7799685581508231
259.057,0.712,0.0797,-1.9501894898770653
259.129,3.733,0.245,-1.2347988093721476
260.0239,2.686,0.668,0.4423767299545046
260.0254,0.667,0.919,0.10435495460675732
261.0071,3.241,0.901,0.12768094114653689
261.0072,0.769,0.583,-0.5667266746384486
261.0232,0.668,0.885,0.14898289777801454
261.039,0.66,0.48,-0.7337341294039147
262.0286,0.664,0.321,1.0441912866923406
262.0364,0.654,0.984,-0.020445031390782506
262.9863,0.693,0.055,-2.1713874500946333
263.0249,0.69,0.47,0.7500627053005192
263.0272,2.81,0.0516,2.210032038834658
263.0573,0.662,0.41,-0.8597554587703208
263.1041,2.759,0.526,-0.6577468779476542
263.1041,2.796,0.203,-1.3609244633928146
263.1046,3.466,0.662,-0.45068317950887027
263.1054,2.91,0.241,1.2470785997751768
263.1397,2.777,0.565,-0.5951177048667156
263.141,3.465,0.632,-0.4943301272658659
264.0876,3.875,0.357,-0.9654436451228791
264.1168,3.46,0.202,-1.3654228272525557
264.9884,0.68,0.0283,-2.561410928492341
265.0184,2.828,0.234,1.2669609268757567
265.1192,4.316,0.952,-0.061690697482334134
267.1235,7.063,0.0261,2.6094380513220123
269.1505,4.575,1.78e-4,-5.779047989030761
269.1506,4.275,1.32e-4,-5.99965362750742
273.0073,0.807,0.511,0.6814770362331471
273.0074,3.349,0.635,0.48953205557087903
274.0026,0.671,0.266,-1.1780968719426124
274.0027,2.51,0.561,-0.6020259365181907
274.0396,0.676,0.0479,-2.253680678192064
274.039,0.769,0.00794,-3.305776831460857
275.0216,0.69,0.841,0.20648230571724047
275.0221,0.754,0.674,0.4329815124659826
275.0224,3.427,0.155,1.5383580002150246
275.0569,0.663,0.583,0.5668002455099638
276.0009,3.151,0.419,0.8428979222398644
276.0018,0.763,0.124,1.6776915135965547
277.0021,0.707,0.454,-0.7794726087046466
277.0349,0.667,0.205,-1.3564919104835984
277.052,0.659,0.418,-0.8449352550471547
277.0852,0.658,0.155,-1.5376530377893227
278.0698,0.683,0.116,-1.7207744456961716
279.0491,3.95,0.721,0.3675593779929219
279.049,3.659,0.429,-0.824824649968229
279.0984,3.799,0.194,-1.3916183742559682
279.9896,3.301,0.588,-0.5594930687739745
281.1142,4.039,0.0103,-3.1501428586801046
282.0473,0.802,0.255,-1.208225880799109
283.0822,3.328,0.568,-0.5907403947665429
283.0822,3.893,0.614,-0.5211128589588356
283.1657,5.239,0.0819,-1.9340678121459738
287.0195,0.66,0.502,-0.6961288998356154
287.0227,3.548,0.0249,-2.6357837725889612
287.0526,0.66,0.0795,-1.9521348097367492
289.0363,0.688,0.283,-1.1338215128757896
289.0528,0.664,0.828,-0.22283484815792554
289.0702,0.663,0.516,-0.6736933613432241
290.0877,0.662,0.23,-1.2779519279853864
291.0345,0.717,0.756,-0.31999974176406953
291.0683,0.654,0.715,-0.3757284288574157
293.0301,0.685,0.191,-1.4030932583978013
293.0331,2.576,0.101,1.8034560783839098
293.0676,0.65,0.879,0.15567674552453972
293.0743,2.543,0.549,-0.6208326240187638
295.0242,4.354,0.0968,-1.8322892193355196
295.0252,3.897,0.234,-1.267751450348799
295.0806,3.721,0.881,-0.15405824795744624
295.0815,4.242,0.696,-0.4023931253981894
295.1298,3.641,0.433,0.8175392344539898
296.0197,0.697,0.132,-1.6414625230659647
296.9824,0.699,0.162,-1.5116732467598168
297.0975,4.072,0.364,-0.9501441978716463
297.0975,4.498,0.0311,-2.5068942943866492
298.0002,3.49,0.416,0.848988724734292
299.0779,3.509,0.127,-1.6624928166649457
299.1247,0.784,1.29e-4,-6.018921104890329
