Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
165.0405,C00309,M-H+O[-],6.233,6.65E-05,EC00033
165.04055,C00309,M-H+O[-],5.703,0.000116467,EC00033
165.04056,C00309,M-H+O[-],6.024,0.000126467,EC00033
195.0511,C00309,M+HCOO[-],6.805,0.000655,EC00033
209.0666,C00309,M+CH3COO[-],5.694,0.000505,EC00033
149.0455,C00310,M-H[-],5.396,2.35E-05,EC00032
149.04554,C00310,M-H[-],5.659,1.65E-05,EC00033
149.04556,C00310,M-H[-],5.186,3.65E-05,EC00032
165.0405,C00310,M-H+O[-],6.233,6.65E-05,EC00033
165.04055,C00310,M-H+O[-],5.703,0.000116467,EC00033
165.04056,C00310,M-H+O[-],6.024,0.000126467,EC00033
195.0511,C00310,M+HCOO[-],6.805,0.000655,EC00033
209.0666,C00310,M+CH3COO[-],5.694,0.000505,EC00033
173.009,C00311,M-H2O-H[-],6.03,0.000123533,EC00040
191.0196,C00311,M-H[-],0.953,0.000123533,EC00041
191.01965,C00311,M-H[-],3.544,7.35E-05,EC00042
191.01968,C00311,M-H[-],3.644,4.35E-05,EC00042
191.01969,C00311,M-H[-],0.526,3.35E-05,EC00043
191.0198,C00311,M-H[-],5.679,7.65E-05,EC00044
191.0199,C00311,M-H[-],8.317,0.000176467,EC00045
191.02,C00311,M-H[-],7.722,0.000276467,EC00045
191.0201,C00311,M-H[-],7.804,0.000376467,EC00045
149.0455,C00312,M-H[-],5.396,2.35E-05,EC00032
149.04554,C00312,M-H[-],5.659,1.65E-05,EC00033
149.04556,C00312,M-H[-],5.186,3.65E-05,EC00032
165.0405,C00312,M-H+O[-],6.233,6.65E-05,EC00033
165.04055,C00312,M-H+O[-],5.703,0.000116467,EC00033
165.04056,C00312,M-H+O[-],6.024,0.000126467,EC00033
195.0511,C00312,M+HCOO[-],6.805,0.000655,EC00033
209.0666,C00312,M+CH3COO[-],5.694,0.000505,EC00033
150.0559,C00314,M-H2O-H[-],3.673,0.000123533,EC00081
202.0509,C00331,M-H[-],5.224,2.35E-05,EC00082
178.0511,C00355,M-H2O-H[-],0.524,0.000176467,EC00083
149.0092,C00366,M-H2O-H[-],7.63,0.001223533,EC00084
149.00926,C00366,M-H2O-H[-],7.798,0.001163533,EC00084
167.0212,C00366,M-H[-],5.168,0.000176467,EC00085
151.0612,C00379,M-H[-],4.846,2.35E-05,EC00086
151.0255,C00385,M-H[-],1.019,0.000623533,EC00087
151.0261,C00385,M-H[-],3.2,2.35E-05,EC00088
225.0991,C00386,M-H[-],8.076,0.000223533,EC00089
378.1013,C00401,M-H[-],0.561,0.002873533,EC00090
154.9986,C00417,M-H2O-H[-],7.909,7.65E-05,EC00091
173.009,C00417,M-H[-],6.03,0.000123533,EC00092
73.0294,C00418,M-2H[2-],0.881,0.000123533,EC00093
73.0294,C00424,M-H[-],0.881,0.000123533,EC00046
154.9986,C00425,M-H2O-H[-],7.909,4.25E-05,EC00091
173.009,C00425,M-H[-],6.03,0.000157533,EC00092
333.2065,C00427,M-H2O-H[-],0.498,0.000623533,EC00094
155.0462,C00439,M-H2O-H[-],6.062,2.35E-05,EC00095
173.0567,C00439,M-H[-],5.365,0.000123533,EC00096
173.05677,C00439,M-H[-],5.7,5.35E-05,EC00095
211.028,C00439,M+Cl37[-],5.713,0.002,EC00095
440.1718,C00440,M-H2O-H[-],0.558,0.003076467,EC00097
462.9672,C00459,M-H2O-H[-],3.843,0.004223533,EC00098
111.0087,C00490,M-H2O-H[-],5.156,2.35E-05,EC00099
111.0088,C00490,M-H2O-H[-],7.821,7.65E-05,EC000100
129.0193,C00490,M-H[-],2.327,2.35E-05,EC000101
129.01939,C00490,M-H[-],6.544,6.65E-05,EC000102
175.0246,C00490,M+HCOO[-],5.38,0.000355,EC00099
189.0404,C00490,M+CH3COO[-],5.148,0.000505,EC00099
189.0405,C00490,M+CH3COO[-],5.173,0.000605,EC00099
157.0367,C00499,M-H2O-H[-],4.662,2.35E-05,EC000103
103.04,C00503,M-H2O-H[-],0.988,2.35E-05,EC000104
149.0455,C00508,M-H[-],5.396,2.35E-05,EC00032
149.04554,C00508,M-H[-],5.659,1.65E-05,EC00033
149.04556,C00508,M-H[-],5.186,3.65E-05,EC00032
165.0405,C00508,M-H+O[-],6.233,6.65E-05,EC00033
165.04055,C00508,M-H+O[-],5.703,0.000116467,EC00033
165.04056,C00508,M-H+O[-],6.024,0.000126467,EC00033
195.0511,C00508,M+HCOO[-],6.805,0.000655,EC00033
209.0666,C00508,M+CH3COO[-],5.694,0.000505,EC00033
424.1437,C00518,M-H[-],0.564,0.00234887,EC000105
203.0825,C00525,M-H[-],4.789,0.000123533,EC00026
227.0672,C00526,M-H[-],5.687,0.000123533,EC000106
243.0617,C00526,M-H+O[-],5.673,0.000533533,EC000106
109.0295,C00530,M-H[-],2.682,2.35E-05,EC00029
151.0612,C00532,M-H[-],4.846,2.35E-05,EC00086
150.0559,C00547,M-H2O-H[-],3.673,0.000123533,EC00081
188.0563,C00579,M-H2O-H[-],4.907,0.001023533,EC000107
333.2065,C00584,M-H2O-H[-],0.498,0.000623533,EC00094
