m.z,r.t,p.value,t.score
161.9867,2.345,0.161,1.51240121131715
162.0227,0.513,0.202,-1.366284194976338
162.0229,4.073,0.457,-0.7740493380798891
163.0247,5.69,0.102,-1.8007922804448546
163.0403,0.951,0.019,-2.7936518613692414
164.0715,4.437,0.713,-0.37808421972894324
165.0046,1.023,0.00176,-4.225187565989386
165.0405,5.703,0.209,-1.34397260999769
165.0405,6.024,0.895,-0.13494281407419317
165.0405,6.233,0.0191,-2.791401489270589
165.0418,1.302,0.879,0.15636662648773902
165.042,0.562,0.707,0.3872596184523789
165.0472,3.498,0.33,1.0230368830692338
165.0488,5.706,0.199,-1.37654867690592
165.0534,0.912,0.822,0.230532870472103
167.0212,5.168,0.877,-0.15864868655816292
167.0461,5.457,0.227,1.2883110803294786
167.0559,3.69,0.836,-0.21305518935594223
168.078,7.818,0.335,1.0126168509658862
168.0862,7.82,0.432,0.8182382183826916
171.041,7.771,0.348,0.9854680454536315
171.043,3.694,0.53,0.6507118188463621
171.0662,0.928,0.224,1.2964946562893473
171.0774,5.47,0.394,0.8907251219951259
172.0977,0.843,0.0742,-1.9935719578290758
172.0978,0.872,0.245,-1.234026458134355
172.9922,1.849,0.842,0.2050128181977967
172.9996,1.942,0.0124,3.0447618160340495
173.009,6.03,0.212,-1.3317914624163933
173.0218,1.841,0.262,-1.1889284827900257
173.0567,5.365,0.216,1.3193048941699197
173.0567,5.7,0.745,0.33462125804798193
173.0818,0.849,0.707,0.38628465269697754
173.9866,2.442,0.285,1.1308618464604148
174.9871,1.827,0.971,0.03781653999982021
175.0245,0.522,0.23,-1.2797024561173327
175.0246,4.153,0.291,-1.1145727391478204
175.0246,5.38,0.165,-1.4976050721082441
175.0246,5.701,0.26,-1.194463163597499
175.0611,3.502,0.977,-0.028960346441761736
175.061,0.56,0.784,0.2810222303105958
175.061,3.616,0.861,0.17969282398543085
175.0974,0.773,0.866,-0.172791990686783
175.0974,0.971,0.525,-0.6592917538153659
177.0405,5.7,0.59,0.5564903295862782
177.1284,0.774,0.721,-0.366699482207126
178.0361,1.018,0.305,-1.0819526551868737
178.0444,1.022,0.159,-1.5207431329118264
178.0511,0.524,0.544,-0.6278980044871337
178.0589,0.533,0.729,-0.3560108180862176
179.0349,5.243,0.633,-0.4928337252913564
179.0559,5.977,0.623,-0.5070531774655784
179.0561,5.436,0.181,1.436684032314612
179.0562,5.704,0.454,-0.7796452017370671
179.056,6.344,0.721,-0.36713771656711935
179.0636,0.527,0.734,-0.349649616283709
179.0644,5.704,0.573,-0.5821361528941775
179.0709,0.842,0.0453,-2.2866444603098324
179.1075,0.837,0.502,0.6970296412504956
181.0368,3.602,0.504,0.6935402539557101
181.0504,0.867,0.714,-0.3765543493092787
181.0504,0.995,0.0115,-3.0854480589682396
181.0504,3.057,0.527,-0.6548660535274038
181.0505,0.887,0.39,-0.8982058694991912
181.0505,2.24,0.694,-0.4052875131011234
181.0718,5.323,0.254,1.2097318922296108
181.0805,5.323,0.497,0.7046276528202596
181.9916,3.013,0.911,0.11424630474699882
182.0272,5.423,0.863,-0.1772189483845049
182.028,4.092,0.505,-0.6915682363748636
182.0308,1.029,0.147,-1.5735890957830476
182.0457,0.856,0.0606,-2.114439059530298
183.005,0.703,0.483,0.7282129541989194
183.0514,3.658,0.586,0.5620746026863375
183.0638,3.785,0.44,-0.8038409186650743
183.0661,0.867,0.939,-0.07899719778188097
183.1023,0.506,0.0392,-2.371473210684385
183.1025,0.808,0.00561,-3.512222237910457
184.0977,1.118,0.12,-1.701836117207688
185.0566,7.305,0.304,1.0833786833356915
185.0819,0.862,0.234,1.2658210082039354
187.0068,2.234,0.815,0.24032275905464223
187.0068,2.535,0.786,-0.27870730917110453
187.0416,2.303,0.143,-1.5909917170575893
187.0417,3.489,0.026,2.6113295664006544
187.0724,5.679,0.93,0.09043721083094801
187.0978,0.824,0.364,-0.9503694760097791
188.0022,2.235,0.511,0.6822644159276381
188.0022,2.253,0.617,0.5163850680473575
188.0023,3.128,0.471,0.7496090719185805
188.0104,1.569,0.973,0.03520712368165503
188.0105,2.248,0.524,0.6610281170739734
188.0351,4.457,0.302,1.0877179610896237
