mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size,,,,
123.0542_0.96,123.0542,0.96,505.0133,123.0542_0.96,123.0542_0.96,1,,,,
124.0074_6.271,124.0074,6.271,149140.565,Cluster_124.0074_6.271,124.0074_6.271;249.0218_6.27,2,,,,
124.0491_0.516,124.0491,0.516,501.4977,Cluster_211.0612_0.531,123.045_0.518;124.0491_0.516;211.0612_0.531,3,,,,
124.9914_3.319,124.9914,3.319,24726.4685,Cluster_124.9914_3.319,124.9914_3.319;389.1022_3.318,2,,,,
124.9916_5.153,124.9916,5.153,828329.68,Cluster_124.9916_5.153,124.9916_5.153;293.0197_5.155,2,,,,
125.0243_0.867,125.0243,0.867,54234.375,125.0243_0.867,125.0243_0.867,1,,,,
125.0244_2.004,125.0244,2.004,16723.7355,Cluster_204.9815_2.004,125.0244_2.004;204.9815_2.004;206.977_2.009,3,,,,
126.0197_5.659,126.0197,5.659,132770.3,Cluster_144.0302_5.659,126.0197_5.659;144.0302_5.659,2,,,,
127.0399_0.847,127.0399,0.847,74657.375,127.0399_0.847,127.0399_0.847,1,,,,
127.0764_0.922,127.0764,0.922,44174.7185,Cluster_171.0662_0.928,127.0764_0.922;171.0662_0.928,2,,,,
128.0354_5.186,128.0354,5.186,196979.18,128.0354_5.186,128.0354_5.186,1,,,,
128.9596_5.328,128.9596,5.328,282608.465,Cluster_128.9597_5.323,128.9596_5.328;128.9597_5.323;296.8821_5.318;296.8821_5.319;380.8433_5.323,5,,,,
128.9597_5.323,128.9597,5.323,282608.465,Cluster_128.9597_5.323,128.9596_5.328;128.9597_5.323;296.8821_5.318;296.8821_5.319;380.8433_5.323,5,,,,
129.0193_2.327,129.0193,2.327,36916.51,129.0193_2.327,129.0193_2.327,1,,,,
129.0193_6.544,129.0193,6.544,38653.474,129.0193_6.544,129.0193_6.544,1,,,,
130.0509_5.699,130.0509,5.699,38944.427,Cluster_173.0567_5.7,130.0509_5.699;173.0567_5.7,2,,,,
131.0349_2.05,131.0349,2.05,129145.84,Cluster_87.0451_2.052,131.0349_2.05;87.0451_2.052;87.0451_2.055,3,,,,
131.0712_0.84,131.0712,0.84,56744.0885,131.0712_0.84,131.0712_0.84,1,,,,
134.061_0.525,134.061,0.525,29519.393,Cluster_178.0511_0.524,134.061_0.525;178.0511_0.524;178.0809_0.525;179.0544_0.524,4,,,,
135.0299_8.49,135.0299,8.49,69208.81,Cluster_135.0299_8.49,135.0299_8.49;207.0145_8.491,2,,,,
135.0299_6.065,135.0299,6.065,212371.365,135.0299_6.065,135.0299_6.065,1,,,,
135.03_5.533,135.03,5.533,293427.86,135.03_5.533,135.03_5.533,1,,,,
135.0302_5.655,135.0302,5.655,2319433.75,135.0302_5.655,135.0302_5.655,1,,,,
135.0312_3.109,135.0312,3.109,40315.039,135.0312_3.109,135.0312_3.109,1,,,,
135.0373_5.68,135.0373,5.68,36314.771,135.0373_5.68,135.0373_5.68,1,,,,
137.0101_1.032,137.0101,1.032,6650.309,137.0101_1.032,137.0101_1.032,1,,,,
137.0244_0.97,137.0244,0.97,106498.235,Cluster_137.0244_0.97,137.0244_0.97;93.0345_0.973,2,,,,
139.0069_4.58,139.0069,4.58,5226.31,139.0069_4.58,139.0069_4.58,1,,,,
139.0398_0.519,139.0398,0.519,3147.82395,Cluster_139.0398_0.519,139.0398_0.519;211.3617_0.512,2,,,,
139.04_3.487,139.04,3.487,1962.4549,Cluster_369.0995_3.487,139.04_3.487;369.0995_3.487;383.1145_3.487;385.0942_3.497;413.0893_3.487,5,,,,
139.04_3.348,139.04,3.348,2515.3698,Cluster_139.04_3.348,139.04_3.348;279.0175_3.355;699.1561_3.36,3,,,,
139.0513_5.435,139.0513,5.435,46711.324,139.0513_5.435,139.0513_5.435,1,,,,
139.0764_0.897,139.0764,0.897,10553.91,139.0764_0.897,139.0764_0.897,1,,,,
143.0348_0.84,143.0348,0.84,107509.855,143.0348_0.84,143.0348_0.84,1,,,,
144.0302_5.659,144.0302,5.659,142115.545,Cluster_144.0302_5.659,126.0197_5.659;144.0302_5.659,2,,,,
144.0522_1.038,144.0522,1.038,67832.998,144.0522_1.038,144.0522_1.038,1,,,,
144.0666_1.163,144.0666,1.163,156784.78,144.0666_1.163,144.0666_1.163,1,,,,
145.0142_5.656,145.0142,5.656,25004.192,145.0142_5.656,145.0142_5.656,1,,,,
145.0362_1.023,145.0362,1.023,47559.7435,145.0362_1.023,145.0362_1.023,1,,,,
145.05_0.997,145.05,0.997,62405.699,145.05_0.997,145.05_0.997,1,,,,
145.0504_0.989,145.0504,0.989,75998.4525,145.0504_0.989,145.0504_0.989,1,,,,
145.0617_0.539,145.0617,0.539,50747.635,Cluster_263.1043_0.539,145.0617_0.539;263.1043_0.539;265.1092_0.538,3,,,,
145.0618_3.317,145.0618,3.317,95971.065,Cluster_263.1047_3.327,145.0618_3.317;263.1047_3.327;264.1071_3.323;264.141_3.324;265.109_3.318;527.214_3.311,6,,,,
