mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size,,,,
345.1675_3.926,345.1675,3.926,14589.3785,Cluster_345.1675_3.926,345.1675_3.926;707.2323_3.933;715.2168_3.917,3,,,,
345.1948_3.925,345.1948,3.925,1736.7053,Cluster_345.1552_3.921,345.1552_3.921;345.1948_3.925;347.1613_3.912;691.3172_3.917;729.2738_3.922,5,,,,
346.0776_4.14,346.0776,4.14,28432.737,346.0776_4.14,346.0776_4.14,1,,,,
346.1321_3.621,346.1321,3.621,4214.75075,346.1321_3.621,346.1321_3.621,1,,,,
346.1323_0.513,346.1323,0.513,18806.0705,346.1323_0.513,346.1323_0.513,1,,,,
346.9896_1.85,346.9896,1.85,16276.1505,346.9896_1.85,346.9896_1.85,1,,,,
347.0644_3.426,347.0644,3.426,45465.295,Cluster_347.0644_3.426,347.0644_3.426;349.0606_3.435,2,,,,
347.0747_6.014,347.0747,6.014,49304.35,347.0747_6.014,347.0747_6.014,1,,,,
347.076_2.334,347.076,2.334,19485.719,347.076_2.334,347.076_2.334,1,,,,
347.0769_3.657,347.0769,3.657,4847.9577,347.0769_3.657,347.0769_3.657,1,,,,
347.079_5.135,347.079,5.135,14064.8905,Cluster_387.0737_5.124,347.079_5.135;387.0737_5.124,2,,,,
347.0888_4.926,347.0888,4.926,1400.1262,347.0888_4.926,347.0888_4.926,1,,,,
347.0935_2.377,347.0935,2.377,10050.4315,347.0935_2.377,347.0935_2.377,1,,,,
347.1054_3.328,347.1054,3.328,96576.39,347.1054_3.328,347.1054_3.328,1,,,,
347.1054_3.351,347.1054,3.351,94835.08,347.1054_3.351,347.1054_3.351,1,,,,
347.1613_3.912,347.1613,3.912,6680.5572,Cluster_345.1552_3.921,345.1552_3.921;345.1948_3.925;347.1613_3.912;691.3172_3.917;729.2738_3.922,5,,,,
347.1703_0.526,347.1703,0.526,24443.54,Cluster_331.176_0.516,331.176_0.516;331.2132_0.515;347.1703_0.526;663.3587_0.517,4,,,,
347.1705_3.994,347.1705,3.994,6790.47385,347.1705_3.994,347.1705_3.994,1,,,,
347.1706_4.809,347.1706,4.809,2011.85005,347.1706_4.809,347.1706_4.809,1,,,,
348.0694_5.529,348.0694,5.529,501.776,Cluster_326.088_5.533,326.088_5.533;348.0694_5.529;364.0438_5.529;653.183_5.525;675.1649_5.531;691.1383_5.533,6,,,,
348.0724_5.999,348.0724,5.999,502.01235,Cluster_326.0864_6.015,326.0864_6.015;327.0906_6.007;348.0724_5.999,3,,,,
348.0905_0.595,348.0905,0.595,1577.18165,348.0905_0.595,348.0905_0.595,1,,,,
348.1105_4.903,348.1105,4.903,38998.5885,348.1105_4.903,348.1105_4.903,1,,,,
348.1473_0.523,348.1473,0.523,6064.76085,348.1473_0.523,348.1473_0.523,1,,,,
348.5347_2.62,348.5347,2.62,6266.15745,348.5347_2.62,348.5347_2.62,1,,,,
349.0213_7.922,349.0213,7.922,7254.05135,349.0213_7.922,349.0213_7.922,1,,,,
349.039_3.936,349.039,3.936,1166.1193,Cluster_349.039_3.936,309.027_3.923;349.039_3.936,2,,,,
349.0593_2.431,349.0593,2.431,13098.6945,349.0593_2.431,349.0593_2.431,1,,,,
349.0606_3.435,349.0606,3.435,19513.43,Cluster_347.0644_3.426,347.0644_3.426;349.0606_3.435,2,,,,
349.0943_3.648,349.0943,3.648,9423.158,349.0943_3.648,349.0943_3.648,1,,,,
349.1248_5.186,349.1248,5.186,45386.1155,349.1248_5.186,349.1248_5.186,1,,,,
349.1248_5.438,349.1248,5.438,7916.2275,349.1248_5.438,349.1248_5.438,1,,,,
349.2019_0.51,349.2019,0.51,9969.7725,349.2019_0.51,349.2019_0.51,1,,,,
350.0879_4.725,350.0879,4.725,178287.255,Cluster_350.0879_4.725,350.0879_4.725;351.0909_4.722;701.1826_4.723;739.1383_4.724,4,,,,
350.1261_4.787,350.1261,4.787,20410.8965,350.1261_4.787,350.1261_4.787,1,,,,
350.1635_0.57,350.1635,0.57,11537.7835,Cluster_350.1635_0.57,350.1635_0.57;376.1792_0.567,2,,,,
351.0376_7.763,351.0376,7.763,3669.566,351.0376_7.763,351.0376_7.763,1,,,,
351.0566_8.859,351.0566,8.859,50813.783,351.0566_8.859,351.0566_8.859,1,,,,
351.0893_2.059,351.0893,2.059,3474.3623,351.0893_2.059,351.0893_2.059,1,,,,
351.0909_4.722,351.0909,4.722,33813.31,Cluster_350.0879_4.725,350.0879_4.725;351.0909_4.722;701.1826_4.723;739.1383_4.724,4,,,,
351.1053_2.385,351.1053,2.385,4276.7815,351.1053_2.385,351.1053_2.385,1,,,,
351.1173_3.296,351.1173,3.296,16304.841,351.1173_3.296,351.1173_3.296,1,,,,
351.1268_3.641,351.1268,3.641,1308.3243,351.1268_3.641,351.1268_3.641,1,,,,
351.1655_0.545,351.1655,0.545,3243.67,351.1655_0.545,351.1655_0.545,1,,,,
352.0712_1.03,352.0712,1.03,141736.915,352.0712_1.03,352.0712_1.03,1,,,,
352.0857_1.363,352.0857,1.363,73372.94,352.0857_1.363,352.0857_1.363,1,,,,
352.0858_0.661,352.0858,0.661,195332.94,352.0858_0.661,352.0858_0.661,1,,,,
353.0557_1.293,353.0557,1.293,55365.147,353.0557_1.293,353.0557_1.293,1,,,,
353.0847_3.54,353.0847,3.54,5600.3165,353.0847_3.54,353.0847_3.54,1,,,,
353.0888_1.003,353.0888,1.003,32256.369,353.0888_1.003,353.0888_1.003,1,,,,
353.0894_5.683,353.0894,5.683,13764.214,353.0894_5.683,353.0894_5.683,1,,,,
353.0894_6.244,353.0894,6.244,34259.927,353.0894_6.244,353.0894_6.244,1,,,,
353.1042_2.363,353.1042,2.363,11970.7575,353.1042_2.363,353.1042_2.363,1,,,,
353.1198_4.773,353.1198,4.773,10192.825,353.1198_4.773,353.1198_4.773,1,,,,
353.1236_1.057,353.1236,1.057,6141.2449,353.1236_1.057,353.1236_1.057,1,,,,
354.101_0.567,354.101,0.567,61822.03,354.101_0.567,354.101_0.567,1,,,,
355.0469_0.537,355.0469,0.537,2498.59365,Cluster_355.0469_0.537,288.9842_0.551;355.0469_0.537,2,,,,
355.084_3.477,355.084,3.477,25301.462,Cluster_355.084_3.477,355.084_3.477;357.1007_3.481;399.1088_3.485;401.1257_3.487,4,,,,
355.1046_5.684,355.1046,5.684,7350.4695,355.1046_5.684,355.1046_5.684,1,,,,
355.1198_2.353,355.1198,2.353,4936.8911,Cluster_401.1035_2.348,355.1198_2.353;401.1035_2.348,2,,,,
355.1198_2.415,355.1198,2.415,5216.7353,Cluster_355.1198_2.415,355.1198_2.415;381.1162_2.416,2,,,,
355.139_2.92,355.139,2.92,1194.7387,355.139_2.92,355.139_2.92,1,,,,
355.1392_0.537,355.1392,0.537,4208.92925,355.1392_0.537,355.1392_0.537,1,,,,
356.0984_4.734,356.0984,4.734,4088.259,356.0984_4.734,356.0984_4.734,1,,,,
356.0985_4.988,356.0985,4.988,2189.77355,356.0985_4.988,356.0985_4.988,1,,,,
356.0986_5.69,356.0986,5.69,2668.3385,356.0986_5.69,356.0986_5.69,1,,,,
356.1167_0.565,356.1167,0.565,77784.535,356.1167_0.565,356.1167_0.565,1,,,,
356.1531_0.526,356.1531,0.526,7932.19325,356.1531_0.526,356.1531_0.526,1,,,,
357.0817_5.431,357.0817,5.431,3830.3603,357.0817_5.431,357.0817_5.431,1,,,,
357.0822_3.942,357.0822,3.942,8898.1805,357.0822_3.942,357.0822_3.942,1,,,,
357.0822_4.307,357.0822,4.307,14302,357.0822_4.307,357.0822_4.307,1,,,,
357.1007_3.481,357.1007,3.481,2630.4806,Cluster_355.084_3.477,355.084_3.477;357.1007_3.481;399.1088_3.485;401.1257_3.487,4,,,,
357.101_2.684,357.101,2.684,54435.8765,Cluster_357.1011_2.685,357.101_2.684;357.1011_2.685,2,,,,
357.1011_2.685,357.1011,2.685,54435.8765,Cluster_357.1011_2.685,357.101_2.684;357.1011_2.685,2,,,,
357.1019_0.569,357.1019,0.569,10044.577,357.1019_0.569,357.1019_0.569,1,,,,
357.1184_4.427,357.1184,4.427,4381.7445,357.1184_4.427,357.1184_4.427,1,,,,
357.1912_0.943,357.1912,0.943,8320.74,357.1912_0.943,357.1912_0.943,1,,,,
359.0346_2.582,359.0346,2.582,38117.5255,359.0346_2.582,359.0346_2.582,1,,,,
359.0581_3.057,359.0581,3.057,2005.96655,359.0581_3.057,359.0581_3.057,1,,,,
359.0801_0.561,359.0801,0.561,15160.4835,359.0801_0.561,359.0801_0.561,1,,,,
359.0981_5.122,359.0981,5.122,1793.91125,Cluster_359.0981_5.122,359.0981_5.122;361.103_5.121;559.1111_5.114,3,,,,
359.0981_5.715,359.0981,5.715,1450.3008,359.0981_5.715,359.0981_5.715,1,,,,
359.0986_5.964,359.0986,5.964,501.5682,Cluster_361.1028_5.97,359.0986_5.964;360.1408_5.971;361.1028_5.97;741.1854_5.96;771.1956_5.959,5,,,,
359.1156_0.557,359.1156,0.557,5673.3895,359.1156_0.557,359.1156_0.557,1,,,,
359.134_0.536,359.134,0.536,23145.8975,359.134_0.536,359.134_0.536,1,,,,
359.1707_0.969,359.1707,0.969,11498.7485,359.1707_0.969,359.1707_0.969,1,,,,
360.0443_0.553,360.0443,0.553,1520.8782,Cluster_326.0827_0.551,326.0827_0.551;360.0443_0.553;416.1471_0.55;472.1406_0.536;486.2136_0.553;500.2273_0.54;512.1913_0.544;518.2031_0.538;529.1605_0.542;636.2416_0.539,10,,,,
360.1408_5.971,360.1408,5.971,501.39495,Cluster_361.1028_5.97,359.0986_5.964;360.1408_5.971;361.1028_5.97;741.1854_5.96;771.1956_5.959,5,,,,
360.1841_0.558,360.1841,0.558,3780.50145,360.1841_0.558,360.1841_0.558,1,,,,
361.0561_1.032,361.0561,1.032,1210.47205,Cluster_213.9964_1.026,213.9964_1.026;361.0561_1.032,2,,,,
361.0709_0.548,361.0709,0.548,10946.203,Cluster_361.0709_0.548,361.0709_0.548;557.1283_0.563;731.249_0.551,3,,,,
361.0718_3.973,361.0718,3.973,1712.26215,Cluster_361.0718_3.973,361.0718_3.973;723.1416_3.964;725.1467_3.974,3,,,,
361.0904_5.706,361.0904,5.706,77899.305,Cluster_361.0904_5.706,361.0904_5.706;363.0876_5.702;363.0877_5.702,3,,,,
361.1028_5.97,361.1028,5.97,1274.12085,Cluster_361.1028_5.97,359.0986_5.964;360.1408_5.971;361.1028_5.97;741.1854_5.96;771.1956_5.959,5,,,,
361.103_5.121,361.103,5.121,1186.1584,Cluster_359.0981_5.122,359.0981_5.122;361.103_5.121;559.1111_5.114,3,,,,
361.12_2.246,361.12,2.246,4393.12315,361.12_2.246,361.12_2.246,1,,,,
361.1209_3.29,361.1209,3.29,25538.1485,361.1209_3.29,361.1209_3.29,1,,,,
361.1498_0.533,361.1498,0.533,43284.375,361.1498_0.533,361.1498_0.533,1,,,,
361.1498_5.087,361.1498,5.087,8416.24075,361.1498_5.087,361.1498_5.087,1,,,,
361.1499_3.707,361.1499,3.707,11250.2405,361.1499_3.707,361.1499_3.707,1,,,,
361.1499_4.125,361.1499,4.125,18605.4475,361.1499_4.125,361.1499_4.125,1,,,,
362.028_5.344,362.028,5.344,21119.6805,Cluster_362.028_5.344,362.028_5.344;445.9892_5.344,2,,,,
363.0285_3.294,363.0285,3.294,14527.2415,363.0285_3.294,363.0285_3.294,1,,,,
363.0285_3.439,363.0285,3.439,16222.395,363.0285_3.439,363.0285_3.439,1,,,,
363.0705_4.001,363.0705,4.001,4299.2757,363.0705_4.001,363.0705_4.001,1,,,,
363.0706_2.372,363.0706,2.372,28589.157,363.0706_2.372,363.0706_2.372,1,,,,
363.0752_3.254,363.0752,3.254,89555.3575,363.0752_3.254,363.0752_3.254,1,,,,
363.0798_3.605,363.0798,3.605,104791.3,Cluster_181.0368_3.602,181.0368_3.602;363.0798_3.605,2,,,,
363.0857_2.443,363.0857,2.443,10079.1135,363.0857_2.443,363.0857_2.443,1,,,,
363.0876_5.702,363.0876,5.702,27918.6965,Cluster_361.0904_5.706,361.0904_5.706;363.0876_5.702;363.0877_5.702,3,,,,
363.0877_5.702,363.0877,5.702,27918.6965,Cluster_361.0904_5.706,361.0904_5.706;363.0876_5.702;363.0877_5.702,3,,,,
363.1077_2.178,363.1077,2.178,5501.7845,363.1077_2.178,363.1077_2.178,1,,,,
363.1655_0.542,363.1655,0.542,26835.1175,363.1655_0.542,363.1655_0.542,1,,,,
363.1655_4.146,363.1655,4.146,12535.105,363.1655_4.146,363.1655_4.146,1,,,,
363.1799_0.52,363.1799,0.52,7487.9565,Cluster_363.1799_0.52,363.1799_0.52;377.1589_0.517,2,,,,
364.0438_5.529,364.0438,5.529,501.8505,Cluster_326.088_5.533,326.088_5.533;348.0694_5.529;364.0438_5.529;653.183_5.525;675.1649_5.531;691.1383_5.533,6,,,,
364.0847_1.046,364.0847,1.046,1665.73795,364.0847_1.046,364.0847_1.046,1,,,,
364.0853_0.563,364.0853,0.563,4323.86535,Cluster_364.0853_0.563,364.0853_0.563;369.0999_0.562;383.1155_0.56;393.1025_0.57;399.1102_0.549;447.1106_0.562;477.1218_0.56,7,,,,
364.0955_3.54,364.0955,3.54,3067.1361,364.0955_3.54,364.0955_3.54,1,,,,
364.0966_5.48,364.0966,5.48,501.3526,Cluster_223.0542_5.477,206.028_5.477;223.0542_5.477;225.0507_5.487;320.1076_5.48;322.104_5.488;364.0966_5.48;448.058_5.483,7,,,,
364.0972_0.554,364.0972,0.554,1640.8773,364.0972_0.554,364.0972_0.554,1,,,,
365.0183_8.227,365.0183,8.227,186910.72,365.0183_8.227,365.0183_8.227,1,,,,
365.0531_6.568,365.0531,6.568,29526.191,365.0531_6.568,365.0531_6.568,1,,,,
365.1096_4.1,365.1096,4.1,18072.1055,365.1096_4.1,365.1096_4.1,1,,,,
365.1351_6.514,365.1351,6.514,24921.0705,365.1351_6.514,365.1351_6.514,1,,,,
365.1425_0.559,365.1425,0.559,10228.4275,365.1425_0.559,365.1425_0.559,1,,,,
365.1964_0.512,365.1964,0.512,10407.3505,365.1964_0.512,365.1964_0.512,1,,,,
366.0821_3.731,366.0821,3.731,1529.4029,366.0821_3.731,366.0821_3.731,1,,,,
366.1011_0.567,366.1011,0.567,44277.635,Cluster_366.1011_0.567,366.1011_0.567;367.104_0.566,2,,,,
367.0118_2.491,367.0118,2.491,6158.4,367.0118_2.491,367.0118_2.491,1,,,,
367.0119_2.609,367.0119,2.609,4323.0385,367.0119_2.609,367.0119_2.609,1,,,,
367.0434_4.206,367.0434,4.206,15248.1025,Cluster_283.0821_4.197,283.0821_4.197;283.0931_4.194;284.0854_4.192;367.0434_4.206,4,,,,
367.0828_2.357,367.0828,2.357,19225.969,367.0828_2.357,367.0828_2.357,1,,,,
367.104_0.566,367.104,0.566,12732.9655,Cluster_366.1011_0.567,366.1011_0.567;367.104_0.566,2,,,,
367.1049_5.136,367.1049,5.136,10358.662,367.1049_5.136,367.1049_5.136,1,,,,
367.105_6.328,367.105,6.328,5429.89175,Cluster_179.056_6.344,179.056_6.344;367.105_6.328,2,,,,
367.1051_4.102,367.1051,4.102,105239.715,Cluster_367.1051_4.107,367.1051_4.102;367.1051_4.107,2,,,,
367.1051_4.107,367.1051,4.107,107250.325,Cluster_367.1051_4.107,367.1051_4.102;367.1051_4.107,2,,,,
367.1133_5.469,367.1133,5.469,502.0107,367.1133_5.469,367.1133_5.469,1,,,,
367.1156_5.688,367.1156,5.688,2533.92085,Cluster_367.1156_5.688,367.1156_5.688;389.1082_5.685;390.1122_5.687;403.0887_5.682;432.1659_5.679;533.132_5.677,6,,,,
367.1391_0.519,367.1391,0.519,21791.867,367.1391_0.519,367.1391_0.519,1,,,,
367.1579_1.338,367.1579,1.338,3770.7709,367.1579_1.338,367.1579_1.338,1,,,,
367.1582_0.557,367.1582,0.557,162683.555,Cluster_367.1582_0.557,367.1582_0.557;413.1994_0.57,2,,,,
367.212_0.875,367.212,0.875,6395.9575,367.212_0.875,367.212_0.875,1,,,,
368.0543_2.66,368.0543,2.66,1922.3855,368.0543_2.66,368.0543_2.66,1,,,,
368.0807_3.064,368.0807,3.064,19283.5255,368.0807_3.064,368.0807_3.064,1,,,,
368.0985_4.469,368.0985,4.469,1237.98045,368.0985_4.469,368.0985_4.469,1,,,,
368.1164_0.563,368.1164,0.563,9320.502,368.1164_0.563,368.1164_0.563,1,,,,
368.9721_1.846,368.9721,1.846,32503.427,Cluster_384.9455_1.844,368.9721_1.846;384.9455_1.844;392.0474_1.846,3,,,,
369.0281_4.932,369.0281,4.932,4270.199,369.0281_4.932,369.0281_4.932,1,,,,
369.0507_1.9,369.0507,1.9,16973.5985,369.0507_1.9,369.0507_1.9,1,,,,
369.0843_6.594,369.0843,6.594,43346.155,369.0843_6.594,369.0843_6.594,1,,,,
369.0995_3.487,369.0995,3.487,18824.503,Cluster_369.0995_3.487,139.04_3.487;369.0995_3.487;383.1145_3.487;385.0942_3.497;413.0893_3.487,5,,,,
369.0999_0.562,369.0999,0.562,2414.9122,Cluster_364.0853_0.563,364.0853_0.563;369.0999_0.562;383.1155_0.56;393.1025_0.57;399.1102_0.549;447.1106_0.562;477.1218_0.56,7,,,,
369.1208_5.681,369.1208,5.681,13817.4465,369.1208_5.681,369.1208_5.681,1,,,,
369.1312_0.552,369.1312,0.552,2783.58855,369.1312_0.552,369.1312_0.552,1,,,,
369.1547_0.523,369.1547,0.523,25567.1885,369.1547_0.523,369.1547_0.523,1,,,,
369.1736_1.402,369.1736,1.402,6738.8487,369.1736_1.402,369.1736_1.402,1,,,,
369.1739_0.556,369.1739,0.556,255685.635,369.1739_0.556,369.1739_0.556,1,,,,
370.0777_7.194,370.0777,7.194,6497.7868,Cluster_370.0777_7.194,313.0562_7.207;370.0777_7.194,2,,,,
370.0777_4.777,370.0777,4.777,2389.96875,370.0777_4.777,370.0777_4.777,1,,,,
370.0962_2.969,370.0962,2.969,13604.2365,370.0962_2.969,370.0962_2.969,1,,,,
370.1324_0.553,370.1324,0.553,4989.7019,370.1324_0.553,370.1324_0.553,1,,,,
370.1613_5.455,370.1613,5.455,1283.06465,370.1613_5.455,370.1613_5.455,1,,,,
371.0942_2.275,371.0942,2.275,28595.5695,371.0942_2.275,371.0942_2.275,1,,,,
371.0949_1.639,371.0949,1.639,501.92515,Cluster_468.0783_1.65,371.0949_1.639;468.0783_1.65,2,,,,
371.0979_5.681,371.0979,5.681,4294.0495,371.0979_5.681,371.0979_5.681,1,,,,
371.1155_4.831,371.1155,4.831,1035.9566,371.1155_4.831,371.1155_4.831,1,,,,
371.1362_5.68,371.1362,5.68,6192.9265,Cluster_217.0487_5.68,217.0487_5.68;219.0456_5.678;371.1362_5.68,3,,,,
371.137_5.203,371.137,5.203,1527.0977,371.137_5.203,371.137_5.203,1,,,,
371.1712_0.531,371.1712,0.531,16010.958,371.1712_0.531,371.1712_0.531,1,,,,
372.0936_4.817,372.0936,4.817,3787.07725,372.0936_4.817,372.0936_4.817,1,,,,
372.1476_0.515,372.1476,0.515,7853.309,372.1476_0.515,372.1476_0.515,1,,,,
372.1824_0.563,372.1824,0.563,5247.097,372.1824_0.563,372.1824_0.563,1,,,,
372.9904_4.024,372.9904,4.024,501.39495,Cluster_372.9904_4.024,372.9904_4.024;374.9871_4.025;452.947_4.018,3,,,,
373.0618_1.02,373.0618,1.02,501.98635,373.0618_1.02,373.0618_1.02,1,,,,
373.0775_7.367,373.0775,7.367,501.4977,373.0775_7.367,373.0775_7.367,1,,,,
373.1121_3.415,373.1121,3.415,2739.88185,Cluster_373.1121_3.415,309.0284_3.408;373.1121_3.415;455.1171_3.398;465.1093_3.411,4,,,,
373.1136_4.555,373.1136,4.555,10867.0795,Cluster_373.1136_4.555,373.1136_4.555;389.1072_4.558,2,,,,
373.1499_0.521,373.1499,0.521,17617.5685,373.1499_0.521,373.1499_0.521,1,,,,
373.1519_4.556,373.1519,4.556,1642.024,Cluster_373.1519_4.556,373.1519_4.556;501.1416_4.549,2,,,,
373.1862_0.927,373.1862,0.927,6620.6015,373.1862_0.927,373.1862_0.927,1,,,,
374.0682_4.077,374.0682,4.077,2000.65325,Cluster_311.0736_4.073,311.0736_4.073;374.0682_4.077;410.9958_4.065,3,,,,
374.1159_2.313,374.1159,2.313,3756.01935,374.1159_2.313,374.1159_2.313,1,,,,
374.1568_4.504,374.1568,4.504,501.98635,Cluster_261.0072_4.508,1197.2671_4.513;1609.3441_4.515;261.0072_4.508;374.1568_4.504;471.0812_4.517;747.2344_4.511;755.2208_4.526;785.1906_4.517;787.1935_4.517,9,,,,
374.9871_4.025,374.9871,4.025,501.39495,Cluster_372.9904_4.024,372.9904_4.024;374.9871_4.025;452.947_4.018,3,,,,
375.0208_1.56,375.0208,1.56,30924.4315,375.0208_1.56,375.0208_1.56,1,,,,
375.091_3.638,375.091,3.638,2449.022,375.091_3.638,375.091_3.638,1,,,,
375.0929_6.899,375.0929,6.899,501.39495,375.0929_6.899,375.0929_6.899,1,,,,
375.1189_4.534,375.1189,4.534,1104.72945,Cluster_375.1189_4.534,375.1189_4.534;573.1254_4.531,2,,,,
375.1293_5.379,375.1293,5.379,4779.88915,375.1293_5.379,375.1293_5.379,1,,,,
376.1792_0.567,376.1792,0.567,7712.694,Cluster_350.1635_0.57,350.1635_0.57;376.1792_0.567,2,,,,
376.2119_0.518,376.2119,0.518,3817.527,376.2119_0.518,376.2119_0.518,1,,,,
376.9945_4.037,376.9945,4.037,501.39495,Cluster_213.0766_4.042,213.0766_4.042;376.9945_4.037;625.03_4.043;627.0283_4.044,4,,,,
377.0115_3.125,377.0115,3.125,2781.672,Cluster_188.0023_3.128,188.0023_3.128;189.998_3.128;377.0115_3.125;452.079_3.126,4,,,,
377.0853_6.452,377.0853,6.452,28501.8995,Cluster_377.0853_6.452,377.0853_6.452;379.0822_6.457,2,,,,
377.0894_5.128,377.0894,5.128,22736.063,377.0894_5.128,377.0894_5.128,1,,,,
377.114_3.199,377.114,3.199,44560.0765,377.114_3.199,377.114_3.199,1,,,,
377.1447_5.659,377.1447,5.659,5055.9815,377.1447_5.659,377.1447_5.659,1,,,,
377.1589_0.517,377.1589,0.517,4156.262,Cluster_363.1799_0.52,363.1799_0.52;377.1589_0.517,2,,,,
377.1809_0.526,377.1809,0.526,15532.6455,377.1809_0.526,377.1809_0.526,1,,,,
377.196_0.515,377.196,0.515,7258.4825,377.196_0.515,377.196_0.515,1,,,,
378.1013_0.561,378.1013,0.561,131679.02,378.1013_0.561,378.1013_0.561,1,,,,
379.0335_7.386,379.0335,7.386,11530.7725,379.0335_7.386,379.0335_7.386,1,,,,
379.0685_6.344,379.0685,6.344,12868.755,379.0685_6.344,379.0685_6.344,1,,,,
379.0686_4.02,379.0686,4.02,31991.776,379.0686_4.02,379.0686_4.02,1,,,,
379.0822_6.457,379.0822,6.457,10277.6155,Cluster_377.0853_6.452,377.0853_6.452;379.0822_6.457,2,,,,
379.0906_1.882,379.0906,1.882,13673.367,Cluster_395.0644_1.898,379.0906_1.882;395.0644_1.898,2,,,,
379.1048_4.043,379.1048,4.043,5742.5215,379.1048_4.043,379.1048_4.043,1,,,,
379.1109_3.622,379.1109,3.622,10239.525,Cluster_197.068_3.613,197.068_3.613;379.1109_3.622,2,,,,
379.1403_0.524,379.1403,0.524,3059.88485,Cluster_379.1403_0.524,379.1403_0.524;520.2883_0.516;534.3049_0.524;536.3204_0.517;544.2892_0.523,5,,,,
379.1601_0.575,379.1601,0.575,12071.2205,379.1601_0.575,379.1601_0.575,1,,,,
379.1604_4.758,379.1604,4.758,6895.051,379.1604_4.758,379.1604_4.758,1,,,,
379.1606_5.126,379.1606,5.126,17261.132,379.1606_5.126,379.1606_5.126,1,,,,
379.1966_0.529,379.1966,0.529,3196.8137,379.1966_0.529,379.1966_0.529,1,,,,
380.1156_0.558,380.1156,0.558,24431.4845,380.1156_0.558,380.1156_0.558,1,,,,
380.8433_5.323,380.8433,5.323,43364.461,Cluster_128.9597_5.323,128.9596_5.328;128.9597_5.323;296.8821_5.318;296.8821_5.319;380.8433_5.323,5,,,,
381.0129_8.686,381.0129,8.686,3433.0985,381.0129_8.686,381.0129_8.686,1,,,,
381.0803_5.931,381.0803,5.931,501.67095,Cluster_457.0951_5.947,381.0803_5.931;418.1866_5.933;427.0858_5.939;457.0951_5.947;839.1826_5.941,5,,,,
381.1162_2.416,381.1162,2.416,3013.48715,Cluster_355.1198_2.415,355.1198_2.415;381.1162_2.416,2,,,,
381.1368_3.661,381.1368,3.661,1893.0382,381.1368_3.661,381.1368_3.661,1,,,,
381.137_0.563,381.137,0.563,34619.1915,381.137_0.563,381.137_0.563,1,,,,
381.1378_0.984,381.1378,0.984,2635.78625,381.1378_0.984,381.1378_0.984,1,,,,
381.1544_0.536,381.1544,0.536,7018.1972,Cluster_381.1544_0.536,381.1544_0.536;395.1347_0.543;543.2079_0.542;593.2086_0.54;597.1638_0.545;645.2646_0.537;709.3254_0.54;765.3164_0.548;767.3309_0.553;781.3096_0.55,10,,,,
381.1547_2.676,381.1547,2.676,1281.29765,381.1547_2.676,381.1547_2.676,1,,,,
382.1367_0.564,382.1367,0.564,9572.91975,382.1367_0.564,382.1367_0.564,1,,,,
383.0437_4.326,383.0437,4.326,4959.22315,383.0437_4.326,383.0437_4.326,1,,,,
383.074_2.432,383.074,2.432,16621.783,Cluster_295.0609_2.42,295.0609_2.42;339.068_2.418;383.074_2.432;409.0712_2.434,4,,,,
383.0963_0.55,383.0963,0.55,1696.3432,Cluster_383.0963_0.55,383.0963_0.55;461.0882_0.546,2,,,,
383.0977_4.787,383.0977,4.787,5301.25905,383.0977_4.787,383.0977_4.787,1,,,,
383.1145_3.487,383.1145,3.487,1989.44155,Cluster_369.0995_3.487,139.04_3.487;369.0995_3.487;383.1145_3.487;385.0942_3.497;413.0893_3.487,5,,,,
383.1149_2.356,383.1149,2.356,3158.6083,Cluster_469.1127_2.353,383.1149_2.356;425.1051_2.345;469.1127_2.353,3,,,,
383.1155_0.56,383.1155,0.56,3076.807,Cluster_364.0853_0.563,364.0853_0.563;369.0999_0.562;383.1155_0.56;393.1025_0.57;399.1102_0.549;447.1106_0.562;477.1218_0.56,7,,,,
383.1166_1.001,383.1166,1.001,1515.69185,383.1166_1.001,383.1166_1.001,1,,,,
383.1188_6.011,383.1188,6.011,3563.0387,383.1188_6.011,383.1188_6.011,1,,,,
383.1527_0.571,383.1527,0.571,61106.335,383.1527_0.571,383.1527_0.571,1,,,,
383.153_2.502,383.153,2.502,41448.168,383.153_2.502,383.153_2.502,1,,,,
383.1703_0.521,383.1703,0.521,38427.0215,383.1703_0.521,383.1703_0.521,1,,,,
384.0756_3.321,384.0756,3.321,11989.9,384.0756_3.321,384.0756_3.321,1,,,,
384.9349_5.837,384.9349,5.837,97066.3175,Cluster_248.9602_5.84,248.9602_5.84;316.9476_5.834;384.9349_5.837;452.9223_5.835;520.9097_5.839;588.8971_5.836;656.8844_5.84,7,,,,
384.9454_1.825,384.9454,1.825,35156.053,Cluster_384.9454_1.825,384.9454_1.825;392.0473_1.83,2,,,,
384.9455_1.844,384.9455,1.844,39356.612,Cluster_384.9455_1.844,368.9721_1.846;384.9455_1.844;392.0474_1.846,3,,,,
385.0454_3.618,385.0454,3.618,5381.71,385.0454_3.618,385.0454_3.618,1,,,,
385.0755_3.251,385.0755,3.251,1960.69575,385.0755_3.251,385.0755_3.251,1,,,,
385.0942_3.497,385.0942,3.497,3673.54095,Cluster_369.0995_3.487,139.04_3.487;369.0995_3.487;383.1145_3.487;385.0942_3.497;413.0893_3.487,5,,,,
385.1497_0.527,385.1497,0.527,26342.866,Cluster_429.1759_0.524,385.1497_0.527;429.1759_0.524,2,,,,
