mz_rt,row ID,6101_U4_C18POS_14,6110_U2_C18POS_34,6104_U2_C18POS_19,6109_U4_C18POS_22,6111_U1_C18POS_51,6110_U3_C18POS_45,6105_U1_C18POS_43,6111_U4_C18POS_42,6113_U2_C18POS_31,6105_U2_C18POS_40,6109_U1_C18POS_58,6113_U4_C18POS_62,6102_U1_C18POS_26_1,6102_U2_C18POS_16,6105_U4_C18POS_47,6105_U3_C18POS_39,6111_U2_C18POS_35,6103_U4_C18POS_53,6102_U3_C18POS_48,6102_U4_C18POS_50,6104_U4_C18POS_12,6101_U1_C18POS_59,6103_U3_C18POS_61,6108_U2_C18POS_27_1,6103_U2_C18POS_60,6101_U2_C18POS_30,6112_U2_C18POS_37,6113_U1_C18POS_24,6108_U4_C18POS_18,6104_U1_C18POS_55,6113_U3_C18POS_15,6101_U3_C18POS_29_1,6106_U3_C18POS_20,6106_U2_C18POS_46,6108_U1_C18POS_44,6111_U3_C18POS_54,6112_U4_C18POS_63,6109_U3_C18POS_52,6110_U1_C18POS_11,6110_U4_C18POS_start-10,6112_U3_C18POS_56,6108_U3_C18POS_28_1,6103_U1_C18POS_21,6106_U1_C18POS_23,6109_U2_C18POS_13,6106_U4_C18POS_36,6112_U1_C18POS_38,PooledQC6_C18POS_17,PooledQC11_C18POS_57,PooledQC9_C18POS_41,6104_U3_C18POS_32,PooledQC10_C18POS_49,PooledQC12_C18POS_64,PrerunPooledQC5tryagain-addednew3_C18POS_14_1,PooledQC8_C18POS_33,PooledQC7_C18POS_25,...63
138.0551_0.654,336,125734.35,216849.97,143328.06,246837.06,92801.32,83293.9,36858.23,130814.586,1393257.6,123103.984,392292.22,143428.25,46380.996,132326.73,97073.35,56507.21,157670.45,218214.86,39503.566,135499.39,80067.94,83028.76,174254.11,181274.6,163527.64,188395.62,44222.59,43949.84,244262.55,82832.91,38587.51,107825.01,242678.1,343657.62,86314.03,42247.773,46206.633,107509.305,283609.06,246085.19,63343.44,167733.6,150551.28,208254.4,130986.28,342606.12,115579.4,197472.05,177719.11,192531.1,302230.72,192822.72,200600.08,193925.88,192038.1,198854.8,NA
146.0812_0.71,347,54219.133,20781.418,40668.36,99887.98,47173.824,18911.008,40940.215,24872.361,24007.66,30640.75,27099.348,22114.148,45848.523,125525.69,21776.473,25718.527,37159.332,22173.117,30966.44,105016.37,26798.568,43812.707,36640.03,34921.055,29405.654,79537.914,26826.594,28483.24,31768.691,44321.703,30528.7,24834.799,28438.957,20523.223,57980.05,63726.844,34242.84,81084.36,63139.2,18897.375,47294.816,25759.1,26890.781,31602,92761.69,32690.756,53246.676,39297.7,33745.39,33128.355,35082.824,32532.244,31269.018,35092.543,37895.293,34589.145,NA
141.0659_0.655,348,46862.863,27037.74,30959.947,7192.348,15063.315,64934.58,32198.27,12626.202,29969.152,43337.91,45054.9,29905.693,25272.854,30897.943,43810.047,68244.98,15862.986,30187.207,28700.19,28642.127,36778.797,28892.086,81668.984,31165.08,83487.68,83502.59,9769.39,17143.117,29631.227,26029.719,39211.535,51389.67,25503.445,14771.286,29547.633,40834.305,11364.266,9736.889,73269.414,49276.027,29663.031,34091.1,41924.383,36252.297,11256.775,11958.013,9651.501,34932.746,31589.545,30761.455,28604.637,32075.223,32689.156,33948.477,31135.277,33159.797,NA
138.0639_0.655,353,10380.33,15390.722,10428.8,16997.035,82985.66,82403.78,41550.125,9892.411,44309.18,106494.81,24551.668,142658.55,4487.917,10503.328,8895.247,5237.6943,124662.336,15737.054,4381.338,11291.244,6845.1465,6216.83,14066.471,14782.983,12761.703,14045.981,42206.535,3320.7996,18672.502,82816.42,3697.4631,7931.8457,247520.45,342684.56,82938.12,30615.014,73134.664,130506.63,19860.37,16374.623,65791.81,11601.502,11483.515,193694.34,9804.832,351857.25,143380.98,14364.696,14169.388,14245.843,20731.572,15151.503,13277.964,14735.986,14731.284,15589.09,NA
287.1967_0.655,354,38171.938,NA,53357.316,NA,15873.469,NA,20111.207,NA,2281.715,NA,1213.765,NA,26591.006,4011.0627,2470.0793,NA,5208.1333,NA,18826.307,138915.52,8442.679,13445.49,NA,17792.941,3329.3389,35730.29,4835.3486,1307.1154,4251.9355,54176.246,12074.495,2528.0757,NA,NA,76099.28,34803.82,2173.049,216992.31,2735.067,NA,9442.566,3986.5818,NA,1277.0911,1186195.2,NA,135463.81,20882.936,16436.703,19392.123,85437.47,25200.008,24603.191,26918.492,21138.96,21855.64,NA
132.0768_0.656,355,102171.64,20472.926,29467.332,194486.16,64239.285,72119.55,83696.164,129045.69,48406.36,165658.55,132142.17,27241.617,44125.566,58741.52,144892.12,240640.11,75158.375,17981.012,56217.082,31750.125,52312.766,84320.06,51313.6,47335.652,46111.598,154471.31,26098.639,47311.72,54650.082,45585.95,48541.547,190137.83,27812.71,11841.1455,53236.543,106080.266,21745.107,16078.488,63256.68,43673.64,26468.41,46154.484,41376.62,42423.746,34319.23,29772.709,29739.541,68374.11,63368.426,67122.82,33277.836,70828.266,67897.586,65903.48,64341.742,73935.84,NA
144.1023_0.656,356,2249297,82423.11,2413154,231220.86,1090104,147024.89,1080873.1,107517.94,364330.66,119164.164,260111.25,63930.55,1538021.2,580064.94,337543.22,208938.36,756015.44,141394.69,1328578.4,3450005.8,749965.2,1039083.44,101872.43,1213564.1,437332.03,2225698.5,527793.2,167021.27,760786.7,2326420.5,982150.56,454750.72,43108.938,33689.062,2909441.8,1996891.5,390764.5,3699279.8,367751.62,78973.68,808800.5,455458.22,179203.17,334371.34,6633584,42367.406,3117459.2,1473575.5,1164282.1,1423198.6,3052536.2,1488867.1,1468456.4,1555249.5,1410736,1487974.5,NA
144.1103_0.66,382,35995.79,6598.4297,35228.082,15793.287,36764.2,10564.48,42704.19,8157.9023,25689.11,122492.72,17946.723,57084.047,32521.36,31915.162,23559.646,13907.916,34820.04,10499.69,31932.273,38541.023,37233.914,40771.223,86661.48,36869.523,28380.084,39899.07,34205.797,12126.116,35618.254,35032.418,42657.52,28890.383,41089.855,44933.324,33040.617,39975.152,27390.266,3665613,26142.107,6184.997,29481.318,28957.152,13906.93,22729.934,35492.215,40588.22,3778095.8,39847.918,39115.67,37743.06,36583.5,36121.168,36552.426,36376.195,39339.91,33363.945,NA
160.1332_0.662,417,25178.607,16426.182,37241.234,37222.656,23106.953,23403.703,69699.664,26386.127,18685.67,51638.207,83994.26,38091.93,23758.639,17220.434,64004.695,61489.46,30743.809,19511.166,41930.15,21652.363,31427.857,37449.47,23482.963,24345.477,19362.217,11245.277,21765.896,36164.883,18962.38,15208.154,34259.242,55245.29,24624.822,30674.547,32815.254,29938.703,24867.758,22500.94,37145.492,29871.852,18609.242,40641.812,9048.164,101102.625,35841.562,15044.986,30151.617,32376.223,24473.494,29502.867,32895.105,30128.324,31754.545,30359.975,31033.916,31260.225,NA
145.1054_0.656,422,160083.36,8009.095,169445.14,22447.764,91098.41,11784.501,86164.086,9631.259,33875.973,11194.424,30616.879,8778.131,122245.15,49294.98,29536.951,19144.299,60501.336,10995.916,106466.01,222471.72,61198.69,83691.234,8512.054,94944.44,42873.492,155487.17,48085.266,15791.389,64289.65,163490.61,83903.016,39019.527,5266.036,3477.7935,186862.58,131710.7,33011.21,242683.5,29839.674,7119.0513,69756.58,37045.695,17026.19,29590.572,573926.3,4475.667,207439.23,119130.72,99203.945,101587.7,196979.05,116588.35,113052.2,119915.31,116184.07,121909.39,NA
144.1283_0.662,424,90785.28,3443.807,95832.96,7652.473,28701.248,5183.763,46707.273,1381.5828,13269.917,6160.3975,9421.802,2334.037,64918.79,23590.771,12949.463,7480.6743,30074.834,1444.0886,54126.957,128617.58,28894.54,46469.484,1424.6201,48710.395,17190.557,84141,20987.379,1912.1577,31762.8,17888.992,42983.082,16973.064,NA,1607.3301,112808.4,75944.63,14352.229,25795.764,14444.567,1155.5233,34231.633,16232.684,1666.3208,12544.817,132640.67,2482.462,122396.02,62592.67,47847.434,62216.406,117200.7,62222.707,63166.37,63111.254,57159.977,63403.934,NA
61.0395_0.663,437,789264.3,401499,781609.2,466744.22,575581.9,768352.1,813130.5,690864.1,834101.25,777276.6,718307.1,455112.8,784929.1,796798.6,516673.78,728331.56,818655,324676.38,717644.75,664710.5,588093.44,744197.94,554599.3,823125.94,483861.94,785587.06,499582.84,400944.2,1047197.94,522006.22,668625.4,811460,392659.6,380235.66,911242.9,810521.2,588284.2,363625.47,954988.5,787818,472628.25,715919.5,490103.88,675587.6,509073.97,247748.22,678674.44,689707,630401.7,556035.8,804885.2,533709.56,604519.7,621466.3,588002.94,674559.25,NA
217.1547_0.664,441,19810.703,18444.312,10046.859,39379.734,32070.447,23198.53,28594.074,42697.39,17028.469,48589.734,84475.96,11484.144,7431.131,10313.347,23925.896,41308.207,44308.367,14576.112,10080.563,7335.081,11290.819,19136.836,23526.898,77749.95,21719.012,19854.588,50782.195,8289.817,139199.62,13099.747,10604.843,22021.611,12834.723,6426.9272,72991.945,42964.715,43820.59,31147.717,24529.969,29063.61,37278.5,85866.086,17353.023,20837.889,39121.234,6525.268,39690.46,33549.65,33311.96,30008.488,13436.346,31694.055,27383.629,31176.05,30337.24,32457.512,NA
204.1231_0.665,452,120584.51,33222.277,88719.1,143365.53,71721.99,23989.373,274169.97,34180.633,48965.875,261043.53,279600.78,189679.05,115474.6,52398.85,242477,218851,20035.307,74576.89,191743.64,107204.125,355746.78,250668.89,62818.97,88139.914,27208.92,31643.768,17022.34,252915.38,48776.51,101501.14,85885.516,265223.22,61624.52,44261.707,64359.99,66599.87,17834.459,53031.785,113094.51,160142.5,22399.201,134563.55,15400.558,448036.97,140851.53,17572.434,31026.328,111070.04,105912.555,101533.74,97390.95,99532.15,107318.84,110910.15,108411.05,107820.56,NA
203.139_0.665,463,26403.643,21969.307,17469.78,35948.07,25248.447,30821.715,33009.586,31117.125,17686.914,42279.41,54083.832,27365.008,31717.049,33868.562,28167.549,35410.97,29582.62,27240.652,21849.877,22799.41,27083.412,33203.074,35776.926,38626.074,45977.016,35442.324,33285.445,31520.215,49986.766,23346.914,26845.578,29452.148,31870.363,13917.925,42091.246,30280.268,27552.191,27081.066,34909.33,23688.996,28615.406,49404.19,34586.848,29852.252,38071.31,28759.498,23949.37,30261.014,29713.363,25653.99,16518.637,28636.305,30380.383,30678,30722.283,29883.25,NA
269.1244_0.667,470,19385.746,17957.307,19324.125,17335.531,25258.434,33076.94,19627.56,20836.64,29824.443,19690.375,14551.766,22030.658,35855,44754.016,20106.02,20515.525,28354.71,11894.746,44951.863,34067.242,21123.305,15960.001,17564.594,12420.384,19726.293,18106.549,14504.385,23729.385,17768.371,21487.559,25137.734,17791.047,12089.554,6333.65,19329.227,34589.023,11897.145,5241.8125,35578.727,22521.54,14112.948,15133.016,18521.488,12431.938,6083.349,8846.887,16036.3545,23490.096,24073.049,21189.162,21818.574,18734.73,23261.318,21308.852,19014.6,21862.918,NA
229.1182_0.667,473,57381.465,30520.115,33545.82,32509.328,25366.92,46002.297,60180.73,33973.176,56032.473,44464.676,36041.562,47578.723,37324.387,45498.9,57077.914,37938.062,26354.826,34899.73,83391.03,52653.84,40597.176,52122.742,43824.973,21023.432,51784.566,65769.164,25420.129,37659.164,25638.203,39178.855,81337.53,46231.887,46167.52,33430.586,35313.316,43579.223,20930.338,22944.736,38433.016,37736.855,25684.184,37619.402,30091.994,62596.33,28953.402,33872.945,23126.154,38668.773,42656.004,37720.066,27109.98,37832.05,39645.094,41535.47,40512.633,39343.168,NA
276.1442_0.669,482,15400.617,11340.437,22411.62,19181.928,13917.494,19134.973,19060.932,17690.389,9814.673,23175.45,34945.91,11419.053,14505.738,18710.98,14975.592,19673.215,20411.049,12446.48,17292.55,13712.779,26862.557,22305.074,21349.041,21455.941,21344.709,18888.246,145532.94,14945.972,26928.111,23772.037,13544.441,19093.938,17344.533,13207.1875,25217.191,17918.734,111119.61,14366.44,25457.033,19775.156,87752.266,26389.18,21671.043,19810.143,17805.92,14729.298,174653.34,19549.178,22340.66,17509.344,19311.01,18183.195,11106.666,19506.568,18154.723,19576.246,NA
166.0723_0.669,491,25891.25,17601.975,21611.443,11721.357,19229.55,31972.246,25366.79,19420.08,11705.592,18098.498,31479.49,24206.125,22789.408,30620.95,18839.906,21042.41,19145.85,16021.886,20511.596,22492.209,19415.06,18732.88,18558.238,17691.03,28599.188,24021.135,22785.518,16357.711,24248.982,25060.225,18945.277,21795.588,23109.271,12441.051,17532.842,18724.93,18520.762,32385.006,26216.492,22157.812,16475.52,20339.727,64826.473,21493.93,74167.93,27964.94,24764.459,20284.633,21885.86,20099.592,21513.428,21871.127,17583.117,21731.396,22856.25,18930.271,NA
