p.value,m.z,t.score,r.t,pos_inx
0.242,151.045,1.242863256,4.576,0
0.243,405.118,-1.24203468,5.456,0
0.243,433.2362,1.240524607,4.04,1
0.244,515.1648,-1.236636065,5.296,0
0.247,229.0982,1.229854854,5.024,1
0.247,230.1106,-1.230112868,4.213,1
0.247,302.196,1.23030004,3.701,1
0.248,191.0201,-1.227924806,1.159,0
0.248,182.0715,-1.226422639,2.896,1
0.248,413.1411,1.227417027,0.782,1
0.249,491.191,-1.225231971,4.507,0
0.25,349.0869,-1.221196318,0.775,1
0.252,391.1968,-1.214649893,5.431,0
0.253,338.2323,1.214125488,5.729,1
0.254,328.2482,1.209063664,6.065,1
0.256,197.0453,-1.205021285,3.76,0
0.259,355.1037,-1.197380147,4.621,0
0.259,401.1094,-1.197026272,4.24,0
0.259,544.1789,-1.197701807,6.025,0
0.259,817.2886,-1.19554208,4.438,0
0.26,154.9984,1.19367602,0.703,0
0.262,184.0979,-1.188083347,4.054,0
0.262,263.1054,-1.188006488,2.91,0
0.262,276.0009,-1.187711218,3.151,0
0.264,512.2857,1.183691306,6.504,1
0.265,219.0509,-1.179524526,2.854,0
0.266,146.0456,1.177831802,0.708,0
0.266,396.1124,-1.17796777,4.459,0
0.267,513.0964,1.175977243,3.899,0
0.268,563.1044,-1.17206233,2.949,0
0.269,411.2021,-1.171077417,4.884,0
0.27,167.0795,-1.16650406,4.248,1
0.271,157.0506,1.16444717,2.959,0
0.271,226.071,1.164196492,3.019,1
0.273,229.15473,1.158911092,1.899,1
0.273,344.2431,1.159072165,4.284,1
0.273,383.0946,-1.160232341,0.768,1
0.274,272.2049,-1.157169013,4.967,1
0.276,224.0561,1.151372945,3.018,0
0.276,395.0857,-1.152495459,2.735,0
0.277,258.044,-1.148603997,2.007,0
0.277,318.191,1.149965474,3.368,1
0.277,410.1459,-1.148582881,4.445,1
0.279,339.1082,-1.144970349,4.74,0
0.279,479.0459,-1.145090379,2.443,0
0.279,272.2044,-1.145298333,4.93,1
0.28,173.9923,1.141868356,0.799,0
0.28,347.0424,-1.141174487,0.697,0
0.281,289.0363,-1.140704506,0.688,0
0.281,514.1681,-1.13897065,4.367,0
0.281,458.202,1.140441057,4.658,1
0.283,350.0889,1.135641962,3.366,0
0.283,170.0447,1.135382397,0.81,1
0.283,562.2489,-1.135771135,5.434,1
0.283,733.3859,-1.13490102,3.912,1
0.284,321.0625,-1.133238983,0.656,0
0.285,405.1518,-1.130761561,6.25,1
0.286,397.1911,-1.126880155,4.067,0
0.286,659.2045,-1.126663957,2.918,0
0.287,179.0556,-1.125573802,0.643,0
0.287,281.11289,1.125727576,0.728,1
0.288,489.0926,-1.121897143,0.758,0
0.288,302.2687,1.123165101,5.39,1
0.289,154.0621,1.120260623,0.609,0
0.289,230.0128,1.119069146,3.042,0
0.289,367.2236,1.118928424,4.071,0
0.291,493.2439,1.114765139,6.516,0
0.291,521.239,1.115475927,6.221,0
0.294,459.0843,1.107017837,2.964,0
0.296,491.2855,1.102745324,6.773,0
0.297,218.1384,-1.10032252,6.89,1
0.297,398.1452,1.099144943,4.007,1
0.298,204.0666,-1.097659104,4.532,0
0.298,365.0528,-1.098371547,0.68,0
0.298,869.3936,-1.097269299,6.15,0
0.299,417.1192,1.09506256,4.5,0
0.3,121.0646,1.092768498,4.206,1
0.301,182.04589,1.089676975,2.174,0
0.303,219.0508,-1.085159123,0.792,0
0.306,407.2799,-1.079895193,5.805,0
