m.z,r.t,p.value,t.score,mode
230.9967,0.757,0.522,0.662788244,negative
230.9968,3.178,0.718,-0.370895516,negative
230.9969,3.457,0.33,-1.024452658,negative
231.0308,0.666,0.886,0.146913633,negative
231.9926,0.79,0.827,0.224551243,negative
232.005,0.705,0.974,0.033607511,negative
232.9759,0.708,0.734,0.349340299,negative
233.0124,2.47,0.0827,1.92819501,negative
235.057,0.641,0.694,0.404610961,negative
235.0957,5.223,0.627,-0.501480766,negative
236.1018,5.033,0.772,-0.297492484,negative
237.0356,3.369,0.544,-0.627654414,negative
237.0359,3.933,0.878,-0.15759915,negative
237.1243,4.614,0.542,-0.631952555,negative
238.0776,4.607,0.9,0.128743978,negative
239.1144,0.622,0.207,1.348957907,negative
240.9816,3.419,0.646,-0.472918661,negative
241.1189,3.536,0.04,2.359263551,negative
241.1193,2.896,0.0696,2.031990926,negative
242.0115,0.695,0.556,0.609725657,negative
242.0128,2.785,0.764,0.308699504,negative
242.0128,3.535,0.734,-0.348942599,negative
243.0329,4.371,0.351,-0.977813323,negative
243.0617,0.662,0.986,0.018485538,negative
243.0779,4.486,0.463,-0.76386929,negative
243.1236,4.74,0.555,0.610722243,negative
243.1344,3.787,0.0807,1.94314945,negative
243.1349,3.353,0.0445,2.29645811,negative
245.0124,3.342,0.637,-0.486284044,negative
245.0433,0.63,0.534,-0.64340529,negative
245.0485,4.677,0.71,0.382155618,negative
245.0488,4.187,0.839,0.208489051,negative
245.0489,3.748,0.847,0.197812995,negative
245.0937,4.487,0.499,-0.701982802,negative
245.1137,0.783,0.325,1.035177686,negative
246.0109,2.385,0.59,-0.557183523,negative
246.0383,2.873,0.506,-0.689924489,negative
246.0383,3.487,0.813,-0.243045435,negative
246.0433,0.669,0.123,-1.682713492,negative
246.0752,4.139,0.946,0.069903939,negative
246.0753,3.721,0.864,-0.17590917,negative
246.1531,5.399,0.088,1.890591919,negative
246.9913,0.705,0.156,1.533449535,negative
246.9917,2.802,0.207,1.349041924,negative
247.0277,0.755,0.963,-0.04730142,negative
247.062,0.659,0.678,0.428135422,negative
247.0798,4.12,0.153,-1.547076705,negative
248.0596,0.808,0.923,0.098803218,negative
250.0718,3.655,0.391,-0.896965262,negative
251.0128,3.524,0.108,-1.763123562,negative
253.0503,5.048,9.00E-07,10.6367442,negative
253.9903,0.661,0.111,1.748763864,negative
254.9816,0.664,0.476,0.739990512,negative
254.9941,3.14,0.597,0.545587149,negative
255.0674,5.078,0.00339,3.816934318,negative
255.1349,3.614,0.0839,1.919229908,negative
255.1349,4.042,0.0929,1.857172161,negative
257.0816,6.056,3.36E-05,7.084908476,negative
258.0424,0.699,0.233,1.268251528,negative
258.044,2.007,0.277,-1.148603997,negative
258.9916,0.797,0.516,-0.674068492,negative
258.9926,3.301,0.568,-0.591141624,negative
259.057,0.712,0.238,1.256249733,negative
259.129,3.733,0.968,-0.040992823,negative
260.0239,2.686,0.774,-0.295545544,negative
260.0254,0.667,0.58,0.572607425,negative
261.0071,3.241,0.453,0.781570821,negative
261.0072,0.769,0.81,-0.246457309,negative
