mass,rt,6101_U4,6110_U2,6104_U2,6109_U4,6111_U1,6110_U3,6105_U1,6111_U4,6113_U2,6105_U2,6109_U1,6113_U4,6102_U1,6102_U2,6105_U4,6105_U3,6111_U2,6103_U4,6102_U3,6102_U4,6104_U4,6101_U1,6103_U3,6108_U2,6103_U2,6101_U2,6112_U2,6113_U1,6108_U4,6104_U1,6113_U3,6101_U3,6106_U3,6106_U2,6108_U1,6111_U3,6112_U4,6109_U3,6110_U1,6110_U4,6112_U3,6108_U3,6103_U1,6106_U1,6109_U2,6106_U4,6112_U1,PooledQC6,PooledQC11,PooledQC9,6104_U3,PooledQC10,PooledQC12,PrerunPooledQC5tryagain-addednew3,PooledQC8,PooledQC7
76.0757,0.642,16.85748088,16.4532580679994,16.5334282905598,14.1814331248322,16.082332819884,17.4494308498769,14.2973550431971,17.1669062178741,19.6724989823259,16.9894141820136,17.2151985941983,16.0199711640123,15.8347962203212,16.3314220053125,16.3499922748296,16.2864797685035,17.2394655141482,14.9313317504998,17.2154012181444,16.9072117294992,15.9391028379809,16.4658628348583,16.6682999630654,16.6067139487464,16.6223676940559,16.3261906805226,16.3659036187838,15.973908877282,17.9174238335607,16.8006603281396,15.8868277979193,17.4045571221719,16.1304718384697,16.8020910650922,16.8246675697264,17.402565351179,16.425700695295,14.5974957260083,16.9081746433593,17.7502798181725,16.6621758414009,16.2969781119265,19.1143824008449,18.3420040901905,16.6027220059194,15.1915233830106,16.2691053640519,16.874865568631,17.0074882435449,17.04592648574,19.1230952970055,17.3847034388266,17.0259434014777,17.2995977649384,17.050449479003,16.9698626984807
114.0669,0.645,21.71771491,21.4837618974471,21.6955127596672,20.639207439355,21.6425243677871,22.2807471589394,22.0780419990769,21.6662147228444,20.9189352794851,22.0769644508753,21.7469672391847,21.43348746057,22.0389923014445,22.1463793604039,21.7342968748531,21.9683637606226,22.0299301395765,20.9406030951994,22.1267315652699,22.0079210774186,21.831637264829,21.524986652292,21.7578874856476,21.7690381083767,21.7471008239547,21.7005034420053,21.1942217760506,21.6387519883256,21.9403750332225,21.8109064092042,21.6858632167777,21.6784338656882,21.4895818417971,20.9659247246915,21.7512497948263,22.1815383874931,21.2271415633396,20.5353518950745,22.2873061928084,21.9207771785379,21.3671863524172,21.6697893694865,21.8316168456022,21.6445874751646,20.5189228471388,21.3923774764965,20.9275910092084,21.6980474188847,21.6658990074183,21.6884895128661,21.2652598020274,21.6411377910908,21.709366297492,21.6536830788949,21.6969455417484,21.7123837884203
193.1547,0.646,15.25579306,13.5496598148459,15.4457857623672,12.2780303688498,14.0332092097115,15.0997646961722,12.354850676762,14.6407619391839,17.7009017431489,14.5576408353079,15.7343220664809,16.1066554907803,14.7142426854405,15.1728901425008,14.3711622600639,14.1662626606849,15.1586148479952,11.7482818688248,16.2042454162295,15.8488622532047,14.654574976894,15.2949768548571,14.1701597690449,14.9236175282948,14.0849378935892,15.3482947602007,12.6966908506856,15.7551501764009,15.4324154874621,15.3083080557189,15.6123505681508,16.2892855985059,12.8394084194787,11.5373934970179,15.1225493933289,15.392133399343,12.9226743573266,12.1318625520126,14.2825137619762,15.0681323179062,13.7090070193394,14.4093671537718,14.1984664304711,14.3148898875622,14.877143405257,10.828420033276,12.4939198223966,14.9905189249933,14.8293905759601,14.9876505148454,16.0057379687409,15.2319911607576,15.1143746427932,15.1448600941213,14.9887195905382,14.8782481471522
219.1705,0.65,19.03354695,14.0426444803808,18.9732207297695,13.6530158577538,17.7322500337067,15.6445082107814,15.825360863631,14.7295031671464,17.6382904085491,14.2859050815338,16.5606874643339,13.8833019248923,17.7510272909257,17.142054512611,16.0833523032182,15.1094710234859,17.9620743588928,13.7209275409663,18.8166585387087,19.6658170161832,17.0103744463887,17.9841484122851,14.494760318956,18.3016235195455,16.965089667459,18.8476188843518,16.6101051832378,15.06966633087,18.347980281985,19.1130483336687,17.426526959798,17.5814527758472,12.4989788380955,12.0718144975257,19.3878670836974,19.1730689050539,17.0027795733064,17.1404812109126,16.5914615437513,14.9127846185638,17.9883018595987,16.5156805926983,16.4105372242558,17.6822732854913,21.1286607301455,11.6459644109361,18.3492558334744,18.6114314681891,18.512442209446,18.5136296208899,20.2453887648174,19.0740368858632,18.7188018234057,18.8781957839043,18.4229617711606,18.5590572807132
163.1243,0.654,9.984872274,8.93805337906343,10.4421845548182,12.2406369728406,11.9294165140435,10.7665403683799,10.8361862163405,8.91294048799214,8.93469173354613,13.4942185736235,10.4830177730926,12.7196341348206,10.9148011549382,10.2023917307879,10.4637126879073,10.672304515715,8.93020167648855,10.3565837543729,10.9503211567121,10.6921756648429,10.4301479294991,10.2471505938983,11.6590275213114,10.1122696634218,8.88168206177911,8.93484319606727,8.92439281360693,10.7984571731238,8.96058279635129,11.6149289352778,8.96498831761463,11.4154142192554,14.7294131418027,14.8440022316555,12.4283176187323,11.8968609390358,11.2730090448409,11.6645308182808,10.5947950908892,10.0514261008814,8.88411932602467,10.5488674250435,10.9885822436608,14.9932765618362,10.8335953048657,16.01818737988,11.8108306562169,12.6899441545839,11.9959503365504,12.8244038232144,10.030264713651,12.4476049423912,12.5546474146996,12.3085629871685,12.2934996533987,12.0281270642532
213.1234,0.672,12.38444219,13.5011802408718,12.6204130185754,11.9392963262237,12.9440781745326,12.9032777144254,12.8683734969108,13.8349922869087,19.7102967551005,13.0774574125633,14.9120220176219,13.2690290723321,11.6830752007205,12.2641992238295,12.4671588940855,12.8441290416439,13.3822321194603,13.2687200758587,12.5039307874673,12.8768990656604,12.2550002230851,12.4374796528624,13.9202623518585,12.744015002483,13.3072987757951,12.9977515837717,12.5562455228579,12.9986385466215,13.9863171593482,12.3445915572564,11.9941336665562,12.9059124007501,13.2300810785889,13.4382063242377,11.8908290521243,12.2917677975943,12.2307878577784,12.4101789729229,13.9212898204616,14.2446850484711,12.8723469172382,12.7417406653402,13.4968794606938,14.4037386192519,12.8836639113397,13.0919291437057,12.6619845179037,14.8837634536446,14.6771211291038,14.6153517378312,17.0847655256377,15.0688304446478,14.8694081428235,14.8747904199179,14.7103291593974,14.667762700553
203.1502,0.654,16.16776231,15.9092482768631,16.1504481984122,15.3311964733825,15.9470294887147,16.6692854067409,16.2673051668299,16.276703529038,15.5716974165027,16.3681578647692,16.7954669509603,15.7589014232271,16.2730553797544,16.3355777135483,15.9479910874566,16.3206121935363,16.4885460568938,15.5608868871566,16.5152215257984,16.0796932313055,16.0222667117764,15.9101483773418,16.4172580251473,16.1775323866896,16.4878666183593,16.1830028126646,16.4393918583529,15.9866203014798,16.6236271853878,16.3625651801833,16.1275618738857,16.1190122338134,15.5995930134036,15.337395614422,16.3148074432272,16.39451197805,16.2406617723691,15.0225343845466,16.3611746240727,15.9547227377565,16.077352179626,16.3497701403547,16.82751880853,15.501240866186,16.3375967402212,15.4037639259146,16.2831325157607,16.1375798957449,16.1397003775668,15.9947045383903,16.1329340093085,16.1684289855651,16.0911908402981,16.0651929239309,16.1397209109523,16.1863069060247
138.0551,0.654,16.94001932,17.7435708447288,17.1331216089005,17.9201613436204,16.5315612760129,16.3705676308465,15.1910925802264,17.0203068646346,20.4268939558557,16.9308948561822,18.6213576470737,17.169992186932,15.5102847610987,17.0153975798013,16.5933790953303,15.8053356508247,17.2841790761914,17.7690426527182,15.2949488252526,17.0777825107038,16.2873551900246,16.3771119725521,17.4506624655591,17.4788516733109,17.357949749158,17.5370319218132,15.4497519885628,15.431063861556,17.901550471639,16.3705105552821,15.2365862429762,16.7305192321681,17.893898137857,18.4192353825756,16.4212306983177,15.3964947066411,15.532772765352,16.7450021761037,18.1109056164774,17.9053202661883,15.9835073564181,17.3676197820187,17.2057442192156,17.6757126980119,16.9982307187587,18.4058553924516,16.8381492604175,17.5938520967413,17.4757312261889,17.5777793186996,18.2212181078601,17.5868070530429,17.6568348634101,17.5608818976281,17.5672418148638,17.6107631353016
146.0812,0.71,15.72651434,14.4205940985397,15.3322422978783,16.6438431685498,15.6817890977951,14.3264139878175,15.4416988524918,14.7130814053211,14.6180595891311,15.0081372426688,14.9023657060674,14.621486230276,15.5347366930309,16.9467410255708,14.5395579496024,14.7497184073465,15.2676892526016,14.5895928484574,15.0561296081343,16.8433758266868,14.7019582704284,15.6080082054232,15.3552816385196,15.1447741984909,15.0297957101492,16.3497285059081,14.8029675502249,14.837741570311,14.971428206829,15.6078752724103,14.9018873890154,14.6592290664992,14.8195012056844,14.4493570650127,15.9520094569599,16.1332174225715,15.2647313462549,16.4755594060732,15.9333893410073,14.190628574819,15.7068614189769,14.7081889496479,14.7425859416927,14.9840067062212,16.496803572752,15.0858789212698,15.802430602949,15.2744845111913,15.2184452192084,15.1256433447838,15.1719440855404,15.1320594959426,15.1360384238387,15.0785948195986,15.2878719585516,15.1227825307361
141.0659,0.655,15.51615748,14.8141256508396,14.9406554848219,12.8443609899078,13.9761267219223,16.1042688359421,15.0846845189151,13.7237299393899,14.9520824549424,15.5138320720647,15.5545954154057,14.950153385752,14.6817976509911,14.9238485693711,15.5314413291587,16.1719576381011,14.0430487726332,14.9830628219415,14.9160187673551,14.9110031552014,15.1581968123719,14.9073644155602,16.4102287712509,14.9902836418106,16.4448496951643,16.43368424412,13.344084186301,14.1101486045377,14.8725254879683,14.764335445598,15.2633452473418,15.7249438164879,14.6653057113795,13.9520597190125,14.9600427837905,15.420120460949,13.5442701296593,13.3409323014672,16.147615889342,15.5715892225637,14.9521238132563,15.1252109692673,15.3888244166851,15.1888823176892,13.45474952244,13.6353716140335,13.3284311652594,15.1055730527807,15.0414022386848,15.0169768379744,14.8885783515015,15.0766142153401,15.0741916023006,15.0306280608071,15.0154259349194,15.070087608854
