Query.Mass,Matched.Compound,Matched.Form,Retention.Time,Mass.Diff,Empirical.Compound
156.0769,C00135,M+H [1+],0.621,0.000123999999999569,EC00024
174.0873,C00135,M+H2O+H [1+],0.814,7.6466770025263e-05,EC00024
161.0454,C00137,M-H2O-H [1-],0.768,0.000390000000010104,EC00010
179.0556,C00137,M-H [1-],0.643,0.000524000000012848,EC00010
181.0704,C00137,M+H [1+],2.671,0.000275999999985288,EC00011
181.0717,C00137,M+H [1+],0.801,0.00102400000000102,EC00010
195.0514,C00137,M-H+O [1-],2.765,0.000366466770003626,EC00011
225.0623,C00137,M+HCOO [1-],0.658,0.00125499999998624,EC00010
111.0439,C00156,M-CO+H [1+],0.81,7.64667699968413e-05,EC00025
111.044,C00156,M-CO+H [1+],2.998,2.35332300064783e-05,EC00026
121.0283,C00156,M-H2O+H [1+],0.799,7.64667699968413e-05,EC00025
121.0284,C00156,M-H2O+H [1+],3.689,2.35332300064783e-05,EC00027
121.02846,C00156,M-H2O+H [1+],2.736,8.35332299971014e-05,EC00026
121.02848,C00156,M-H2O+H [1+],3.033,0.00010353323000345,EC00026
137.0243,C00156,M-H [1-],4.815,0.000123999999999569,EC00028
137.0244,C00156,M-H [1-],4.225,2.39999999962492e-05,EC00029
137.0248,C00156,M-H [1-],0.733,0.000375999999988608,EC00025
139.0387,C00156,M+H [1+],3.143,0.000275999999985288,EC00026
178.0513,C00156,M+ACN-H [1-],2.879,0.000331466770006728,EC00026
178.0515,C00156,M+ACN-H [1-],3.479,0.000531466770013367,EC00027
178.05156,C00156,M+ACN-H [1-],2.811,0.00059146677000399,EC00026
178.0524,C00156,M+ACN-H [1-],2.721,0.00143146677001482,EC00026
178.0526,C00156,M+ACN-H [1-],3.481,0.00163146677002146,EC00027
197.0442,C00156,M+CH3COO [1-],3.134,0.000795000000010759,EC00026
197.0453,C00156,M+CH3COO [1-],3.76,0.000304999999997335,EC00027
173.0089,C00158,M-H2O-H [1-],0.672,0.000290000000035207,EC0003
173.0091,C00158,M-H2O-H [1-],1.231,0.000490000000013424,EC00031
191.0201,C00158,M-H [1-],1.159,0.000376000000017029,EC00031
191.0203,C00158,M-H [1-],0.697,0.000575999999995247,EC0003
191.0212,C00158,M-H [1-],0.699,0.0014759999999967,EC0003
215.0163,C00158,M+Na [1+],0.719,8.20000000203436e-05,EC0003
161.0454,C00159,M-H2O-H [1-],0.768,0.000390000000010104,EC00010
179.0556,C00159,M-H [1-],0.643,0.000524000000012848,EC00010
181.0704,C00159,M+H [1+],2.671,0.000275999999985288,EC00011
181.0717,C00159,M+H [1+],0.801,0.00102400000000102,EC00010
195.0514,C00159,M-H+O [1-],2.765,0.000366466770003626,EC00011
225.0623,C00159,M+HCOO [1-],0.658,0.00125499999998624,EC00010
278.0698,C00170,M-H2O-H [1-],0.683,0.00141000000002123,EC00032
318.064,C00170,M+Na-2H [1- ],0.674,0.000266000000010536,EC00032
131.0349,C00181,M-H2O-H [1-],0.8,0.000490000000013424,EC00022
149.0452,C00181,M-H [1-],0.654,0.000324000000006208,EC00022
165.0405,C00181,M-H+O [1-],0.634,6.64667700220889e-05,EC00022
165.0409,C00181,M-H+O [1-],0.76,0.000466466770006946,EC00022
195.051,C00181,M+HCOO [1-],0.627,0.000554999999991423,EC00022
100.0756,C00183,M-H2O+H [1+],0.774,7.64667699968413e-05,EC00033
167.0562,C00191,M-CO+H [1+],0.774,0.00122353322998947,EC00034
175.0241,C00191,M-H2O-H [1-],0.753,0.000209999999981392,EC00034
193.0351,C00191,M-H [1-],0.617,0.000324000000006208,EC00034
193.0353,C00191,M-H [1-],5.465,0.000123999999999569,EC00035
146.0456,C00217,M-H [1-],0.708,0.000324000000006208,EC0008
166.0723,C00217,M+H2O+H [1+],0.669,0.00122353322998947,EC0008
161.0454,C00221,M-H2O-H [1-],0.768,0.000390000000010104,EC00010
179.0556,C00221,M-H [1-],0.643,0.000524000000012848,EC00010
181.0704,C00221,M+H [1+],2.671,0.000275999999985288,EC00011
181.0717,C00221,M+H [1+],0.801,0.00102400000000102,EC00010
195.0514,C00221,M-H+O [1-],2.765,0.000366466770003626,EC00011
225.0623,C00221,M+HCOO [1-],0.658,0.00125499999998624,EC00010
474.1718,C00234,M+H [1+],0.703,0.00137599999999338,EC00036
124.0072,C00245,M-H [1-],0.616,0.000224000000002889,EC00037
179.0556,C00247,M-H [1-],0.643,0.000524000000012848,EC00010
181.0704,C00247,M+H [1+],2.671,0.000275999999985288,EC00011
181.0717,C00247,M+H [1+],0.801,0.00102400000000102,EC00010
195.0514,C00247,M-H+O [1-],2.765,0.000366466770003626,EC00011
225.0623,C00247,M+HCOO [1-],0.658,0.00125499999998624,EC00010
375.1278,C00255,M-H [1-],3.109,0.00322400000004563,EC00038
375.1294,C00255,M-H [1-],0.798,0.00162400000004936,EC00039
375.12949,C00255,M-H [1-],4.074,0.00153400000004922,EC00040
377.1448,C00255,M+H [1+],3.492,0.000776000000030308,EC00041
