"p.value","m.z","t.score","r.t"
0.0946,246.0752,-1.846335712,4.139
0.0227,246.0753,-2.690304058,3.721
0.677,246.1531,-0.428672731,5.399
0.578,246.9913,0.575444798,0.705
0.155,246.9917,1.53788699,2.802
0.132,247.0277,1.640153174,0.755
0.106,247.062,-1.776629325,0.659
0.0322,247.0798,-2.485532968,4.12
0.925,248.0596,0.096862318,0.808
0.478,250.0718,-0.737203594,3.655
0.196,251.0128,-1.385975496,3.524
4.28e-05,253.0503,6.883944476,5.048
0.124,253.9903,-1.678659545,0.661
0.0436,254.9816,-2.308606463,0.664
0.188,254.9941,1.411527706,3.14
0.00431,255.0674,3.671258282,5.078
0.474,255.1349,-0.744144782,3.614
0.498,255.1349,-0.703426667,4.042
6.85e-05,257.0816,6.505158379,6.056
0.161,258.0424,1.514666194,0.699
0.17,258.044,-1.477850326,2.007
0.64,258.9916,-0.482518787,0.797
0.256,258.9926,1.203809673,3.301
0.0454,259.057,-2.285240694,0.712
0.443,259.129,-0.799287876,3.733
0.412,260.0239,0.85532702,2.686
0.781,260.0254,0.285635254,0.667
0.61,261.0071,0.5263741,3.241
0.377,261.0072,-0.92419343,0.769
0.433,261.0232,-0.816812815,0.668
0.309,261.039,1.070823213,0.66
0.387,262.0286,0.903940971,0.664
0.92,262.0364,0.103032642,0.654
0.0944,262.9863,-1.847622724,0.693
0.3,263.0249,-1.093991388,0.69
0.989,263.0272,0.014008741,2.81
0.121,263.0573,-1.693843857,0.662
0.221,263.1041,1.305945523,2.759
0.0525,263.1041,2.199176689,2.796
0.137,263.1046,1.614588483,3.466
0.402,263.1054,-0.87435552,2.91
0.169,263.1397,1.480690701,2.777
0.176,263.141,1.457344298,3.465
0.434,264.0876,0.815682671,3.875
0.255,264.1168,1.208470554,3.46
0.474,264.9884,-0.743198693,0.68
0.319,265.0184,-1.049577061,2.828
0.643,265.1192,-0.477684265,4.316
0.165,267.1235,1.499122779,7.063
0.348,269.1505,-0.984741849,4.575
0.287,269.1506,-1.123924708,4.275
0.154,273.0073,-1.542048648,0.807
0.254,273.0074,-1.2092039,3.349
0.214,274.0026,-1.327772981,0.671
0.161,274.0027,-1.513984431,2.51
0.495,274.0396,-0.708015738,0.676
0.575,274.039,-0.579481135,0.769
0.514,275.0216,-0.677098358,0.69
0.592,275.0221,-0.553200207,0.754
0.0215,275.0224,-2.721029106,3.427
0.174,275.0569,-1.465097966,0.663
0.834,276.0009,0.214999775,3.151
0.433,276.0018,0.817512251,0.763
0.374,277.0021,0.931295894,0.707
0.94,277.0349,0.077752528,0.667
0.388,277.052,0.902555108,0.659
0.0609,277.0852,-2.111360252,0.658
0.00125,278.0698,-4.441324007,0.683
0.809,279.0491,0.248507803,3.95
0.791,279.049,0.271922705,3.659
0.768,279.0984,-0.303112915,3.799
0.457,279.9896,0.773074361,3.301
0.148,281.1142,-1.566171991,4.039
0.34,282.0473,-1.002427796,0.802
0.126,283.0822,1.667111778,3.328
0.139,283.0822,1.609739453,3.893
0.637,283.1657,-0.487005371,5.239
0.148,287.0195,1.566495814,0.66
0.0819,287.0227,-1.934029555,3.548
0.0307,287.0526,-2.513388717,0.66
0.116,289.0363,-1.721832094,0.688
0.0574,289.0528,-2.146879452,0.664
0.136,289.0702,-1.622625469,0.663
0.379,290.0877,-0.920525369,0.662
0.844,291.0345,-0.20167681,0.717
0.289,291.0683,-1.119070848,0.654
0.313,293.0301,-1.063185021,0.685
0.177,293.0331,-1.453763829,2.576
0.612,293.0676,-0.524231853,0.65
0.988,293.0743,-0.015067642,2.543
0.41,295.0242,-0.860272316,4.354
0.988,295.0252,-0.015652221,3.897
0.014,295.0806,2.970590546,3.721
0.00144,295.0815,4.351550804,4.242
0.815,295.1298,0.240057383,3.641
0.0942,296.0197,-1.848674938,0.697
0.091,296.9824,-1.869861349,0.699
1.95e-07,297.0975,12.52584827,4.072
3.03e-08,297.0975,15.22504679,4.498
0.925,298.0002,-0.0969742,3.49
0.981,299.0779,-0.02403652,3.509
0.591,299.1247,-0.554906521,0.784
0.122,300.0195,-1.687726415,0.687
0.0146,300.039,-2.945955258,0.661
0.567,301.0547,0.592108166,0.665
0.16,301.0563,1.519369724,0.774
0.571,302.0532,-0.585070563,0.694
0.812,302.1145,-0.243731714,3.69
0.0608,303.0177,-2.112765414,0.795
0.0955,303.0178,-1.840889735,3.212
0.847,303.0365,0.198651758,0.684
0.604,303.0532,-0.535374875,0.705
0.0105,303.0712,3.139115927,0.728
0.0376,303.072,2.395147198,2.684
0.503,305.1604,-0.694913298,5.512
0.185,306.9561,1.422313694,3.814
0.852,307.0326,-0.192065195,0.669
0.979,307.1184,0.026501253,6.294
0.17,308.0774,1.477932498,3.378
0.157,308.0983,-1.530932346,0.658
0.651,310.9691,-0.465773375,1.162
0.52,310.9761,-0.667229105,0.719
0.128,311.0752,1.660320117,3.182
0.424,313.0567,0.83268163,0.793
0.0614,313.0569,2.106251768,3.13
0.89,313.9951,-0.141307339,2.734
0.146,313.995,1.578086364,4.031
0.276,313.999,1.153330052,0.818
0.303,315.0338,-1.086517727,0.673
0.647,315.0713,0.471663731,0.751
0.206,317.1602,1.35296645,5.227
0.431,318.064,-0.82036027,0.674
0.0465,319.0474,-2.271358557,0.696
0.0177,319.1032,-2.834109389,0.789
0.419,319.1396,-0.842270485,5.493
0.512,320.0597,-0.679718467,0.683
0.865,321.0622,-0.174747521,3.448
0.0917,321.0625,-1.865125063,0.656
0.367,324.0682,0.943902352,6.363
0.295,324.0723,1.105843147,0.776
0.123,324.0723,1.683963739,2.134
0.389,324.0723,0.900714381,2.857
0.458,325.1288,-0.771716352,5.321
0.406,326.0866,0.868180813,0.798
0.0122,328.0474,-3.05162298,0.665
0.803,329.1602,-0.256473975,5.369
0.0645,330.0287,-2.077500681,3.095
0.813,330.0291,0.24264339,0.673
0.716,331.0121,-0.373735673,3.56
0.328,331.0274,1.029474255,0.668
0.405,331.091,0.869371069,2.747
0.973,331.091,-0.035143313,3.433
0.00969,331.1218,-3.187731358,3.932
0.469,331.1763,-0.75198307,5.775
8.12e-06,333.0047,8.344940653,4.33
2.56e-05,333.0066,7.313244235,3.893
0.141,333.0634,-1.599866261,0.694
0.998,334.0517,0.002365741,3.708
2.48e-06,335.0244,9.524044926,4.36
0.165,335.0468,-1.498325937,0.663
0.351,336.0493,-0.97761663,0.662
0.369,336.0706,0.939954629,3.376
0.244,336.0708,-1.238664372,0.807
0.0881,336.0718,-1.889878689,3.292
0.0638,336.072,-2.083648921,3.762
0.802,336.1214,-0.257438053,3.081
0.159,336.1218,-1.52209071,3.046
0.456,336.1323,-0.776060286,3.647
0.564,337.0556,-0.597041218,0.777
0.819,337.056,-0.23480499,3.104
0.778,337.1446,0.289772993,4.025
0.788,337.1469,0.276493005,3.591
0.527,338.0632,-0.654712618,3.433
0.589,338.0879,0.558248405,3.557
0.34,338.1178,-1.001631456,2.307
0.918,339.1082,-0.105404386,4.74
0.963,341.1234,-0.047590092,4.519
0.591,343.0666,0.555450392,0.756
0.401,343.0669,0.876922916,2.881
0.711,343.0855,0.381544575,4.396
0.327,343.0855,1.030744372,4.765
0.00855,343.1396,-3.261652893,5.368
0.818,344.0448,0.23623764,0.677
0.165,345.0438,-1.496826177,0.668
0.59,345.1552,-0.556514268,6.009
0.423,345.1553,-0.834507354,5.874
0.0176,345.1554,-2.839922429,3.382
0.00622,345.1554,-3.450951406,4.506
0.0497,345.1933,-2.23116674,4.201
0.533,347.0424,-0.644940486,0.697
0.327,347.059,-1.029605865,0.674
0.0407,347.0774,2.349122868,4.782
0.0981,347.079,-1.824293573,0.706
0.28,347.0881,-1.141641357,3.328
0.0362,347.1678,-2.418549553,4.233
0.0487,347.17,-2.243781977,3.394
0.303,348.0769,1.085046724,2.315
0.597,349.0207,-0.546490258,0.696
0.211,349.059,-1.337757849,0.669
0.761,350.088,-0.312739514,3.366
0.704,350.088,-0.390708743,3.952
0.0321,351.0199,-2.488484236,0.667
0.0739,351.0566,-1.99587731,0.663
0.226,351.07,1.289995031,3.888
0.591,352.0859,-0.55474526,5.224
0.0826,354.1007,-1.928803805,4.717
0.11,354.1009,-1.754954367,5.03
0.000922,355.1037,-4.639780429,4.621
0.699,356.031,-0.397544132,0.667
0.733,356.0987,-0.351389909,0.796
0.591,356.1002,0.555654607,2.592
0.76,357.0823,-0.313938887,0.779
0.873,357.0825,0.164093489,3.399
0.79,357.0826,0.273882863,2.931
0.375,357.1009,0.928982032,4.96
0.0794,359.0566,-1.952309103,0.67
0.905,359.0958,-0.121775649,2.977
0.602,359.0975,-0.538389987,2.524
0.0152,359.1344,-2.922364593,4.351
0.0519,359.1345,-2.205655675,3.504
0.0458,359.1347,-2.280404991,3.481
0.011,359.1353,-3.113066975,0.806
0.0138,359.1353,-2.98175573,3.002
0.0604,360.0729,-2.115963156,0.672
0.987,361.0218,-0.016203699,2.595
0.0867,361.0578,-1.899264399,0.686
0.164,361.0713,1.502041359,3.465
0.0131,361.1499,-3.010305275,3.066
0.8,361.1501,0.260670961,4.225
0.0107,361.1502,-3.129756109,3.49
0.00106,363.021,4.546386512,3.933
0.00756,363.0234,3.334866141,4.453
0.903,363.0692,-0.124694936,4.266
0.939,363.0701,0.078011417,4.451
0.162,363.0756,-1.511593857,0.658
0.412,363.1657,-0.85692732,4.345
0.571,363.1658,-0.586256392,4.172
0.228,364.0954,-1.284225687,0.768
0.759,364.0958,0.315002301,3.594
0.0895,364.0972,-1.880454699,3.027
0.964,365.0528,-0.04680433,0.68
2.93e-06,365.0863,9.351826015,4.095
0.00104,366.0851,4.56103409,4.55
0.121,366.1015,-1.694798631,5.18
0.707,366.1016,-0.386557014,4.846
0.498,367.0282,-0.702987354,0.707
0.2,367.1578,1.371146691,5.796
0.809,367.2123,0.248533949,5.512
0.374,367.2236,0.931169596,4.071
0.594,368.0804,-0.550487429,3.895
0.389,368.0971,0.900925003,3.297
0.236,368.0998,1.259423291,0.802
0.727,368.9723,-0.358697098,3.004
0.0129,369.0829,-3.020661299,3.476
0.655,369.1552,-0.460834959,5.993
0.339,369.1737,1.003524937,5.331
0.145,369.1737,-1.581490151,6.099
0.245,370.0781,1.235806619,2.895
0.124,370.0786,1.678208789,0.733
0.00911,370.0972,-3.224258,3.765
0.0265,370.097,-2.598765886,3.208
0.315,370.0981,-1.058342112,3.747
0.358,371.0241,-0.962497762,0.671
0.0274,371.0976,-2.580622114,0.801
0.00614,371.0978,-3.457882879,3.481
0.0146,372.0951,-2.947223906,0.795
0.0777,372.1099,-1.965752075,3.404
0.57,372.1116,0.587225959,3.914
0.758,373.1067,-0.317008189,2.937
0.528,373.1139,-0.65304073,4.04
0.00754,373.1141,-3.336138947,3.685
0.22,373.1514,-1.30941566,3.715
0.352,374.0316,0.976477692,2.965
0.431,374.1378,0.819999381,5.008
0.12,375.054,-1.699993176,0.665
0.346,375.0931,-0.989427833,2.077
0.0146,375.1278,-2.948802425,3.109
0.0137,375.1294,-2.984269706,0.798
0.352,375.1294,-0.975922383,4.074
0.056,377.0353,-2.16143587,0.713
0.0839,377.0526,-1.919450161,0.697
0.505,377.1019,0.692000741,5.09
0.753,379.0336,0.323024994,0.708
0.366,379.0338,0.947548683,3.038
0.32,379.0686,-1.046680747,0.661
0.785,379.0909,0.279689809,2.789
0.966,379.091,0.043557211,3.484
0.54,379.1393,-0.633823002,5.891
0.853,379.1607,0.190672418,3.652
0.908,379.1607,0.118406089,4.047
0.0558,379.1955,-2.163195673,5.602
0.92,380.0301,0.102497136,1.155
0.208,381.0301,-1.345670668,1.155
0.641,381.0802,0.480846893,3.385
0.681,381.1551,-0.423967623,6.237
0.379,382.9875,0.920878723,3.002
0.162,383.0324,1.509411848,2.787
0.131,383.0464,-1.643694629,3.601
0.215,383.053,1.324089573,3.466
0.746,383.0644,0.332802578,2.771
0.115,383.1529,-1.726489147,4.559
0.806,383.153,-0.251653272,4.885
0.14,384.0537,1.600963535,2.335
0.533,385.1498,0.64613707,5.181
0.0545,385.1685,-2.177484296,4.355
0.756,385.1861,0.318718664,4.524
0.487,387.1489,0.721787989,5.77
0.652,387.1658,-0.464936044,5.117
0.249,388.047,1.225340321,2.937
0.0988,388.047,1.82009186,3.398
0.111,388.047,1.750398639,3.472
0.884,389.0528,-0.149424705,0.7
0.632,389.0919,-0.494017156,4.531
0.547,389.0981,-0.622989194,4.564
0.458,389.1038,-0.772225029,0.786
0.171,389.1043,-1.476463202,2.952
0.907,389.1814,0.119562024,5.311
0.116,391.0332,-1.722492092,0.698
0.901,391.0993,-0.127556215,4.492
0.222,391.1124,-1.302373342,0.79
0.325,391.1968,-1.034861038,5.431
4.49e-05,393.0495,6.844579299,3.605
0.0139,393.0776,-2.977352983,3.464
0.0111,393.2643,-3.106031828,6.229
0.721,394.06,-0.367629285,0.685
0.0513,395.0628,-2.212625643,0.675
0.878,395.0857,0.15789191,2.735
0.577,395.0857,-0.576182089,2.92
0.879,395.091,0.155623775,3.521
0.217,395.1144,-1.316939055,4.677
0.545,396.025,0.625888993,0.663
0.85,396.0904,-0.193853305,2.751
0.0785,396.1124,-1.95924336,4.459
0.564,396.1279,0.596268333,4.011
0.0734,396.1297,1.999894472,3.506
0.233,397.0032,1.269628372,3.133
0.197,397.0034,1.382064186,3.815
0.0139,397.0582,-2.97708741,0.701
0.584,397.1496,-0.565919564,4.415
0.234,397.1911,-1.267173665,4.067
0.314,398.0412,1.059467525,0.681
0.184,399.0203,1.427869471,0.683
0.201,399.1658,1.369367667,3.513
0.0394,400.1429,-2.368662941,4.669
0.281,401.1094,-1.140590746,4.24
0.804,403.066,-0.255494807,3.865
0.0523,403.1019,2.202062599,5.042
0.0178,403.1133,-2.832927657,4.514
0.763,403.1971,-0.309261587,3.26
0.899,403.197,-0.130600258,0.807
0.481,404.0395,0.732038019,3.379
0.316,404.0405,1.055171097,3.511
0.822,405.0285,-0.231344653,0.72
0.0376,405.0469,-2.395438187,0.697
0.262,405.0648,-1.189745069,0.668
0.0266,405.118,-2.597199897,5.456
0.728,405.1764,-0.357179281,4.467
0.603,405.2644,0.537595402,6.291
0.0432,407.0405,-2.314706069,4.991
0.0906,407.2799,1.873049412,5.411
0.979,407.2799,0.026557082,5.805
0.687,407.2801,-0.414725161,6.791
0.124,409.0428,-1.680607541,0.71
0.38,411.0759,0.918669941,4.059
0.505,411.0787,0.691964026,0.764
0.469,411.1279,-0.753056558,4.49
0.503,411.1654,-0.694645229,4.559
0.0391,411.2021,-2.371909179,4.884
0.108,411.2021,-1.762501174,5.398
0.0786,412.9977,1.958595383,3.204
0.00577,413.1426,-3.495667747,4.219
0.00305,413.1426,-3.881705749,4.51
0.0463,413.1436,-2.273781971,3.2
0.0853,413.144,-1.909046244,3.692
0.272,413.1993,1.161844111,5.357
0.0446,415.1607,-2.295768093,0.797
0.268,416.1536,-1.174015566,5.683
0.38,417.1173,0.918718543,4.046
0.428,417.1192,0.826992234,4.5
0.84,417.2126,-0.207590605,6.021
0.131,418.1123,-1.646517318,0.717
0.00314,418.1149,-3.864201545,0.722
0.426,418.1327,0.829974075,4.164
0.693,419.1134,-0.406066641,0.748
0.326,419.1155,-1.03271962,2.861
0.119,419.2281,1.704017283,6.362
0.673,421.0558,0.434531422,3.818
0.212,421.0582,1.331994556,5.463
0.189,421.9984,1.408883127,3.301
0.758,422.0501,-0.316659086,0.727
0.472,422.1067,0.746893411,0.783
0.206,422.1084,-1.351996507,2.915
0.234,423.0571,-1.266334998,0.703
