m.z	r.t	p.value	t.score
198.0529	5.13	0.0994	-1.8164001476058738
198.0873	5.991	0.874	0.1631831670667793
198.1236	6.476	0.582	-0.5681525475382924
199.0825	3.657	0.626	0.5024679884096618
199.0826	0.565	0.727	0.3585965729271336
199.096	3.252	0.306	-1.077665698543576
199.1075	0.555	0.468	0.7545061177794982
200.107	1.003	0.428	0.8268929054202689
202.1072	3.8	0.537	0.6393602834940907
202.1185	4.047	0.0968	1.8321273639378923
202.1187	4.623	0.0573	2.1479875093413354
202.1438	0.819	0.507	0.6888392904449709
203.0527	5.677	0.93	0.09067525131509112
203.1391	5.524	0.655	0.4611921494075654
203.1391	5.557	0.472	0.7468136291224536
203.1393	5.108	0.0872	1.8959073284131382
203.139	5.989	0.866	-0.17272082394231644
203.139	7.531	0.226	1.2908885951649196
203.1478	5.105	0.112	1.74055189563004
203.1485	5.527	0.687	0.4144172246996473
203.1513	6.974	0.2	1.3726004525124993
204.0866	0.88	0.551	0.6164709721129313
204.0866	8.005	0.982	-0.023598098847326245
204.1231	0.528	0.964	-0.04660962468852038
204.123	1.344	0.892	0.13893147843921533
204.1333	0.552	0.419	0.8425664931152713
204.1343	4.98	0.76	0.31463108025799386
204.1347	1.095	0.941	0.07585559396432982
204.1421	5.101	0.118	1.7101789152928815
205.0684	5.668	0.676	-0.4298733707574878
205.0822	7.274	0.433	0.8167372096874863
205.0972	4.752	0.994	0.007270286652637091
205.1184	8.039	0.549	0.6196967243172316
205.1261	3.722	0.944	-0.07186797087756748
205.155	7.708	0.863	-0.17727185364977405
205.1634	7.711	0.14	1.6051069589070377
206.0819	0.514	0.579	-0.5727419482874636
207.1049	0.834	0.408	0.8642539216989906
208.0429	5.441	0.837	0.2109517616077491
208.0968	0.848	0.00587	-3.4852025140962652
208.1807	5.435	0.107	1.7730480189388145
208.1	7.499	0.59	0.5572684532582156
209.0968	8.083	0.598	0.5452070925046203
209.1172	0.959	0.462	0.7653395803165463
209.1284	7.334	0.537	-0.638875507934779
211.1077	7.422	0.621	0.5094350011518208
212.0916	3.99	0.979	0.026623081411728537
212.1032	5.558	0.679	0.42654902701790365
213.0984	6.64	0.352	0.9755484719373905
213.1237	2.92	0.445	-0.795347058749682
214.1185	6.612	0.992	0.009687054797716385
215.0163	5.665	0.74	-0.3412704995096839
215.1391	5.03	0.0502	2.225326320762362
215.139	5.001	0.123	1.6830940215225805
217.1384	6.201	0.94	0.07702125748214488
217.13	6.202	0.842	0.20423205029701
217.1546	5.792	0.755	0.3208460854371745
217.1547	7.121	0.376	-0.9267144388026548
217.1548	5.348	0.234	1.2678687323870137
217.1647	5.35	0.397	0.8854912059301502
217.1656	3.908	0.201	-1.3686570392765685
218.1387	0.519	0.957	-0.055021353288150866
218.1387	2.855	0.764	0.30809017885928464
218.1498	8.373	0.446	0.7926993117332066
218.1862	3.124	0.37	0.9378617689945012
