mz_rt,Red,Yellow,FC_postRed_div_postYellow,p.x,log2_FC_postRed_div_postYellow,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,post,pre,FC_post_div_pre,p.y,log2_FC_post_div_pre,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
509.0384_0.699,12390.130245454546,1320.5583745454546,9.382493409062144,8.19e-6,3.229971371659899,5.086716098239582,509.0384,0.699,1660.45725,509.0384_0.699,509.0384_0.699,1,12390.130245454546,1463.62582,8.465367361074941,7.15e-6,3.081572676331337,5.145693958198919,509.0384,0.699,1660.45725,509.0384_0.699,509.0384_0.699,1
509.0409_3.291,19770.69381818182,1919.8400454545454,10.298094294361313,1.55e-6,3.364305480213505,5.809668301829708,509.0409,3.291,3089.1084,Cluster_509.0409_3.291,459.0926_3.306;509.0409_3.291,2,19770.69381818182,1970.1409363636365,10.035167257969542,9.11e-8,3.326992757450601,7.040481623027001,509.0409,3.291,3089.1084,Cluster_509.0409_3.291,459.0926_3.306;509.0409_3.291,2
521.1082_4.508,12522.355854545454,1295.3063272727272,9.667486053983328,4.51e-5,3.2731407781222948,4.345823458122039,521.1082,4.508,1431.007,521.1082_4.508,521.1082_4.508,1,12522.355854545454,1221.1466604545456,10.254587970526224,1.05e-4,3.358197620364755,3.9788107009300617,521.1082,4.508,1431.007,521.1082_4.508,521.1082_4.508,1
525.0334_3.606,13955.898863636363,1333.5736072727273,10.465038290745253,1.49e-6,3.387505685197394,5.826813731587726,525.0334,3.606,1621.1766499999999,525.0334_3.606,525.0334_3.606,1,13955.898863636363,1362.50862,10.242796749158448,1.02e-6,3.3565377853465432,5.991399828238082,525.0334,3.606,1621.1766499999999,525.0334_3.606,525.0334_3.606,1
605.1126_3.023,6297.185236363636,1033.7170381818182,6.0917881816474795,3.13e-5,2.606865778561986,4.504455662453552,605.1126,3.023,1339.9288999999999,605.1126_3.023,605.1126_3.023,1,6297.185236363636,929.9455818181818,6.771563153245702,1.88e-5,2.7594889051628937,4.72584215073632,605.1126,3.023,1339.9288999999999,605.1126_3.023,605.1126_3.023,1
617.1836_4.515,9483.970065454545,1035.8408072727273,9.155818151656874,0.00117,3.1946888090810006,2.9318141382538383,617.1836,4.515,1244.03465,617.1836_4.515,617.1836_4.515,1,9483.970065454545,850.1787681818182,11.155265716334984,0.00101,3.479652973603714,2.9956786262173574,617.1836,4.515,1244.03465,617.1836_4.515,617.1836_4.515,1
639.0783_3.758,6371.299072727273,760.4720486363636,8.378084486013567,8.38e-6,3.066620432657316,5.076755981369724,639.0783,3.758,1334.0855,639.0783_3.758,639.0783_3.758,1,6371.299072727273,859.1027109090909,7.416225082080407,2.19e-5,2.890685030354147,4.6595558851598815,639.0783,3.758,1334.0855,639.0783_3.758,639.0783_3.758,1
345.1554_4.506,78212.88172727273,457271.26972727274,0.1710426324704824,0.0325,-2.5475721324197576,1.4881166390211256,345.1554,4.506,147864.135,Cluster_345.1554_4.506,345.1554_4.506;345.1556_4.509;345.1938_4.506;443.1248_4.497;691.3175_4.507;692.32_4.516;713.2993_4.51;714.3028_4.511;833.2468_4.513,9,78212.88172727273,635953.6905454545,0.12298518412589116,0.00622,-3.0234435685549514,2.2062096153091812,345.1554,4.506,147864.135,Cluster_345.1554_4.506,345.1554_4.506;345.1556_4.509;345.1938_4.506;443.1248_4.497;691.3175_4.507;692.32_4.516;713.2993_4.51;714.3028_4.511;833.2468_4.513,9
345.1933_4.201,1866.0455454545454,10369.9486,0.17994742475913,0.0321,-2.4743526389921406,1.493494967595128,345.1933,4.201,2496.7739,Cluster_345.1933_4.201,345.1933_4.201;714.3024_4.193,2,1866.0455454545454,12357.691869545455,0.15100275724249654,0.0497,-2.7273532021333056,1.3036436112666678,345.1933,4.201,2496.7739,Cluster_345.1933_4.201,345.1933_4.201;714.3024_4.193,2
359.1353_0.806,2024.4731909090908,3753.8247181818183,0.5393094624539777,0.0141,-0.8908147480115076,1.85078088734462,359.1353,0.806,3162.0041499999998,359.1353_0.806,359.1353_0.806,1,2024.4731909090908,3950.4439636363636,0.5124672592610512,0.011,-0.9644682588752624,1.958607314841775,359.1353,0.806,3162.0041499999998,359.1353_0.806,359.1353_0.806,1
361.1499_3.066,3888.546018181818,11634.793318181819,0.3342170257640198,0.0309,-1.58114286549885,1.5100415205751654,361.1499,3.066,6873.502350000001,361.1499_3.066,361.1499_3.066,1,3888.546018181818,14769.306381818182,0.2632856220633915,0.0131,-1.9252993564286291,1.8827287043442358,361.1499,3.066,6873.502350000001,361.1499_3.066,361.1499_3.066,1
369.0829_3.476,5780.058627272727,14423.179990909091,0.4007478677320736,0.0353,-1.3192332506661093,1.4522252946121774,369.0829,3.476,9878.373,369.0829_3.476,369.0829_3.476,1,5780.058627272727,14548.332381818182,0.3973004242394387,0.0129,-1.3316977609433351,1.889410289700751,369.0829,3.476,9878.373,369.0829_3.476,369.0829_3.476,1
373.1141_3.685,7890.090645454546,16057.56549090909,0.49136281897286865,0.015,-1.025139400624174,1.8239087409443189,373.1141,3.685,11839.128,373.1141_3.685,373.1141_3.685,1,7890.090645454546,16755.486454545455,0.47089594604483176,0.00754,-1.086519792394735,2.122628654130226,373.1141,3.685,11839.128,373.1141_3.685,373.1141_3.685,1
413.1426_4.219,9053.628745454545,37560.037836363634,0.2410441859749487,0.023,-2.052630462773057,1.6382721639824072,413.1426,4.219,16594.903,413.1426_4.219,413.1426_4.219,1,9053.628745454545,42821.01409090909,0.21142957348543112,0.00577,-2.2417509086268557,2.2388241868442686,413.1426,4.219,16594.903,413.1426_4.219,413.1426_4.219,1
413.1426_4.51,12293.728454545455,59069.19119090909,0.2081242049652018,0.0234,-2.2644833337903165,1.630784142589857,413.1426,4.51,24447.919,Cluster_413.1426_4.51,413.1426_4.51;465.1045_4.511;475.1137_4.509;481.1298_4.503,4,12293.728454545455,65793.15118181818,0.18685422773826352,0.00305,-2.4200148885782578,2.515700160653214,413.1426,4.51,24447.919,Cluster_413.1426_4.51,413.1426_4.51;465.1045_4.511;475.1137_4.509;481.1298_4.503,4
413.1436_3.2,1498.8412727272728,5845.404,0.25641363244136295,0.0494,-1.963455128824928,1.3062730510763532,413.1436,3.2,1666.61115,413.1436_3.2,413.1436_3.2,1,1498.8412727272728,5497.2822636363635,0.27265132129777403,0.0463,-1.8748709479571255,1.334419008982047,413.1436,3.2,1666.61115,413.1436_3.2,413.1436_3.2,1
427.197_3.64,2664.4285545454545,12520.264727272726,0.21280928259780044,0.0256,-2.2323670132882274,1.5917600346881504,427.197,3.64,3222.0686,427.197_3.64,427.197_3.64,1,2664.4285545454545,11970.287063636364,0.222586855301033,0.0154,-2.16755969696018,1.812479279163537,427.197,3.64,3222.0686,427.197_3.64,427.197_3.64,1
427.197_4.049,4099.447090909091,17697.873672727274,0.23163500693455671,0.0385,-2.1100747909801756,1.4145392704914994,427.197,4.049,5658.172500000001,427.197_4.049,427.197_4.049,1,4099.447090909091,16697.568790909092,0.24551161562760046,0.0117,-2.0261368120504177,1.9318141382538383,427.197,4.049,5658.172500000001,427.197_4.049,427.197_4.049,1
572.2105_4.512,733.3780427272727,2643.5370472727272,0.277423024384652,0.0118,-1.8498405675462872,1.9281179926938745,572.2105,4.512,1274.16965,572.2105_4.512,572.2105_4.512,1,733.3780427272727,2926.888559090909,0.25056575538190623,0.03,-1.9967388387135683,1.5228787452803376,572.2105,4.512,1274.16965,572.2105_4.512,572.2105_4.512,1
576.1384_0.705,1078.6143981818182,2032.0926545454545,0.5307899695268011,0.0108,-0.9137869868971746,1.9665762445130504,576.1384,0.705,1559.056,576.1384_0.705,576.1384_0.705,1,1078.6143981818182,2177.9426545454544,0.4952446272773557,0.00169,-1.0137867709434432,2.7721132953863266,576.1384,0.705,1559.056,576.1384_0.705,576.1384_0.705,1
691.3179_4.171,1080.5619563636365,7835.889077272727,0.13789908786454197,0.0271,-2.858315180730567,1.5670307091255944,691.3179,4.171,1857.931,691.3179_4.171,691.3179_4.171,1,1080.5619563636365,11459.116730454545,0.09429714189854266,0.0211,-3.4066421456112237,1.6757175447023074,691.3179,4.171,1857.931,691.3179_4.171,691.3179_4.171,1
