mz_rt,Yellow,Red,FC_postRed_div_postYellow,p,log2_FC_postRed_div_postYellow,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
365.0863_4.095,1486.3337,22118.08490909091,14.880968458893795,4.62e-6,3.8953965155119055,5.335358024443875,365.0863,4.095,1797.8510500000002,365.0863_4.095,365.0863_4.095,1
366.0851_4.55,3925.4531031818183,8744.158454545455,2.227553921726331,0.00251,1.155460355053871,2.600326278518962,366.0851,4.55,1714.667,366.0851_4.55,366.0851_4.55,1
393.0495_3.605,2745.3769545454547,14338.742,5.222868202583142,1.19e-4,2.384842298219305,3.9244530386074694,393.0495,3.605,4447.7495,393.0495_3.605,393.0495_3.605,1
429.0815_4.032,1290.3728363636365,43509.88145454546,33.718844839573215,5.53e-8,5.075483207301238,7.257274868695302,429.0815,4.032,1794.5068999999999,429.0815_4.032,429.0815_4.032,1
429.082_3.756,1033.6123413636365,60152.38881818182,58.19627573217949,8.14e-8,5.862854925776355,7.089375595110798,429.082,3.756,1690.28695,429.082_3.756,429.082_3.756,1
429.083_3.201,944.2923595454546,24024.318418181818,25.44161050900188,3.23e-7,4.669118094118448,6.490797477668897,429.083,3.201,1855.23405,Cluster_429.083_3.201,429.083_3.201;429.0831_3.189,2
431.0979_3.907,1393.322638181818,47552.15663636364,34.128604052838504,3.58e-6,5.092909500615262,5.446116973356125,431.0979,3.907,1846.0807,431.0979_3.907,431.0979_3.907,1
433.1136_4.519,17262.34711818182,61103.24563636364,3.5396835214839206,0.00125,1.8236203765805075,2.9030899869919438,433.1136,4.519,4980.5738,433.1136_4.519,433.1136_4.519,1
433.113_4.886,1154.4989772727272,161260.54281818183,139.68010885477577,5.82e-8,7.125982778168748,7.235077015350112,433.113,4.886,1617.15355,Cluster_433.113_4.886,433.113_4.886;553.0631_4.891,2
445.0782_4.484,2521.9377,28329.407363636365,11.233190797550774,4.57e-5,3.489695879611505,4.34008379993015,445.0782,4.484,4053.7058,445.0782_4.484,445.0782_4.484,1
447.0928_3.777,1810.606009090909,8585.048945454546,4.741533443692165,0.0032,2.2453537118316844,2.494850021680094,447.0928,3.777,2274.9899,447.0928_3.777,447.0928_3.777,1
447.092_4.187,5953.8874636363635,22911.460772727274,3.8481514661907963,0.0305,1.944165585807986,1.5157001606532141,447.092,4.187,6378.7322,447.092_4.187,447.092_4.187,1
449.1074_4.301,1802.824710909091,8703.808854545454,4.827873060468801,0.00289,2.2713877437317658,2.5391021572434522,449.1074,4.301,2072.42175,449.1074_4.301,449.1074_4.301,1
459.093_3.801,1280.678981818182,27824.000636363635,21.725975854512626,7.19e-9,4.4413490741754815,8.143271109617118,459.093,3.801,1825.0816,459.093_3.801,459.093_3.801,1
493.1666_4.573,3142.5718363636365,14644.611636363636,4.6600721952976425,9.79e-5,2.220352305736009,4.009217308196862,493.1666,4.573,4074.76235,493.1666_4.573,493.1666_4.573,1
497.0695_3.785,1161.9685909090908,13430.849863636364,11.558703022366942,1.16e-7,3.5309076200465475,6.935542010773082,497.0695,3.785,1810.0136499999999,497.0695_3.785,497.0695_3.785,1
509.0384_0.699,1320.5583745454546,12390.130245454546,9.382493409062144,8.19e-6,3.229971371659899,5.086716098239582,509.0384,0.699,1660.45725,509.0384_0.699,509.0384_0.699,1
509.0409_3.291,1919.8400454545454,19770.69381818182,10.298094294361313,1.55e-6,3.364305480213505,5.809668301829708,509.0409,3.291,3089.1084,Cluster_509.0409_3.291,459.0926_3.306;509.0409_3.291,2
521.1082_4.508,1295.3063272727272,12522.355854545454,9.667486053983328,4.51e-5,3.2731407781222948,4.345823458122039,521.1082,4.508,1431.007,521.1082_4.508,521.1082_4.508,1
525.0334_3.606,1333.5736072727273,13955.898863636363,10.465038290745253,1.49e-6,3.387505685197394,5.826813731587726,525.0334,3.606,1621.1766499999999,525.0334_3.606,525.0334_3.606,1
605.1126_3.023,1033.7170381818182,6297.185236363636,6.0917881816474795,3.13e-5,2.606865778561986,4.504455662453552,605.1126,3.023,1339.9288999999999,605.1126_3.023,605.1126_3.023,1
617.1836_4.515,1035.8408072727273,9483.970065454545,9.155818151656874,0.00117,3.1946888090810006,2.9318141382538383,617.1836,4.515,1244.03465,617.1836_4.515,617.1836_4.515,1
639.0783_3.758,760.4720486363636,6371.299072727273,8.378084486013567,8.38e-6,3.066620432657316,5.076755981369724,639.0783,3.758,1334.0855,639.0783_3.758,639.0783_3.758,1
681.2357_4.115,563.2658759090909,938.6728754545454,1.6664827670228755,0.0488,0.7368063987207776,1.3115801779972893,681.2357,4.115,502.25125,681.2357_4.115,681.2357_4.115,1
