mz_rt,Yellow,Red,FC_postRed_div_postYellow,p.x,log2_FC_postRed_div_postYellow,neglog10p.x,mz.x,rt.x,MPA.x,Cluster_ID.x,Cluster_features.x,Cluster_size.x,pre,post,FC_post_div_pre,p.y,log2_FC_post_div_pre,neglog10p.y,mz.y,rt.y,MPA.y,Cluster_ID.y,Cluster_features.y,Cluster_size.y
449.1074_4.301,1802.824711,8703.808855,4.82787306,0.00289,2.271387744,2.539102157,449.1074,4.301,2072.42175,449.1074_4.301,449.1074_4.301,1,2005.619164,8703.808855,4.339711652,1.94E-04,2.117599187,3.71219827,449.1074,4.301,2072.42175,449.1074_4.301,449.1074_4.301,1
459.093_3.801,1280.678982,27824.00064,21.72597585,7.19E-09,4.441349074,8.14327111,459.093,3.801,1825.0816,459.093_3.801,459.093_3.801,1,1619.086809,27824.00064,17.18499618,1.91E-08,4.103077626,7.718966633,459.093,3.801,1825.0816,459.093_3.801,459.093_3.801,1
493.1666_4.573,3142.571836,14644.61164,4.660072195,9.79E-05,2.220352306,4.009217308,493.1666,4.573,4074.76235,493.1666_4.573,493.1666_4.573,1,2934.568818,14644.61164,4.990379352,6.98E-04,2.319149489,3.156144577,493.1666,4.573,4074.76235,493.1666_4.573,493.1666_4.573,1
497.0695_3.785,1161.968591,13430.84986,11.55870302,1.16E-07,3.53090762,6.935542011,497.0695,3.785,1810.01365,497.0695_3.785,497.0695_3.785,1,1456.395055,13430.84986,9.221982608,1.81E-05,3.205076945,4.742321425,497.0695,3.785,1810.01365,497.0695_3.785,497.0695_3.785,1
509.0384_0.699,1320.558375,12390.13025,9.382493409,8.19E-06,3.229971372,5.086716098,509.0384,0.699,1660.45725,509.0384_0.699,509.0384_0.699,1,1463.62582,12390.13025,8.465367361,7.15E-06,3.081572676,5.145693958,509.0384,0.699,1660.45725,509.0384_0.699,509.0384_0.699,1
509.0409_3.291,1919.840045,19770.69382,10.29809429,1.55E-06,3.36430548,5.809668302,509.0409,3.291,3089.1084,Cluster_509.0409_3.291,459.0926_3.306;509.0409_3.291,2,1970.140936,19770.69382,10.03516726,9.11E-08,3.326992757,7.040481623,509.0409,3.291,3089.1084,Cluster_509.0409_3.291,459.0926_3.306;509.0409_3.291,2
521.1082_4.508,1295.306327,12522.35585,9.667486054,4.51E-05,3.273140778,4.345823458,521.1082,4.508,1431.007,521.1082_4.508,521.1082_4.508,1,1221.14666,12522.35585,10.25458797,1.05E-04,3.35819762,3.978810701,521.1082,4.508,1431.007,521.1082_4.508,521.1082_4.508,1
525.0334_3.606,1333.573607,13955.89886,10.46503829,1.49E-06,3.387505685,5.826813732,525.0334,3.606,1621.17665,525.0334_3.606,525.0334_3.606,1,1362.50862,13955.89886,10.24279675,1.02E-06,3.356537785,5.991399828,525.0334,3.606,1621.17665,525.0334_3.606,525.0334_3.606,1
605.1126_3.023,1033.717038,6297.185236,6.091788182,3.13E-05,2.606865779,4.504455662,605.1126,3.023,1339.9289,605.1126_3.023,605.1126_3.023,1,929.9455818,6297.185236,6.771563153,1.88E-05,2.759488905,4.725842151,605.1126,3.023,1339.9289,605.1126_3.023,605.1126_3.023,1
617.1836_4.515,1035.840807,9483.970065,9.155818152,0.00117,3.194688809,2.931814138,617.1836,4.515,1244.03465,617.1836_4.515,617.1836_4.515,1,850.1787682,9483.970065,11.15526572,0.00101,3.479652974,2.995678626,617.1836,4.515,1244.03465,617.1836_4.515,617.1836_4.515,1
639.0783_3.758,760.4720486,6371.299073,8.378084486,8.38E-06,3.066620433,5.076755981,639.0783,3.758,1334.0855,639.0783_3.758,639.0783_3.758,1,859.1027109,6371.299073,7.416225082,2.19E-05,2.89068503,4.659555885,639.0783,3.758,1334.0855,639.0783_3.758,639.0783_3.758,1
345.1554_4.506,457271.2697,78212.88173,0.171042632,0.0325,-2.547572132,1.488116639,345.1554,4.506,147864.135,Cluster_345.1554_4.506,345.1554_4.506;345.1556_4.509;345.1938_4.506;443.1248_4.497;691.3175_4.507;692.32_4.516;713.2993_4.51;714.3028_4.511;833.2468_4.513,9,635953.6905,78212.88173,0.122985184,0.00622,-3.023443569,2.206209615,345.1554,4.506,147864.135,Cluster_345.1554_4.506,345.1554_4.506;345.1556_4.509;345.1938_4.506;443.1248_4.497;691.3175_4.507;692.32_4.516;713.2993_4.51;714.3028_4.511;833.2468_4.513,9
