Feature_ID,mz_rt,post,pre,FC_post_div_pre,p,log2_FC_post_div_pre,neglog10p,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
403.1133_4.514,403.1133_4.514,7947.572872727273,19883.607790909093,0.3997047696927995,0.0178,-1.3229933062893944,1.749579997691106,403.1133,4.514,8280.249,403.1133_4.514,403.1133_4.514,1
407.0405_4.991,407.0405_4.991,1318.12685,4581.3804272727275,0.28771390434054706,0.0432,-1.7972931510488366,1.3645162531850878,407.0405,4.991,1454.30145,407.0405_4.991,407.0405_4.991,1
413.1426_4.219,413.1426_4.219,9053.628745454545,42821.01409090909,0.21142957348543112,0.00577,-2.2417509086268557,2.2388241868442686,413.1426,4.219,16594.903,413.1426_4.219,413.1426_4.219,1
413.1426_4.51,413.1426_4.51,12293.728454545455,65793.15118181818,0.18685422773826352,0.00305,-2.4200148885782578,2.515700160653214,413.1426,4.51,24447.919,Cluster_413.1426_4.51,413.1426_4.51;465.1045_4.511;475.1137_4.509;481.1298_4.503,4
413.1436_3.2,413.1436_3.2,1498.8412727272728,5497.2822636363635,0.27265132129777403,0.0463,-1.8748709479571255,1.334419008982047,413.1436,3.2,1666.61115,413.1436_3.2,413.1436_3.2,1
415.1607_0.797,415.1607_0.797,3033.8505999999998,5812.018090909091,0.5219960696174395,0.0446,-0.9378891508599733,1.350665141287858,415.1607,0.797,3205.9641,415.1607_0.797,415.1607_0.797,1
427.197_3.64,427.197_3.64,2664.4285545454545,11970.287063636364,0.222586855301033,0.0154,-2.16755969696018,1.812479279163537,427.197,3.64,3222.0686,427.197_3.64,427.197_3.64,1
427.197_4.049,427.197_4.049,4099.447090909091,16697.568790909092,0.24551161562760046,0.0117,-2.0261368120504177,1.9318141382538383,427.197,4.049,5658.172500000001,427.197_4.049,427.197_4.049,1
433.0646_4.045,433.0646_4.045,6336.337463636363,2264.020565,2.798710206784877,0.00117,1.4847621103910473,2.9318141382538383,433.0646,4.045,1691.06155,433.0646_4.045,433.0646_4.045,1
437.0526_5.832,437.0526_5.832,7456.317581818182,1416.21182,5.2649734146535945,0.0284,2.396426246418275,1.5466816599529623,437.0526,5.832,1563.2105999999999,437.0526_5.832,437.0526_5.832,1
447.092_4.187,447.092_4.187,22911.460772727274,6893.259545454545,3.3237484562488615,0.0082,1.7328112020076878,2.0861861476162833,447.092,4.187,6378.7322,447.092_4.187,447.092_4.187,1
459.0843_2.964,459.0843_2.964,15470.7582,10190.964618181819,1.5180857533739682,0.0348,0.6022532877712148,1.458420756053419,459.0843,2.964,10385.3765,459.0843_2.964,459.0843_2.964,1
465.0845_4.208,465.0845_4.208,1912.646281818182,3619.2844545454545,0.5284597842029498,0.00567,-0.9201344082151506,2.2464169411070936,465.0845,4.208,2638.3615,Cluster_465.0845_4.208,1132.0633_4.207;1135.2278_4.215;1141.2441_4.201;465.0845_4.208;466.0888_4.204;657.1681_4.216;673.1455_4.198;679.1604_4.197;689.1166_4.213;815.077_4.202;891.2172_4.205;892.2207_4.211;907.1956_4.201;913.2113_4.211,14
477.1039_4.686,477.1039_4.686,1274.606109090909,14883.328192727273,0.08563985773785089,0.00141,-3.5455737906074383,2.85078088734462,477.1039,4.686,1610.7808,477.1039_4.686,477.1039_4.686,1
492.1884_4.319,492.1884_4.319,708.744390909091,1197.8758195454545,0.59166766650155,0.0319,-0.7571410381506943,1.496209316942819,492.1884,4.319,1094.908,Cluster_492.1884_4.319,252.0891_4.335;492.1884_4.319,2
493.1666_4.573,493.1666_4.573,14644.611636363636,2934.568818181818,4.990379351688556,6.98e-4,2.319149488507984,3.156144577376839,493.1666,4.573,4074.76235,493.1666_4.573,493.1666_4.573,1
495.2232_5.846,495.2232_5.846,19739.123245454546,12949.386163636364,1.5243288752083621,0.00455,0.6081741990551267,2.3419886033428874,495.2232,5.846,12269.7785,495.2232_5.846,495.2232_5.846,1
497.0695_3.785,497.0695_3.785,13430.849863636364,1456.3950545454545,9.221982608165456,1.81e-5,3.2050769449585688,4.7423214251308154,497.0695,3.785,1810.0136499999999,497.0695_3.785,497.0695_3.785,1
501.2122_5.698,501.2122_5.698,2994.1873154545456,9707.545309090909,0.3084391800520934,0.0294,-1.6969420570124387,1.5316526695878427,501.2122,5.698,1823.0653499999999,Cluster_501.2122_5.698,491.1861_5.71;501.2122_5.698,2
