mz_rt,row ID,6110_U2_C18POS_34,6101_U4_C18POS_14,6109_U1_C18POS_58,6105_U3_C18POS_39,6105_U1_C18POS_43,6109_U4_C18POS_22,6113_U4_C18POS_62,6101_U1_C18POS_59,6103_U4_C18POS_53,6105_U2_C18POS_40,6111_U4_C18POS_42,6110_U3_C18POS_45,6104_U3_C18POS_32,6102_U1_C18POS_26_1,6104_U2_C18POS_19,6110_U4_C18POS_start-10,6112_U2_C18POS_37,6102_U2_C18POS_16,6102_U3_C18POS_48,6113_U2_C18POS_31,6101_U2_C18POS_30,6109_U3_C18POS_52,6102_U4_C18POS_50,6111_U2_C18POS_35,6101_U3_C18POS_29_1,6112_U4_C18POS_63,6111_U3_C18POS_54,6105_U4_C18POS_47,6113_U1_C18POS_24,6108_U1_C18POS_44,6110_U1_C18POS_11,6112_U3_C18POS_56,6108_U4_C18POS_18,6103_U3_C18POS_61,6108_U2_C18POS_27_1,6106_U4_C18POS_36,6103_U2_C18POS_60,6113_U3_C18POS_15,6106_U2_C18POS_46,6104_U1_C18POS_55,6104_U4_C18POS_12,6108_U3_C18POS_28_1,6103_U1_C18POS_21,6112_U1_C18POS_38,6106_U3_C18POS_20,6111_U1_C18POS_51,6106_U1_C18POS_23,6109_U2_C18POS_13,PooledQC8_C18POS_33,PooledQC11_C18POS_57,PooledQC7_C18POS_25,PooledQC9_C18POS_41,PooledQC12_C18POS_64,PooledQC10_C18POS_49,PooledQC6_C18POS_17,PrerunPooledQC5tryagain-addednew3_C18POS_14_1
277.1474_2.062,1595,4336.2544,4583.222,10164.253,6801.7627,5511.564,7799.236,4092.4124,7910.0454,4625.9,8370.8955,5910.435,6241.661,6327.4,5777.0503,7227.611,4566.6484,4233.6255,6190.3867,6044.677,5109.902,7870.425,11916.917,5939.9595,9065.707,5744.2754,5483.2324,7034.7036,6281.4595,7115.562,6613.81,8478.709,7026.4673,9805.421,6498.263,5921.448,8140.6543,6782.563,4515.2617,4504.6943,12755.084,9866.342,8454.116,12225.438,4811.1445,5921.1865,5826.7183000000005,11182.355,9261.549,8078.8994,9701.429,6255.163,7351.216,8615.567,10353.727,7203.868,5861.787
321.0815_2.053,1596,5043.885,3790.1538,3169.8904000000002,4796.4443,5716.9473,4702.75,6864.9556,2590.7847,8882.989,7535.673,6448.2603,10253.543,3355.1384,4577.88,11635.148,3065.541,5160.707,8592.117,5870.368,7516.663,6638.3506,2209.9683,6091.668,8788.603,4666.0664,3934.8936,9666.569,3393.2434,6381.2407,2879.5378,5196.4077,5230.887,1522.669,5857.77,1339.22,3619.5466,15121.82,8798.478,6091.692,2374.4983,1450.4728,10540.545,5440.321,8656.799,4573.0146,6414.9604,6419.821,8036.733,6713.125,7477.5273,6025.506,5914.8857,7027.7163,4960.398,6149.299,6784.2686
276.1558_2.061,1597,3566.3481,2925.2903,6957.369,4421.658,4687.1387,5282.5938,2865.244,4781.261,4023.3477,5714.383,3946.998,3763.7512,5762.0825,3717.753,5794.129,3600.403,4169.313,3460.3704,2823.144,2180.5706,3838.1587,7339.98,3062.3267,4175.449,3613.1797,NA,4312.2505,3845.0168,4034.0059,5499.05,5148.8535,NA,5329.501,5424.6333,5347.6084,4409.0044,4099.72,3300.3794,3630.396,7073.794,6244.037,6808.1616,6279.084,NA,4990.0664,3347.5632,7446.865,5531.2954,6347.209,5490.8286,5943.358,6228.5786,5978.811,5412.6274,5914.776,5009.747
201.0755_2.085,1598,925.7058,NA,1256.6691,NA,NA,1794.5934,NA,NA,661.1429,1238.2488,NA,NA,748.44464,NA,NA,NA,NA,NA,722.0928,962.0054,NA,963.95514,NA,998.2311,NA,NA,NA,NA,1224.9535,NA,NA,929.547,NA,914.14136,586.4083,21209.574,626.27435,NA,11506.912,NA,NA,NA,NA,NA,22055.762,NA,12343.36,1129.3927,1806.138,2190.3027,2167.9167,2619.669,2656.9038,2489.975,2240.7825,2198.8948
222.0794_2.075,1599,6797.264,5926.29,13104.878,8262.233,10713.526,17452.7,8370.313,13829.406,7771.0967,16628.104,4566.884,15845.795,7787.671,15789.917,5452.0312,10755.606,9311.973,10388.053,10386.599,10770.889,9082.7295,23857.855,13714.626,7277.7017,10139.485,4240.6304,6849.7183000000005,7210.6577,17884.11,13349.083,14772.724,9849.663,11644.659,9125.295,7930.262,16500.846,5550.047,10114.641,3194.7996,15862.981,18439.645,13462.106,12324.923,11753.072,12880.649,6937.3115,11276.871,15317.028,12098.693,13353.389,11850.862,12670.615,14746.998,13340.231,9696.607,10151.642
229.0708_2.089,1600,NA,NA,736.0854,1377.1627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1785.5372,NA,NA,NA,1318.025,NA,NA,NA,152047.27,NA,NA,96344.445,NA,NA,NA,663.2564,NA,128736.91,NA,88198.1,NA,17606.95,17413.254,20602.205,17533.404,16867.812,20308.92,21705.598,17430.068
137.0457_2.069,1601,1639.8835,1918.3824,1241.2281,1963.1652,1433.2134,2151.853,2107.257,1751.5704,1230.3302,1921.9102,1507.0979,2753.8625,1361.7225,1666.7076,948.8205,2620.682,1735.8246,1451.5021,1299.2754,3463.2012,2466.966,1416.2249,1419.0013,1349.5066,1332.4342,1484,972.1896,1549.9274,3629.281,996.96484,1946.6747,1100.8523,3106.621,2184.195,1224.8894,1445.8562,2418.4075,2189.1235,953.8644,1020.6832,2099.1455,2111.1567,30722.668,1288.5444,1983.6375,1502.4531,2019.4817,1169.8064,2026.6156,1895.9873,2701.3567,1796.7274,2499.8896,2415.4006,2362.3374,2660.639
136.0393_2.084,1602,5225.7856,7720.979,4138.3706,5477.4336,8746.66,6179.402,7080.6533,5137.2964,3595.882,8158.1396,6015.2256,2532.0342,3893.2092,5277.372,3464.9246,4280.601,3847.7683,6859.724,5578.8374,8725.571,7107.29,6828.2896,5509.0024,4253.405,8199.44,6237.106,7763.9526,7284.9873,5513.321,8485.7,4321.804,9098.098,7968.992,3523.8347,7283.0825,2859.4075,4796.3047,9353.505,3113.8213,4131.2593,4438.507,10271.047,2438.661,6826.4478,4472.1387,3427.7354,3839.741,6290.7334,5704.8887,4140.2837,5002.508,5850.18,6357.416,6043.983,4708.2197,6821.408
183.0649_2.118,1604,1684.3151,1858.618,2127.6714,2531.9172,2276.467,2087.324,2457.0542,1458.7552,2629.5625,3505.4966,1468.6173,2568.252,1824.1625,1752.9633,2869.1055,3106.575,3016.4104,1157.7347,1463.5135,2269.2192,1406.9258,3251.5127,1651.6267,2298.9785,1718.4426,2081.6565,1633.3745,2153.8435,4714.358,1467.6072,4163.2925,3276.2776,1195.5228,2638.1672,1079.8698,122960.53,1478.5599,6347.1074,76984.336,1926.1052,3250.049,1279.8439,2068.4194,2160.0564,96115.61,1426.5337,63753.46,3052.4883,14584.84,13918.281,12564.936,14308.527,13530.545,17472.256,15686.775,14535.039
121.0284_2.038,1605,4094.4922,4048.2236,12646.961,2396.4766,2841.3525,7746.7197,1508.3607,5814.837,10767.204,6985.581,2273.4502,2907.7583,4529.0107,1991.17,7083.7056,2241.1033,2481.021,2170.2056,2075.9543,2190.585,5913.7236,9111.812,2332.1174,2232.954,5307.13,3853.129,2427.648,2387.3176,3272.6257,3870.2922,4503.7236,5214.715,4598.984,12053.886,3937.0295,10330.07,5630.264,3449.4597,9803.191,9223.783,5474.31,5167.3,5137.8364,4209.8525,10443.969,1863.394,9367.421,15890.043,5011.6035,5769.1953,5297.454,6567.1733,6175.4043,6139.749,7443.3853,6364.9487
