m.z,r.t,p.value,t.score
242.1504,4.993,0.703,0.3928058336423544
243.0877,4.57,0.417,-0.846971193698885
243.1339,3.536,0.0593,2.127011773285636
244.1269,4.537,0.982,0.02347003781324676
244.1542,0.804,0.208,1.3451767498913438
244.1542,3.098,0.714,0.3775023357382976
244.1711,3.868,0.0987,-1.8207036190027908
245.0798,4.776,0.424,0.8327558175566295
245.1494,3.787,0.0723,2.0087670372567548
245.1495,3.326,0.0908,1.871176915176853
246.0972,2.12,0.21,-1.3393867912592419
246.1699,0.806,0.727,0.3596789062439895
246.17,3.238,0.867,0.17139465728726958
247.1076,4.297,0.891,-0.1408244551705508
247.1078,4.488,0.762,-0.31115580714706537
247.1288,0.789,0.414,0.8531880827865298
247.1424,0.808,0.92,-0.10281844112045911
247.1441,3.239,0.978,0.02835418687598217
248.1679,5.389,0.0956,1.8399260397093251
249.0966,4.117,0.513,-0.6788939261331395
250.1107,3.546,0.018,-2.8238636241438915
251.1276,5.991,0.0706,2.0228002702413215
254.1398,5.274,0.533,-0.6455483899270682
254.1765,6.358,0.309,-1.0712724558502416
255.0655,5.039,3.15e-6,9.27517603534865
256.1666,4.784,0.61,-0.5259475895067637
257.1494,3.646,0.108,1.7645354541325584
257.1495,4.039,0.0887,1.8857418415707397
257.153,5.622,0.349,0.9825661450209789
257.2261,6.012,0.796,-0.26573080650808284
258.1241,0.69,0.476,0.7400323323116288
258.1269,3.305,0.326,-1.0319232970123657
258.128,4.17,0.849,-0.1958041711601516
258.1827,3.513,0.645,0.47550306680456217
258.1834,4.934,0.191,-1.40123847953136
258.1848,3.943,0.441,-0.8031878439017165
258.1947,3.931,0.598,-0.5440724027592584
259.1651,4.324,0.184,1.4278293821748962
260.1492,2.107,0.753,0.32401714260949827
261.1442,0.8,0.508,0.6868646340300685
261.1443,3.263,0.689,-0.4114681766643577
261.1443,3.733,0.672,-0.4368209928461982
262.1648,2.169,0.961,0.04995512741060861
263.0816,7.148,0.918,-0.10577951089029582
263.1025,3.498,0.453,-0.7813900710710411
265.1191,2.889,0.781,0.28613714462647305
265.1195,3.466,0.714,0.377551474291211
265.1278,3.383,0.0456,2.2823531766505245
265.1556,3.46,0.434,0.8147599724870788
266.1022,3.875,0.632,0.4936208120370048
266.1357,3.432,0.484,0.7270933490330928
266.1362,3.431,0.737,-0.3448571773385742
267.1329,3.967,0.832,-0.2179270121375076
267.1335,4.316,0.658,-0.45652214647138256
269.1244,0.667,0.626,0.5020915556468409
270.183,4.814,0.177,-1.4515505664880568
271.0596,4.449,4.08e-7,11.580094411939369
271.0753,2.433,0.473,-0.7463144884276248
271.0761,0.756,0.564,-0.59671995328688765
271.1653,4.288,0.17,1.4803686919965167
271.1656,4.57,0.0488,2.2429808314832576
272.1663,5.352,0.665,-0.44665562980044404
272.1855,3.975,0.785,-0.28059803644824316
