m.z,r.t.,p,t.score
192.1052,3.316,0.0786,-1.9840124506894472
193.0968,0.764,0.0197,-2.8296161631135868
193.1547,0.646,0.815,-0.24106137662703825
195.0647,0.814,0.157,1.545160205219303
195.0874,3.353,0.0329,-2.5175528416309736
196.0604,3.589,0.881,-0.15369869370046438
196.0604,4.033,0.924,-0.09751703889992495
196.0605,2.921,0.593,0.5537107303503485
196.0693,3.577,0.93,-0.09062123896858383
199.0965,3.235,0.615,-0.521041102652284
199.0965,3.748,0.537,-0.6418842964418011
199.1068,3.168,0.0428,-2.3571323322416067
199.1069,3.734,0.881,-0.15377686241206165
200.1281,5.02,0.013,-3.0844028481319223
202.1437,5.378,0.125,-1.6906185983242428
203.0814,0.73,0.4,-0.8831254277074083
203.139,0.665,0.015,-2.9966185053855354
203.1502,0.654,0.105,-1.8000693068440285
204.1231,0.665,0.00452,-3.754589656078976
204.1231,1.146,0.0749,-2.013631533447211
205.0971,2.931,0.094,-1.872051508120492
205.097,0.801,0.0103,-3.2315582878961373
210.0607,1.159,0.00174,4.3911539634323145
213.0757,3.832,0.84,0.20759377559607384
213.076,4.23,0.602,0.5399433147538661
213.1234,0.672,0.514,0.6796350254020258
215.0163,0.719,0.0693,2.061306895474401
217.118,0.7,0.387,-0.909516593398112
217.1547,0.664,0.395,-0.8935961969332474
218.0426,0.785,0.0432,2.3515701177221615
218.1384,6.89,0.183,1.44097475057031
218.1386,2.048,0.0368,-2.449612158654476
219.1705,0.65,0.175,1.4738068426717577
220.0637,0.707,0.0892,-1.904473164698066
220.0638,2.227,0.26,-1.2016176727504337
220.1178,2.562,0.0121,3.131958835829416
220.1179,0.735,0.00963,3.2736845367351375
220.1367,4.453,0.0792,-1.978848612320591
222.1126,4.749,0.211,-1.3477851535298353
224.056,3.685,0.383,-0.91665062518883
226.071,3.019,0.528,-0.6557039686293255
226.9516,0.553,0.382,-0.9200008725232373
227.1026,2.542,0.35,-0.984871628740998
229.0704,2.103,0.268,1.1815699851239931
229.0982,5.024,0.169,-1.4938352338352807
229.1182,0.667,0.547,-0.6255673264042095
229.1547,1.206,0.0103,-3.2288680452093668
229.1547,1.899,0.0197,-2.83090206240819
229.1547,2.116,0.0811,-1.964404703881211
229.1549,0.669,0.0684,-2.069823717742312
230.1106,4.213,0.212,1.3444953210332633
230.9902,0.718,0.00617,3.5549066305412835
231.1009,6.633,0.889,-0.143628913914899
232.0264,2.519,0.202,1.3754477186117366
232.1543,0.707,0.166,-1.506234486398256
232.1544,2.651,0.327,-1.0373485379268972
234.1122,4.883,8.15e-6,9.051061899687097
235.0574,3.619,0.433,0.8201117957343077
237.1232,2.723,0.415,0.8548438820271664
239.1389,4.617,0.263,1.1952010257937795
240.0954,4.039,0.746,-0.3337109553244313
