mz_rt,row ID,6111_U2_C18POS_35,6111_U4_C18POS_42,6110_U3_C18POS_45,6110_U2_C18POS_34,6104_U2_C18POS_19,6101_U3_C18POS_29,6105_U4_C18POS_47,6109_U4_C18POS_22,6101_U1_C18POS_59,6105_U1_C18POS_43,6101_U3_C18POS_29_1,6105_U3_C18POS_39,6104_U3_C18POS_32,6102_U3_C18POS_48,6104_U1_C18POS_55,6103_U2_C18POS_60,6109_U1_C18POS_58,6105_U2_C18POS_40,6111_U3_C18POS_54,6104_U4_C18POS_12,6112_U2_C18POS_37,6101_U2_C18POS_30,6102_U1_C18POS_26_1,6106_U2_C18POS_46,6108_U1_C18POS_44,6102_U4_C18POS_50,6103_U4_C18POS_53,6109_U3_C18POS_52,6108_U2_C18POS_27,6111_U1_C18POS_51,6102_U2_C18POS_16,6112_U3_C18POS_56,6108_U4_C18POS_18,6110_U4_C18POS_start-10,6112_U4_C18POS_63,6103_U1_C18POS_21,6106_U1_C18POS_23,6101_U4_C18POS_14,6113_U1_C18POS_24,6103_U3_C18POS_61,6110_U1_C18POS_11,6112_U1_C18POS_38,6108_U3_C18POS_28_1,6106_U3_C18POS_20,6108_U2_C18POS_27_1,6108_U3_C18POS_28,6109_U2_C18POS_13,6102_U1_C18POS_26,6113_U4_C18POS_62,6113_U2_C18POS_31,6113_U3_C18POS_15,PooledQC6_C18POS_17,PooledQC9_C18POS_41,PooledQC11_C18POS_57,PooledQC10_C18POS_49,PooledQC8_C18POS_33,PrerunPooledQC5tryagain-addednew3_C18POS_14_1,PooledQC12_C18POS_64,PooledQC7_C18POS_25_1,...66
286.1475_0.777,1312,1311.6678,1704.2573,2008.2012,1817.223,2434.6284,1672.085,1998.5319,1233.5739,2353.28,2088.6152,1711.9865,1532.3325,3118.174,1953.4971,2365.0552,1481.0309,2583.5261,2107.6711,1975.602,2865.1025,10331.668,1563.7579,2013.2478,2277.4849,2057.2336,1326.0548,2557.24,2184.2095,2445.128,1983.6669,1734.4326,19308.674,1676.9567,2864.1719,17480.742,3592.3657,2528.0806,2006.6288,2890.9822,3340.0203,3461.1814,31937.139,2558.8718,1368.6398,1581.1562,1620.9528,2417.5898,1660.6816,1771.4166,2120.1062,2498.6758,4652.694,3441.794,3414.929,3124.9644,3640.7102,2677.547,4040.5786,3781.6946,NA
390.1165_0.795,1314,NA,NA,NA,NA,NA,687,1319.599,NA,956.4515,NA,1267.4338,NA,1338.5143,997.124,1034.9215,NA,1275.7335,1383.321,NA,NA,650.1743,1653.5538,NA,19242.693,827.56006,870.36053,1476.6233,1322.0632,1593.1296,NA,NA,1135.2091,NA,NA,NA,1224.0695,20236.076,NA,829.0119,1455.3236,971.1335,1205.8291,648.4034,34103.785,NA,NA,NA,NA,618,NA,856.6346,1699.726,1945.1846,2428.5547,2396.8508,2371.361,2041.5555,2485.9534,1490.8289,NA
354.1546_0.797,1317,3783.0027,3283.021,2802.4238,3101.3706,7142.224,2716.7393,2546.1616,5102.158,2012.7313,2584.094,2461.3447,3138.2937,8511.314,2018.2839,2928.995,3085.6746,6443.9536,2528.5195,5578.3457,2169.5215,1485.5807,2164.8452,2245.986,3673.0002,8336.136,7209.1685,1806.546,12777.817,4995.516,5302.246,3538.8704,5171.082,4036.883,3675.9355,2413.902,3561.0862,9430.655,3024.914,4028.7246,4250.309,8968.902,5348.9805,4854.343,3874.4026,4169.621,5376.2456,16353.419,2138.0623,2901.0298,1821.6692,2231.268,4456.4487,4655.7734,4441.0557,5340.0166,4802.9062,4326.096,3954.9731,5418.793,NA
166.131_0.808,1318,NA,NA,40861.39,38421.855,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35385.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16223.568,15205.694,16458.352,14154.338,16538.303,16049.973,14829.005,13159.185,NA
332.1808_0.8,1319,3545.6443,3405.421,3140.61,1925.2976,4858.062,3974.136,5277.1445,3788.0525,5182.4478,3515.6233,4179.54,4664.4175,12777.418,3571.1235,2497.508,3091.6294,3576.2363,3077.7825,3414.1877,3643.683,3488.4692,5575.894,5720.6772,2427.0042,4798.5757,3725.8186,4615.6016,2489.849,7496.1206,2018.0743,4908.103,2432.8838,5172.9243,1737.125,3619.1748,4524.4736,5603.6196,2591.1562,3843.0278,8416.883,5237.6743,2995.906,6931.148,3639.306,6236.5996,8029.5586,4963.7534,5191.2856,5559.0366,4172.768,5631.2246,5371.1484,4296.0195,3872.6257,3927.2468,4835.705,3719.7168,5500.796,4263.132,NA
362.1078_0.787,1321,1550.7579,1720.7563,1628.0592,NA,2025.2867,NA,1638.7892,4196.9404,1708.9071,826.75134,NA,NA,2854.014,NA,1564.25,855.31335,1483.7921,1049.976,1412.7094,1836.5676,2076.4504,1257.6615,1295.3253,NA,3210.6348,2034.8914,1540.549,3579.1997,1553.0571,2209.6777,1723.3983,2189.5088,1243.6267,1664.2544,1814.6781,1413.2021,NA,1418.9033,2546.7432,2349.1113,2701.2773,1904.4572,1361.9203,NA,1085.5662,1180.5299,4710.5522,1201.0514,2203.2256,2326.4363,2512.8264,1049.8368,1338.0089,2068.7659,1499.0848,1032.696,1108.236,1513.932,1167.7338,NA
324.1444_0.782,1322,1444.8699,1624.8638,1617.0302,1584.7205,4912.2065,3001.7285,2182.9937,2497.3247,2255.8762,2128.5933,2179.84,1659.2916,3235.8398,2178.935,3931.4202,9282.324,4173.145,4278.4004,1434.8398,6757.094,977.736,2905.5059,2196.3594,1588.256,1985.0016,1860.9875,9682.182,2841.1843,1073.4952,1478.0763,2665.8928,1988.5747,1486.3408,1335.3878,1214.4148,7716.947,3094.7542,1689.4144,1332.0198,12566.223,3161.8613,2882.0142,1861.2294,1500.6488,1488.0032,1335.0886,3983.8606,2540.8855,1383.0276,1219.9624,760.1367,2673.1946,2571.5469,2466.7603,3150.2024,3451.5007,2247.6052,2596.918,3706.0142,NA
304.15_0.797,1323,25933.588,21395.955,19895.617,15804.711,39626.117,23752.93,33155.56,20785.107,30906.867,36851.05,26049.111,28975.8,31140.918,26838.05,30170.469,38879.016,25402.05,22853.795,32885.42,48660.707,20730.01,54611.32,24558.154,11953.281,34448.445,29514.996,47261.332,30236.701,69310.92,21936.045,31671.244,45809.402,27574.766,18865.969,18797.281,41546.586,33297.562,23639.541,31367.734,51742.688,35502.082,25393.734,37390.434,19683.998,64978.906,43603.066,25611.104,24809.438,36707.48,42974.086,31739.209,33775.246,33291.812,30984.336,31478.252,36874.043,31497.309,29585.877,33113.54,NA
119.0492_0.785,1324,NA,NA,NA,NA,NA,648.7918,3644.021,1180.6348,NA,NA,NA,NA,1435.297,NA,NA,NA,1422.6311,NA,NA,NA,NA,565.3393,NA,80115.336,NA,NA,NA,852.13806,NA,NA,NA,NA,NA,NA,NA,NA,80756.56,NA,553.1201,NA,NA,NA,NA,99489.266,NA,NA,911.27203,NA,NA,NA,NA,21612.893,23349.752,19751.309,20967.154,26039.309,21147.451,19696.168,21791.043,NA
414.1975_0.797,1325,3733.0068,4376.5483,2369.8545,2437.371,2974.0776,3783.355,4250.4062,4834.778,6462.889,5490.442,5706.415,5096.586,2539.1587,2670.0737,4894.7466,4183.171,6803.6147,7277.2944,4321.012,14079.7705,9048.905,3979.9326,4441.0806,1752.1519,4602.56,2855.4575,5484.4653,4717.846,3095.3323,3603.7205,3187.703,5618.9873,2496.2231,3208.053,3475.119,9368.807,1464.2722,2209.5513,10769.0205,6805.3105,10177.691,4029.4773,5122.0977,1719.6049,2435.5017,5552.8164,2890.6875,7135.801,3817.9539,3799.0176,7472.906,4842.143,5036.733,3961.52,3916.3394,4351.1313,3952.3604,3682.529,4279.05,NA
