mass,rt,6104_U2,6110_U2,6108_U2,6111_U4,6101_U3,6104_U1,6103_U4,6110_U3,6111_U2,6111_U1,6105_U3,6109_U2,6108_U1,6109_U4,6101_U4,6101_U2,6110_U4,6105_U1,6105_U4,6102_U1,6102_U2,6104_U3,6104_U4,6113_U3,6113_U2,6109_U3,6102_U4,6102_U3,6108_U4,6106_U2,6111_U3,6110_U1,6108_U3,6106_U3,6105_U2,6112_U2,6103_U1,6113_U1,6103_U3,6101_U1,6112_U1,6109_U1,6112_U3,6106_U4,6103_U2,6106_U1,6112_U4,PooledQC5,6113_U4,PooledQC7,PooledQC6,PooledQC9,PooledQC10,PooledQC8,PooledQC11,PooledQC12
342.2636,0.484,14.21234347,15.2722034146306,13.733869257564,13.9330436661808,13.8600399007068,14.289045632838,14.1057383530544,13.2141646190497,13.7123370888294,13.9146893307066,14.0395086418304,14.4614181140673,13.2800440769002,14.2485032190562,14.6883446402707,13.4914715903435,14.3536407022708,14.2886211921323,14.9702903081816,13.1101692214665,12.8532655713152,13.9985046990409,14.533434689036,13.3029921264469,12.7947875887724,13.6835849899701,14.7721028765509,13.1769370611775,13.8764271308433,11.674344544686,13.4745595253932,14.1881754542912,13.4044978157134,12.156781377302,13.6598705353674,14.1987560923215,15.1636306448325,14.5543973705246,13.2459370008244,14.3119093851011,14.9447865228518,15.0093049289368,12.8425729498883,12.0376444182112,14.6089135293628,13.3733725931604,14.6563478073915,13.9239126964408,13.8517606669004,14.0894128604124,14.1669937805601,13.9890346713762,13.9335466769135,14.1271458917398,14.181175220209,14.000936022281
357.1666,0.506,11.13867447,10.5789380732988,15.1082263517735,10.554326046286,10.8333622302068,10.3350396477587,11.1383176192376,10.0912348547049,10.6048669109224,10.9331588678488,10.4117663799365,9.98516124936668,12.7276991366289,10.8798321311297,10.3397084432743,10.576485925525,10.1722634397682,10.5832280493337,10.4172323732731,10.8895461880849,10.5056883937362,11.0407895807801,10.1526701903466,10.6473810401669,10.9614322607745,11.0144923501518,10.3421838847021,10.6533843007038,10.6199204831302,10.1826583491707,10.9649529395192,10.918990889979,14.2601260683373,8.96801354174077,10.261487971921,10.8080787940579,10.9415524355114,10.9620698576042,11.4118093895649,11.1442560487194,10.6003718494212,11.0094999191269,10.7782859938452,10.0677419718134,11.1940285300592,10.3398633283178,10.7202265259289,12.1966547324294,10.9111196363356,12.1142569837334,12.056644621966,12.1832455096433,12.1342078841177,12.1513612868851,12.2464089948311,12.0441504790156
313.1894,0.512,11.32990563,10.2846013618601,10.064124212262,10.421224164653,10.627401825617,11.0926786707141,10.7449285642865,8.77857497869371,10.221830451954,10.473132205602,10.9486984919412,11.1173733619992,10.8658762055956,10.8981288070284,11.2186348518116,10.9469305658868,10.9246861831933,10.2609914044877,10.1881778321011,10.4270786960483,11.138686254619,10.9809674036091,11.1806619048487,11.1735604599304,10.6951844566766,10.3952642638242,10.9907879512363,9.80290409751538,10.3911234997205,12.2302889016638,10.7014944928285,10.9090251431078,10.7471346140071,14.1753197219823,11.1343429627419,10.5989746625559,10.4692904473804,10.8612955716305,10.9457514658146,10.7554431504674,10.8146580126455,11.0535576177623,9.90710597669784,14.2413294171128,10.9100558557308,14.230183108278,10.602094290162,12.8725797507976,11.1409902731428,12.5913704131742,12.7790306010065,12.9193734023505,12.7138388299954,12.9005059932434,13.0119651958816,12.6462152957115
324.2159,0.482,14.61570572,16.3526458923279,11.8223927915104,12.1331915719962,12.6715839024003,13.9556940613741,16.1507334352751,12.1681044881129,12.3509594935361,12.2849789518525,12.1633804867089,15.7450493500213,11.374761884913,12.790711437538,14.4873107102702,12.8846632739135,12.9442425812062,12.9793341056148,14.1906725505198,11.7395153785901,12.0718505057843,14.293523673131,14.3589589093481,11.9472193989593,12.970119431379,13.3669043529927,13.8560971866809,12.04301619921,12.8276440311793,10.7700160240954,11.5607823204285,13.1358351416674,12.7159028191351,11.6849255254928,12.2125087746459,15.2732892476945,17.100741839615,12.2527713086804,14.1944440717796,11.677274711992,14.9457853589278,14.8201115859891,13.10256198709,11.7156045363641,16.0074743871529,11.1624434684281,15.1298725212693,13.8904046412775,14.2424950452175,13.9360059500513,13.8214872480848,13.9418762009433,13.7606830702101,13.9868793898789,13.9310618802224,13.8947186001538
472.3114,0.479,12.08127837,10.780626605679,11.61176412823,11.4917644117773,11.8685402282116,13.5645434347863,12.5460682055926,11.527934767801,10.9907824428679,12.1058799605803,11.838176524826,11.2812078305046,11.6832765640529,11.5821076859705,11.0837179565519,12.2084950949885,11.1455321554977,11.0520841045679,11.0809228068756,11.3932342858753,11.3643104499342,15.0497237936001,15.0289517952665,11.1246109126585,12.7053193667265,11.2207779776949,11.440741340856,10.9037602374724,11.3527130113958,11.0264677833284,11.1039415631669,11.4708306085682,11.1407923191623,11.6611900999298,11.7824615050434,11.9663377277496,11.2875862662202,11.9227067851523,11.5513310956304,11.3548314842349,12.0820939368189,10.9828505440194,12.0691377051913,10.8495806211619,11.6710591992053,10.8462722434,12.2189863435446,11.9258203104737,11.174506683159,11.9758140922951,12.1863301205542,11.835186063437,12.3273732495778,12.1191898445739,12.0158106000658,11.9337966865227
169.0495,0.477,8.969321473,8.821366727294,8.90070719180447,10.3218287757,9.86761625925444,8.63141573531469,8.63667272349626,10.0073016805455,8.83528767021395,8.6556811126404,9.74752704324789,9.03271923426701,11.9029743014576,8.94404436693645,9.01993570915598,8.85732355273346,10.3505493826406,10.1665658272996,8.70127664310574,8.90242636686364,10.2614970683806,8.83594497089477,9.04043104192232,10.8919442796636,8.85116210553663,8.65072365202887,8.66494750454568,9.66215451632976,8.98494250397253,16.010774210765,8.65166370844026,9.04852896475028,10.9092473691706,16.0372217665305,10.187165242216,8.79358043314079,8.96159220236511,8.92334491629142,8.56186083769528,8.58597009468784,10.2329732603365,8.59574045694998,10.1492639305985,15.3075787981187,8.57380733675945,12.7150074896099,10.3838417217471,11.9313385853079,8.5495691434217,12.5049644955204,12.7622348399793,12.386641477264,12.1227812928333,12.6129866732658,12.3029412952639,12.4662759223341
328.248,0.503,15.63987766,16.2438545262239,16.0529883712797,15.8028599155549,16.5783105843364,15.8672602115582,16.2871576897146,15.1357245537859,15.2578026237355,15.7897645515627,17.1264289800193,15.4194148130813,15.4831680389738,16.0315125765796,15.3647130645054,14.6279043474385,16.6294394694901,16.9942598007022,16.8368563564847,15.8620146584656,14.955800120481,15.845556081039,16.6946778637315,14.5620592370675,14.4997769075206,15.1457147836838,15.4264454208808,16.5451639951835,15.4224920361622,13.1341424666728,15.6531473157502,16.0535434729455,15.9314156843572,12.9373552352223,16.7058272198398,14.9161433249173,17.2919435908959,15.5137337716914,14.873524323035,16.1169843865265,15.1673763865873,16.1331653228606,14.5579412030081,12.9359177613203,16.8540382808881,15.5614498670638,15.1705549903153,15.3655338930328,15.1453958691522,15.2625364789132,15.3330945952435,15.3669298218601,15.2313557184568,15.3496922263397,15.3742086077931,15.3474579772113
540.4236,0.454,10.11355635,10.4706919925407,8.95635601427375,8.90173327175057,11.0091711853232,8.87190248784474,9.87623909964379,10.7560287430078,10.0488959141698,10.0735205689966,8.90621765236678,10.171876275966,10.3341790339193,8.96505104019473,10.9614442300643,8.93338786610215,9.00530572870683,9.95580598480749,10.0226622229248,10.3780937066159,8.97689821110007,10.3996518447886,8.99071294913287,8.98278081514125,8.93405465439892,9.90989838050128,11.0937533275642,8.8773387985482,10.1692292437792,8.90006744800262,9.93937414393629,10.1464452466196,8.94486411229327,8.96718979719227,9.95923839524728,9.9539398230377,10.7895411793062,10.0360671192054,10.2167118083091,10.1073438091193,10.1204443452878,10.1268594743803,10.607523810834,8.93337660073412,8.84539643067959,10.7046637802641,10.4816169420465,14.5608035300659,8.83340486372643,14.604471094082,14.3913985780019,14.4556504228,14.6113733637655,14.5899584966565,14.4199311078368,14.5580767103013
269.1382,0.482,12.87116522,13.3729747817504,16.6911756302244,14.4742622522751,13.0952350319863,11.8039057164374,13.4941078274947,13.8689757072126,14.5665895898098,13.6446779939464,13.6142963818254,13.7731263123639,17.1260427001808,13.6741650713845,12.1196263890596,13.1962610329527,14.2449145017378,13.5395268636513,12.5369096459503,13.3223011277988,14.3822464481818,13.0285419708461,12.2320931602302,14.6731928698887,13.4408324416394,12.7253929513112,11.7248309728311,12.6701560362658,15.5345006879568,13.2226110512628,14.1953977805106,14.9943784354769,17.2462895474144,13.8245487904756,14.2065287877826,14.2878950398406,13.7126723620706,14.3249623808369,13.0259064429863,12.4489664459591,14.2889947372846,15.1745393750817,14.5930413403248,14.2202226297062,14.0080850153493,12.5316806892301,14.7012422927639,14.8480945599648,14.2382802122976,14.6335356830326,14.3019131145841,14.6175642079148,14.6676718976582,14.546582105697,14.4348325619248,14.7317442513298
339.1871,0.5,11.44136105,11.2736635770661,11.9364117844475,12.8397959636405,11.7093212653343,12.8830566091426,12.1102071467316,11.4591431550458,11.9772693193371,12.4946298609432,11.8634191019639,12.1933106463035,11.0591942790439,11.761117643109,11.4733621034517,11.0914414634458,11.3696922247706,11.6537593396976,11.5749784030585,11.2754498476455,12.0472109658294,11.4617414740989,11.3397400045069,12.0920147469099,11.578363015788,11.6446415274504,12.2260991639493,11.8921393383867,11.9881661507013,12.5579743539908,11.9880601851529,12.51062609663,11.9008420393564,11.1197319787717,11.7557905838802,15.6502351469161,11.8096243066801,12.0513593874705,12.0477901654802,11.0104537162518,15.6923255111793,12.2931472917723,14.8832104449038,11.2365556278463,12.2971399150503,11.0142944440451,15.431387382615,12.2871022025017,12.0451806696377,12.1134059982519,12.4394887682206,12.1158665326354,12.5080714718512,12.6300280507626,12.3518246201067,12.2505259303922
